beta,rmse_all,rmse_10,rmse_3
0.999985,7.017386250990773e-11,7.069496052022678e-11,1.171210723398115e-10
0.99998525,7.017383995780952e-11,7.069493779741258e-11,1.171210356148605e-10
0.9999855,7.017381740573453e-11,7.069491507462175e-11,1.171209988899428e-10
0.99998575,7.017379485368272e-11,7.069489235185429e-11,1.171209621650586e-10
0.999986,7.017377230165409e-11,7.069486962911015e-11,1.171209254402079e-10
0.99998625,7.017374974964865e-11,7.069484690638941e-11,1.171208887153905e-10
0.9999865,7.017372719766639e-11,7.069482418369201e-11,1.171208519906066e-10
0.99998675,7.017370464570735e-11,7.069480146101799e-11,1.171208152658562e-10
0.999987,7.017368209377149e-11,7.069477873836732e-11,1.171207785411392e-10
0.99998725,7.017365954185881e-11,7.069475601574002e-11,1.171207418164556e-10
0.9999875,7.017363698996930e-11,7.069473329313606e-11,1.171207050918054e-10
0.99998775,7.017361443810300e-11,7.069471057055547e-11,1.171206683671886e-10
0.999988,7.017359188625989e-11,7.069468784799826e-11,1.171206316426054e-10
0.99998825,7.017356933443999e-11,7.069466512546442e-11,1.171205949180555e-10
0.999988500000001,7.017354678264326e-11,7.069464240295391e-11,1.171205581935391e-10
0.999988750000001,7.017352423086971e-11,7.069461968046677e-11,1.171205214690561e-10
0.999989000000001,7.017350167911937e-11,7.069459695800301e-11,1.171204847446066e-10
0.999989250000001,7.017347912739220e-11,7.069457423556258e-11,1.171204480201904e-10
0.999989500000001,7.017345657568822e-11,7.069455151314554e-11,1.171204112958077e-10
0.999989750000001,7.017343402400745e-11,7.069452879075187e-11,1.171203745714585e-10
0.999990000000001,7.017341147234984e-11,7.069450606838153e-11,1.171203378471427e-10
0.999990250000001,7.017338892071545e-11,7.069448334603457e-11,1.171203011228603e-10
0.999990500000001,7.017336636910424e-11,7.069446062371096e-11,1.171202643986114e-10
0.999990750000001,7.017334381751621e-11,7.069443790141073e-11,1.171202276743958e-10
0.999991000000001,7.017332126595137e-11,7.069441517913385e-11,1.171201909502137e-10
0.999991250000001,7.017329871440973e-11,7.069439245688032e-11,1.171201542260651e-10
0.999991500000001,7.017327616289128e-11,7.069436973465017e-11,1.171201175019499e-10
0.999991750000001,7.017325361139602e-11,7.069434701244339e-11,1.171200807778681e-10
0.999992000000001,7.017323105992394e-11,7.069432429025994e-11,1.171200440538198e-10
0.999992250000001,7.017320850847506e-11,7.069430156809988e-11,1.171200073298049e-10
0.999992500000001,7.017318595704936e-11,7.069427884596317e-11,1.171199706058234e-10
