medium,filename,verb,data_type,model,start_utc,stop_utc,dsn_complex,scid
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-01T06:05:00+00:00,2002-06-01T20:51:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-01T13:50:00+00:00,2002-06-02T04:06:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-01T22:25:00+00:00,2002-06-02T08:02:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-02T06:02:00+00:00,2002-06-02T20:48:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-02T13:46:00+00:00,2002-06-03T04:03:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-02T22:21:00+00:00,2002-06-03T07:59:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-03T05:59:00+00:00,2002-06-03T20:45:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-03T13:43:00+00:00,2002-06-04T03:59:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-03T22:18:00+00:00,2002-06-04T07:56:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-04T05:55:00+00:00,2002-06-04T20:41:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-04T13:40:00+00:00,2002-06-05T03:56:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-04T22:15:00+00:00,2002-06-05T07:52:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-05T05:52:00+00:00,2002-06-05T20:38:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-05T13:36:00+00:00,2002-06-06T03:53:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-05T22:11:00+00:00,2002-06-06T07:49:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-06T05:48:00+00:00,2002-06-06T20:35:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-06T13:33:00+00:00,2002-06-07T03:49:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-06T22:08:00+00:00,2002-06-07T07:46:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-07T05:45:00+00:00,2002-06-07T20:32:00+00:00,60,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-07T13:30:00+00:00,2002-06-08T03:46:00+00:00,10,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-07T22:05:00+00:00,2002-06-08T07:42:00+00:00,40,82
ion,c32easc2002_152_2002_182.ion,ADJUST,DOPRNG,CHPART,2002-06-08T05:42:00+00:00,2002-06-08T20:28:00+00:00,60,82
