component,value
tau_free_gyr,0.03200047270930238
tau_int_gyr,0.20927987926195124
tau_damp_gyr,0.15464728924098026
tau_eff_gyr,0.05559002731784142
tau_eff_harmonic_gyr,0.023532647658336684
tau_eff_harmonic_calc_gyr,0.023532647658336684
tau_kernel_gyr,0.17786287379245058
eta_stored,0.1326277603951562
eta_calc,0.1326277603951562
tau_eff_from_kernel_gyr,0.05559002731784142
tau_eff_from_kernel_calc_eta_gyr,0.05559002731784142
xi_derived,6.546626905256627
xi_from_taus,6.546626905256627
xi_fit,6.546626905256627
tau_reconstruction_rel_error,0.12394358575229716
rel_tau_harm,0.0
rel_tau_kernel,0.0
rel_xi_chain,0.0
rel_fit_vs_derived_xi,0.0
tau_slow_gyr,0.15464728924098026
epsilon_slow,0.20692553271617595
D_norm_cw1_gyr,0.03200047270930238
