channel,mode,kind,ell_pred,ell_obs,delta_ell,ell_half_width,z_ell,dl_obs,dl_bestfit,sigma_dl
TT,1,max,225.11896150,225.16494500,0.04598350,29.91001900,0.00153739,5793.43954000,5726.93135000,87.13488110
TT,2,max,524.87728700,524.78532000,-0.09196700,29.98365200,-0.00306724,2573.48050000,2571.44487000,25.91841180
TT,3,max,824.63561250,824.68159600,0.04598350,29.99338950,0.00153312,2521.91260000,2522.77302000,20.51976200
EE,1,max,374.99812425,404.86979100,29.87166675,29.97248250,0.99663639,21.15971880,21.29280600,0.36472482
EE,2,max,674.75644975,674.72193900,-0.03451075,29.99012000,-0.00115074,36.43969570,37.03165490,0.61634179
EE,3,max,974.51477525,1004.64908000,30.13430475,29.99554850,1.00462589,42.42107450,41.64673450,1.28845629
TE,1,max,300.05854287,314.97530400,14.91676113,29.95438950,0.49798248,119.37896100,118.47404300,2.49179651
TE,2,min,599.81686837,644.73225800,44.91538963,29.98917800,1.49771993,-5.07511156,-8.29730512,2.14691724
TE,3,max,899.57519387,914.66373800,15.08854413,29.99462700,0.50304157,60.63801620,57.87112310,2.29690863
TE,4,min,1199.33351937,1154.62972000,-44.70379937,29.99662500,-1.49029430,-22.80858440,-25.88965080,2.49860382
TE,5,max,1499.09184487,1544.59698000,45.50513513,29.99811500,1.51693315,8.70758155,5.95513430,3.17133288
TE,6,min,1798.85017037,1754.58537000,-44.26480037,29.99854000,-1.47556516,-13.32279160,-20.44703850,4.29444107
