galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
CamB,3.36,0.16,1.99,1.5,1.86,3.75,0.0,8.021131290080394e-13,1.2092157723739287e-12,2.1249080880417142e-12
CamB,3.36,0.41,4.84,1.5,4.24,9.47,0.0,1.851639007873364e-12,1.1477101288471266e-12,4.965352083982454e-12
CamB,3.36,0.57,6.79,1.5,5.61,11.76,0.0,2.6212844287451225e-12,1.1581521776488023e-12,5.720879452723729e-12
CamB,3.36,0.73,8.87,1.5,6.77,13.72,0.0,3.4928009325710326e-12,1.1813306423577336e-12,6.2130666738937905e-12
CamB,3.36,0.9,10.9,1.5,7.77,14.8,0.0,4.278188748654278e-12,1.1774831418314527e-12,6.117615463818251e-12
CamB,3.36,1.06,12.9,1.5,8.44,15.24,0.0,5.087717750532423e-12,1.1831901745424237e-12,5.728303637175386e-12
CamB,3.36,1.22,14.7,1.5,8.64,15.11,0.0,5.7401639070166624e-12,1.1714620218401352e-12,5.015388854508865e-12
CamB,3.36,1.47,16.8,1.5,8.08,15.9,0.0,6.222296235733182e-12,1.1111243278094966e-12,4.2260511502353454e-12
CamB,3.36,1.79,20.1,1.5,6.91,14.91,0.0,7.314565590661553e-12,1.0917262075614259e-12,2.8769094791518548e-12
D512-2,15.2,0.96,22.9,2.71,4.08,14.85,0.0,1.770309444976583e-11,4.189990040075581e-12,4.284163372833899e-12
D512-2,15.2,1.92,33.5,2.71,6.24,21.2,0.0,1.894252373739031e-11,3.06473070616882e-12,4.45029213325316e-12
D512-2,15.2,2.88,37.2,4.19,7.45,20.56,0.0,1.5571944485780173e-11,3.5078735158827382e-12,3.0028892105403496e-12
D512-2,15.2,3.83,35.9,5.98,8.09,20.08,0.0,1.0905349232451155e-11,3.6330912763263455e-12,2.2596718596845798e-12
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0.0,4.634416055412562e-12,1.6605753079112928e-12,2.05031396704755e-12
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0.0,7.244412605747154e-12,1.3529300363050976e-12,2.094010474466892e-12
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0.0,8.30402034401156e-12,1.5098218807293748e-12,1.7265018667311038e-12
D564-8,8.79,2.04,21.9,1.82,6.86,8.75,0.0,7.619167426521628e-12,1.2663821658693481e-12,1.3557395059979322e-12
D564-8,8.79,2.56,24.0,1.89,7.05,8.17,0.0,7.291753401249822e-12,1.148451160696847e-12,1.0516955429304885e-12
D564-8,8.79,3.07,25.0,2.05,7.04,7.65,0.0,6.597677706523545e-12,1.0820191438698614e-12,8.320764163354391e-13
D631-7,7.72,0.45,8.41,1.58,8.4,9.99,0.0,5.093648036927778e-12,1.9139034241012817e-12,8.675209672120727e-12
D631-7,7.72,0.9,17.8,2.22,13.51,15.52,0.0,1.140898344519503e-11,2.845836320037412e-12,1.0909014020748939e-11
D631-7,7.72,1.35,26.0,2.35,16.7,20.76,0.0,1.6227902219736228e-11,2.9335054012600104e-12,1.1867945008743392e-11
D631-7,7.72,1.8,30.9,2.22,18.72,21.37,0.0,1.7190713740857636e-11,2.4701219744144954e-12,1.0420489048276934e-11
D631-7,7.72,2.25,34.7,1.82,19.9,19.92,0.0,1.7343066376120292e-11,1.8192726688495063e-12,8.561608835254895e-12
D631-7,7.72,2.69,38.8,1.81,20.61,18.76,0.0,1.8136798414502326e-11,1.6921445943427427e-12,7.237429989004344e-12
D631-7,7.72,3.14,42.5,1.57,20.73,17.36,0.0,1.864222162916842e-11,1.3773311980138552e-12,5.990463889767301e-12
D631-7,7.72,3.59,45.6,1.59,20.61,16.32,0.0,1.8770882516153302e-11,1.3090220702054277e-12,5.036688276669204e-12
D631-7,7.72,4.04,48.8,1.83,20.38,15.37,0.0,1.9103270868946507e-11,1.432745315170988e-12,4.2792954355642725e-12
