galaxy,radius_kpc,vobs_km_s,evobs_km_s,sigma_used_km_s,vbar_bestfit_baryon_km_s,vpred_baryon_km_s,vbar_bestfit_pmodel_km_s,vpred_pmodel_km_s,resid_baryon_km_s,resid_pmodel_km_s,pull_baryon_sigma,pull_pmodel_sigma,gbar_bestfit_pmodel_m_s2,gpred_pmodel_m_s2
CamB,0.16,1.99,1.5,3.0,4.0839135642175375,4.0839135642175375,3.32465787713563,9.083768908142375,-2.0939135642175373,-7.0937689081423745,-0.6979711880725125,-2.3645896360474583,2.2388417349362413e-12,1.6713277594092698e-11
CamB,0.41,4.84,1.5,3.0,10.113241122409766,10.113241122409766,8.148943857948709,18.329555144848868,-5.273241122409766,-13.489555144848868,-1.7577470408032554,-4.49651838161629,5.248899404351947e-12,2.6556415057377866e-11
CamB,0.57,6.79,1.5,3.0,12.707157195848326,12.707157195848326,10.303048286793574,22.46570120949295,-5.9171571958483264,-15.67570120949295,-1.9723857319494422,-5.22523373649765,6.035400152976262e-12,2.8695550198420678e-11
CamB,0.73,8.87,1.5,3.0,14.925715929227646,14.925715929227648,12.144201744042297,26.007945679792048,-6.055715929227649,-17.137945679792047,-2.0185719764092163,-5.712648559930682,6.547334678385923e-12,3.0028849512078676e-11
CamB,0.9,10.9,1.5,3.0,16.317797032687956,16.317797032687956,13.366169982459445,28.736279908418762,-5.417797032687956,-17.83627990841876,-1.8059323442293185,-5.945426636139587,6.433108928511535e-12,2.97350063736831e-11
CamB,1.06,12.9,1.5,3.0,17.016337561296787,17.016337561296787,14.023291482387432,30.603615954703557,-4.1163375612967865,-17.703615954703558,-1.3721125204322622,-5.90120531823452,6.012339720155027e-12,2.8634465195452453e-11
CamB,1.22,14.7,1.5,3.0,17.00773277071344,17.00773277071344,14.069048795138922,31.633521558936827,-2.3077327707134394,-16.933521558936828,-0.7692442569044798,-5.644507186312276,5.257982010315273e-12,2.6581819692365227e-11
CamB,1.47,16.8,1.5,3.0,17.404821171158293,17.404821171158293,14.20576643479682,33.16169290052876,-0.6048211711582923,-16.361692900528762,-0.20160705705276408,-5.4538976335095875,4.448990310007977e-12,2.424406871619506e-11
CamB,1.79,20.1,1.5,3.0,16.022412864484547,16.022412864484547,12.953550632934583,32.98206636480549,4.077587135515454,-12.882066364805489,1.3591957118384848,-4.29402212160183,3.0379042247062057e-12,1.9694825908136972e-11
D512-2,0.96,22.9,2.71,3.0,14.964543093592933,14.964543093592933,11.650259653758793,27.01630831796863,7.935456906407065,-4.116308317968631,2.6451523021356884,-1.3721027726562103,4.581940352357436e-12,2.46394057658229e-11
D512-2,1.92,33.5,2.71,3.0,21.48048416586553,21.48048416586553,16.781990346797365,38.59561934544438,12.01951583413447,-5.095619345444383,4.006505278044823,-1.6985397818147945,4.753737100721466e-12,2.5143414501998103e-11
D512-2,2.88,37.2,4.19,4.19,21.280349715171504,21.280349715171504,16.84541017606873,42.40383415653987,15.9196502848285,-5.20383415653987,3.7994392087896176,-1.2419651924916155,3.1931560827968024e-12,2.0233323328425254e-11
D512-2,3.83,35.9,5.98,5.98,21.082270181363292,21.082270181363292,16.82793974317712,45.25888664642013,14.817729818636707,-9.358886646420132,2.4778812405747,-1.5650312117759417,2.3961421417202367e-12,1.7332388430745543e-11
D564-8,0.51,8.54,1.53,3.0,7.075558211194364,7.075558211194364,5.820969335085008,16.049375498389143,1.464441788805635,-7.509375498389144,0.48814726293521166,-2.5031251661297147,2.1531282619073998e-12,1.6367997684028243e-11
D564-8,1.02,15.1,1.41,3.0,9.945087430485465,9.945087430485465,8.300995362003283,22.798601723146874,5.154912569514535,-7.698601723146874,1.7183041898381781,-2.5662005743822913,2.1893219204588343e-12,1.6514510543696726e-11
D564-8,1.53,19.8,1.8,3.0,10.856611533991625,10.856611533991625,9.209493688580277,26.488841175381662,8.943388466008376,-6.688841175381661,2.9811294886694584,-2.2296137251272206,1.7965095622098324e-12,1.4862228792830423e-11
D564-8,2.04,21.9,1.82,3.0,10.910011457372535,10.910011457372535,9.40230556831674,28.655589013198878,10.989988542627463,-6.755589013198879,3.6633295142091544,-2.251863004399626,1.4043909107720661e-12,1.3044816277395051e-11
D564-8,2.56,24.0,1.89,3.0,10.604077800544466,10.604077800544466,9.259962526922017,29.997251470115728,13.395922199455534,-5.997251470115728,4.465307399818511,-1.9990838233719093,1.0854953011669247e-12,1.1391277118197669e-11
D564-8,3.07,25.0,2.05,3.0,10.226081849858232,10.226081849858232,9.00909262911643,30.877916862366213,14.773918150141768,-5.877916862366213,4.9246393833805895,-1.9593056207887376,8.567876223245605e-13,1.0064844428105437e-11
D631-7,0.45,8.41,1.58,3.0,12.820768073715396,12.820768073715396,11.15580808368448,22.30912139647263,-4.410768073715396,-13.89912139647263,-1.4702560245717986,-4.633040465490876,8.962703091822483e-12,3.584279550627051e-11
D631-7,0.9,17.8,2.22,3.0,20.222222330891327,20.222222330891327,17.68021821132307,33.675296915649014,-2.4222223308913264,-15.875296915649013,-0.8074074436304421,-5.291765638549671,1.1255950822420128e-11,4.083474167371345e-11
D631-7,1.35,26.0,2.35,3.0,26.153564651878714,26.153564651878714,22.618972213608643,42.29625849585934,-0.15356465187871393,-16.29625849585934,-0.051188217292904646,-5.432086165286447,1.228178301771952e-11,4.294569046116052e-11
D631-7,1.8,30.9,2.22,3.0,27.923371680368398,27.923371680368398,24.434482314958096,46.997204857942236,2.976628319631601,-16.097204857942238,0.9922094398772003,-5.365734952647412,1.074937550149641e-11,3.976683323602216e-11
D631-7,2.25,34.7,1.82,3.0,27.73099377952402,27.73099377952402,24.703956282344734,49.61009106147302,6.969006220475983,-14.910091061473018,2.323002073491994,-4.970030353824339,8.790224295350712e-12,3.544924459869804e-11
D631-7,2.69,38.8,1.81,3.0,27.488060026127705,27.488060026127705,24.79553193621786,51.682428740339965,11.311939973872292,-12.882428740339968,3.7706466579574305,-4.294142913446656,7.407028812090848e-12,3.21797750429678e-11
D631-7,3.14,42.5,1.57,3.0,26.702440412816202,26.702440412816202,24.340757671033987,52.921175165564016,15.797559587183798,-10.421175165564016,5.265853195727932,-3.4737250551880052,6.114880750677892e-12,2.890538550229578e-11
D631-7,3.59,45.6,1.59,3.0,25.983339970065433,25.983339970065433,23.845271984190074,53.90437123669421,19.616660029934568,-8.304371236694209,6.538886676644856,-2.7681237455647363,5.1328617511896394e-12,2.623028295044411e-11
D631-7,4.04,48.8,1.83,3.0,25.24692230748136,25.24692230748136,23.300479093786894,54.65465018579488,23.553077692518638,-5.854650185794881,7.851025897506212,-1.951550061931627,4.355096589318979e-12,2.3961959379083175e-11
D631-7,4.49,51.8,1.91,3.0,24.35923837068803,24.35923837068803,22.569635663873708,55.012547459933046,27.440761629311968,-3.212547459933049,9.14692054310399,-1.0708491533110163,3.676649336314663e-12,2.1843721271948604e-11
