PRN,RMS_BRDC_m,RMS_PMODEL_m,Mean_BRDC_s,Max_Res_s
G01,0.0570937261863507,0.10949987522137927,6.774588313382376e-09,4.787868233637747e-10
G02,0.11293836150749355,0.12969307778168257,7.563775013202911e-09,1.1027346981608564e-09
G03,0.33926182535586336,0.23105450755565166,6.432509316428921e-09,2.5819957594130117e-09
G04,0.06182289692273635,0.0948860623883699,7.834066195497638e-09,5.07589723656876e-10
G05,0.18127731965430297,0.181645403839606,7.8133267940286e-09,1.5164284877830033e-09
G06,0.07678198107454777,0.12739971170019435,7.407720691419909e-09,4.787536634902187e-10
G07,0.1372857469676455,0.14349245844257644,7.07321768982749e-09,1.1528087482570592e-09
G08,0.12492126342498391,0.11763026382498833,6.188572361355782e-09,1.71994912514493e-09
G09,0.1253009396491474,0.1069201638061533,6.742813701105747e-09,1.061425182422705e-09
G10,0.10277014353877165,0.1205676259483681,7.4460932080709006e-09,7.78813962734784e-10
G11,0.06830316958457516,0.1081643189700019,7.872061976602737e-09,5.563525182429208e-10
G12,0.13488288309889374,0.15966234532856965,7.966515725595894e-09,1.2552539303947667e-09
G13,0.11883577320788151,0.1548582997617902,7.068023835598619e-09,1.2715213386090043e-09
G14,0.0503675708299401,0.08942586109924877,7.3363895113080036e-09,3.9176677123797015e-10
G15,0.060569904565865945,0.12217800783543899,6.73695953052151e-09,4.852441745383674e-10
G16,0.19217066794810556,0.17703929973360508,8.249065389703818e-09,2.2155885181795416e-09
G17,0.1474474989507654,0.15714669522035202,6.898081810530925e-09,1.5591045036938175e-09
G18,0.09101509716326078,0.11688172122733864,8.024430907994402e-09,6.375690497622729e-10
G19,0.07360132310762849,0.10636080716996295,7.847495465166399e-09,6.455405556463311e-10
G21,0.09716817469716062,0.11345508166177144,8.143310227288612e-09,6.991307040026993e-10
G22,0.09828567710442329,0.14506892069038047,7.738311566736018e-09,8.192265214683677e-10
G23,0.04643591547706813,0.09105553157256707,7.610047243551048e-09,2.9536172724974126e-10
G24,0.08586125847213841,0.11401966943297775,6.852896705549195e-09,6.953904205370344e-10
G25,0.08463131116953045,0.13361966006437628,7.191482692042782e-09,8.886797833189643e-10
G26,0.10129667936246163,0.12665980042343564,7.67087350893797e-09,8.249411857505784e-10
G27,0.04763215706181122,0.11990146511459893,6.722628646351643e-09,4.6268611685415134e-10
G28,0.07632315484992931,0.10992779538385128,7.207771186106163e-09,5.706156329087798e-10
G29,0.2780915980965449,0.1298998879230812,7.0993605224146056e-09,2.045588371495892e-09
G30,0.10639574174013096,0.1423496696981088,6.2922514010173355e-09,1.2643797914014014e-09
G31,0.2054753418380388,0.09379345161860088,6.406185102233571e-09,1.2898641157679211e-09
G32,0.05553194152324309,0.08759769582483479,6.92416374510648e-09,5.417747089003965e-10
