lag_ms,corr
-10.009766,0.41874771
-9.765625,0.41261777
-9.521484,0.38055806
-9.277344,0.32076745
-9.033203,0.2398068
-8.789062,0.14989314
-8.544922,0.06403273
-8.300781,-0.00764667
-8.056641,-0.06048997
-7.8125,-0.09616996
-7.568359,-0.12018502
-7.324219,-0.13811944
-7.080078,-0.15367676
-6.835938,-0.16873084
-6.591797,-0.18437857
-6.347656,-0.20226052
-6.103516,-0.22522234
-5.859375,-0.25617619
-5.615234,-0.29552699
-5.371094,-0.33929756
-5.126953,-0.37979737
-4.882812,-0.40847925
-4.638672,-0.41910872
-4.394531,-0.4105004
-4.150391,-0.38789216
-3.90625,-0.36063889
-3.662109,-0.33731616
-3.417969,-0.32237457
-3.173828,-0.31568352
-2.929688,-0.31366137
-2.685547,-0.31103713
-2.441406,-0.30320926
-2.197266,-0.28855769
-1.953125,-0.26856414
-1.708984,-0.24525648
-1.464844,-0.21883422
-1.220703,-0.18753369
-0.976562,-0.14905439
-0.732422,-0.10243347
-0.488281,-0.04980056
-0.244141,0.00316536
0,0.04902783
0.244141,0.08248191
0.488281,0.10244775
0.732422,0.11023916
0.976562,0.10898286
1.220703,0.10253024
1.464844,0.09448031
1.708984,0.08765442
1.953125,0.08394186
2.197266,0.08435574
2.441406,0.08912661
2.685547,0.09767716
2.929688,0.10842848
3.173828,0.11865436
3.417969,0.12489728
3.662109,0.1241111
3.90625,0.11482666
4.150391,0.09769351
4.394531,0.0754259
4.638672,0.05212526
4.882812,0.0320014
5.126953,0.01806329
5.371094,0.01133535
5.615234,0.01074291
5.859375,0.01362814
6.103516,0.0166446
6.347656,0.01663801
6.591797,0.011216
6.835938,-0.00113647
7.080078,-0.02120338
7.324219,-0.0490421
7.568359,-0.08378133
7.8125,-0.12348172
8.056641,-0.16519298
8.300781,-0.20523511
8.544922,-0.23964315
8.789062,-0.26462604
9.033203,-0.27730656
9.277344,-0.27702581
9.521484,-0.26611046
9.765625,-0.24869535
10.009766,-0.22865174
