t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.119775295,3.15109656e-22,4.51140508e-22,1,0.698473426
-0.119531155,2.87447648e-22,2.48017051e-22,0,
-0.119287014,2.74670024e-22,3.71634759e-22,1,0.739085938
-0.119042873,2.82065466e-22,4.52158218e-22,1,0.623820279
-0.118798733,2.58349492e-22,5.7368638e-22,1,0.450332274
-0.118554592,2.60470419e-22,6.17141521e-22,1,0.422059463
-0.118310452,2.33793304e-22,6.22979044e-22,1,0.375282774
-0.118066311,2.32064318e-22,5.69323859e-22,1,0.407613899
-0.11782217,2.10541465e-22,4.61657389e-22,1,0.456055661
-0.11757803,2.0879504e-22,3.44075024e-22,0,
-0.117333889,1.91862861e-22,2.47825708e-22,0,
-0.117089748,1.84557958e-22,2.824343e-22,0,
-0.116845608,1.68059554e-22,3.97153583e-22,0,
-0.116601467,1.53368685e-22,5.17051371e-22,0,
-0.116357327,1.39283011e-22,5.92309214e-22,1,0.235152531
-0.116113186,1.21920238e-22,6.22359141e-22,0,
-0.115869045,1.18116154e-22,5.80877934e-22,0,
-0.115624905,1.14289033e-22,4.98511212e-22,0,
-0.115380764,1.28286502e-22,3.62145491e-22,0,
-0.115136623,1.44492487e-22,2.12322888e-22,0,
-0.114892483,1.64855474e-22,6.31502421e-23,0,
-0.114648342,1.86080887e-22,1.23493955e-22,0,
-0.114404202,1.99115643e-22,2.32233165e-22,0,
-0.114160061,2.12574213e-22,3.0709268e-22,0,
-0.11391592,2.13298531e-22,3.20478239e-22,0,
-0.11367178,2.13594011e-22,2.9046837e-22,0,
-0.113427639,2.00207375e-22,2.08493606e-22,0,
-0.113183498,1.8602195e-22,1.10383395e-22,0,
-0.112939358,1.63911736e-22,8.7737535e-23,0,
-0.112695217,1.46784841e-22,2.0350499e-22,0,
-0.112451077,1.3107058e-22,3.13648725e-22,0,
-0.112206936,1.25885876e-22,4.01812223e-22,0,
-0.111962795,1.2573534e-22,4.41596416e-22,0,
-0.111718655,1.33208402e-22,4.41310604e-22,0,
-0.111474514,1.37978147e-22,3.95197991e-22,0,
-0.111230373,1.39411998e-22,3.16999445e-22,0,
-0.110986233,1.32950663e-22,2.27252136e-22,0,
-0.110742092,1.1926753e-22,1.54798429e-22,0,
-0.110497952,1.00146374e-22,1.62281779e-22,0,
-0.110253811,7.33196569e-23,2.21566908e-22,0,
-0.11000967,4.55644334e-23,2.7009994e-22,0,
-0.10976553,1.42175386e-23,2.94627629e-22,0,
-0.109521389,1.64787896e-23,2.8054269e-22,0,
-0.109277248,4.1977416e-23,2.36367049e-22,0,
-0.109033108,5.97955021e-23,1.68650692e-22,0,
-0.108788967,7.61498483e-23,8.70867434e-23,0,
-0.108544827,8.34074453e-23,4.35109819e-23,0,
-0.108300686,8.87633015e-23,9.60984138e-23,0,
-0.108056545,8.88476063e-23,1.43225975e-22,0,
-0.107812405,9.25715754e-23,1.67257294e-22,0,
-0.107568264,9.62721147e-23,1.58600327e-22,0,
-0.107324123,1.03842051e-22,1.23204521e-22,0,
-0.107079983,1.09067193e-22,8.249475e-23,0,
-0.106835842,1.14680746e-22,9.13052061e-23,0,
-0.106591702,1.15031384e-22,1.59853973e-22,0,
-0.106347561,1.12843067e-22,2.39563186e-22,0,
-0.10610342,1.07329539e-22,3.01981415e-22,0,
-0.10585928,1.06701233e-22,3.43040509e-22,0,
-0.105615139,1.12520526e-22,3.52479698e-22,0,
-0.105370998,1.28321551e-22,3.30531593e-22,0,
-0.105126858,1.48415334e-22,2.82224686e-22,0,
-0.104882717,1.73516605e-22,2.09294153e-22,0,
-0.104638577,1.97379169e-22,1.32601091e-22,0,
-0.104394436,2.20528378e-22,8.90699449e-23,0,
-0.104150295,2.40335407e-22,1.28913401e-22,0,
-0.103906155,2.60131434e-22,1.95332288e-22,0,
-0.103662014,2.80010389e-22,2.45862197e-22,0,
-0.103417873,2.99804048e-22,2.71989004e-22,1,1.102265324
-0.103173733,3.17915161e-22,2.72396034e-22,1,1.167106424
-0.102929592,3.31294017e-22,2.45880658e-22,1,1.347377303
-0.102685452,3.39480442e-22,2.08546717e-22,0,
-0.102441311,3.37221061e-22,1.79366803e-22,0,
-0.10219717,3.25670794e-22,1.98625443e-22,0,
-0.10195303,3.00657637e-22,2.58190438e-22,0,
-0.101708889,2.68339578e-22,3.3473869e-22,1,0.801638968
-0.101464748,2.27113884e-22,4.00290855e-22,1,0.567372153
-0.101220608,1.84626235e-22,4.48175588e-22,1,0.411950672
-0.100976467,1.40191245e-22,4.65978593e-22,0,
-0.100732327,1.03508427e-22,4.52672775e-22,0,
-0.100488186,7.81866823e-23,4.06747228e-22,0,
-0.100244045,7.30655257e-23,3.30079753e-22,0,
-0.099999905,7.79866587e-23,2.33306461e-22,0,
-0.099755764,8.79533266e-23,1.21154952e-22,0,
-0.099511623,9.3668462e-23,1.41911838e-23,0,
-0.099267483,9.67936358e-23,9.80886801e-23,0,
-0.099023342,9.21139244e-23,1.8622096e-22,0,
-0.098779202,8.39949495e-23,2.49996441e-22,0,
-0.098535061,7.04230035e-23,2.8644e-22,0,
