lag_ms,corr
-10.009766,-0.01283144
-9.765625,-0.00696744
-9.521484,-0.00428848
-9.277344,-0.00351417
-9.033203,-0.00303
-8.789062,-0.00136273
-8.544922,0.00235895
-8.300781,0.00808485
-8.056641,0.01478903
-7.8125,0.0207139
-7.568359,0.02382618
-7.324219,0.02236185
-7.080078,0.01536709
-6.835938,0.00312808
-6.591797,-0.01268039
-6.347656,-0.02925366
-6.103516,-0.04323856
-5.859375,-0.05139597
-5.615234,-0.05119719
-5.371094,-0.04137693
-5.126953,-0.02241006
-4.882812,0.00336144
-4.638672,0.03222403
-4.394531,0.06004743
-4.150391,0.08317715
-3.90625,0.09894798
-3.662109,0.10593324
-3.417969,0.10414337
-3.173828,0.09511906
-2.929688,0.08164017
-2.685547,0.06696921
-2.441406,0.05396767
-2.197266,0.04449904
-1.953125,0.03922828
-1.708984,0.03770168
-1.464844,0.03861615
-1.220703,0.04025402
-0.976562,0.0410102
-0.732422,0.03985569
-0.488281,0.03660037
-0.244141,0.03191055
0,0.02710082
0.244141,0.01982748
0.488281,0.01548811
0.732422,0.01523982
0.976562,0.01940894
1.220703,0.02739075
1.464844,0.03776249
1.708984,0.0485816
1.953125,0.05778671
2.197266,0.0635986
2.441406,0.06483612
2.685547,0.06109654
2.929688,0.05278126
3.173828,0.0409744
3.417969,0.02720842
3.662109,0.0131707
3.90625,0.00040934532
4.150391,-0.00991363
4.394531,-0.01718642
4.638672,-0.02140441
4.882812,-0.02311121
5.126953,-0.02324168
5.371094,-0.02291145
5.615234,-0.02320609
5.859375,-0.02500806
6.103516,-0.02887625
6.347656,-0.03497793
6.591797,-0.04307117
6.835938,-0.05253844
7.080078,-0.06247099
7.324219,-0.07179462
7.568359,-0.07941809
7.8125,-0.08438249
8.056641,-0.08599397
8.300781,-0.08392714
8.544922,-0.07828566
8.789062,-0.069605
9.033203,-0.05878656
9.277344,-0.04696683
9.521484,-0.03534357
9.765625,-0.02499177
10.009766,-0.01670321
