lag_ms,corr
-10.009766,-0.04119512
-9.765625,-0.03734854
-9.521484,-0.03615875
-9.277344,-0.03629476
-9.033203,-0.03578341
-8.789062,-0.03267892
-8.544922,-0.02574472
-8.300781,-0.01496292
-8.056641,-0.00169537
-7.8125,0.01158863
-7.568359,0.02193397
-7.324219,0.02666248
-7.080078,0.02406703
-6.835938,0.01388303
-6.591797,-0.00257637
-6.347656,-0.02267794
-6.103516,-0.04306193
-5.859375,-0.06040259
-5.615234,-0.07213717
-5.371094,-0.07700287
-5.126953,-0.07526416
-4.882812,-0.06856506
-4.638672,-0.05943598
-4.394531,-0.05059497
-4.150391,-0.04423724
-3.90625,-0.0414928
-3.662109,-0.04218796
-3.417969,-0.04497487
-3.173828,-0.04778128
-2.929688,-0.04842613
-2.685547,-0.0452207
-2.441406,-0.03742079
-2.197266,-0.02544108
-1.953125,-0.01077238
-1.708984,0.00438941
-1.464844,0.01768866
-1.220703,0.02716114
-0.976562,0.03166153
-0.732422,0.03109132
-0.488281,0.02635961
-0.244141,0.01904332
0,0.01084469
0.244141,-0.00530882
0.488281,-0.01952271
0.732422,-0.02984654
0.976562,-0.03542146
1.220703,-0.03662594
1.464844,-0.03489211
1.708984,-0.03223051
1.953125,-0.03063667
2.197266,-0.03155724
2.441406,-0.03551971
2.685547,-0.04198764
2.929688,-0.04947786
3.173828,-0.05590003
3.417969,-0.05900266
3.662109,-0.05682553
3.90625,-0.0481272
4.150391,-0.03275037
4.394531,-0.01180065
4.638672,0.01250424
4.882812,0.03730897
5.126953,0.05972896
5.371094,0.07737801
5.615234,0.08871729
5.859375,0.09321891
6.103516,0.09134963
6.347656,0.08438711
6.591797,0.07411865
6.835938,0.06249421
7.080078,0.05128679
7.324219,0.04179855
7.568359,0.03466675
7.8125,0.02982774
8.056641,0.02664913
8.300781,0.02417724
8.544922,0.02142625
8.789062,0.01765172
9.033203,0.01256001
9.277344,0.00640363
9.521484,-6.3933758e-05
9.765625,-0.00574967
10.009766,-0.00944518
