t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.119970798,2.33382045e-22,1.65972175e-21,0,
-0.119726658,1.9340571e-22,2.16261813e-21,0,
-0.119482517,1.41665561e-22,1.98073132e-21,0,
-0.119238377,9.33737195e-23,2.0904573e-21,0,
-0.118994236,5.27287395e-23,1.966554e-21,0,
-0.118750095,5.33610616e-23,1.87655576e-21,0,
-0.118505955,8.32383946e-23,1.87164472e-21,0,
-0.118261814,1.12855921e-22,1.71780742e-21,0,
-0.118017673,1.3221267e-22,1.65390732e-21,0,
-0.117773533,1.39987399e-22,1.51120575e-21,0,
-0.117529392,1.34614862e-22,1.39043702e-21,0,
-0.117285252,1.18895821e-22,1.48225503e-21,0,
-0.117041111,9.3591599e-23,1.70383732e-21,0,
-0.11679697,6.33996967e-23,2.11580642e-21,0,
-0.11655283,3.07971886e-23,2.60889975e-21,0,
-0.116308689,1.35613221e-23,3.02277958e-21,0,
-0.116064548,3.82274843e-23,3.40747774e-21,0,
-0.115820408,6.31640488e-23,3.5966547e-21,0,
-0.115576267,8.35223906e-23,3.64723897e-21,0,
-0.115332127,9.8039248e-23,3.51596403e-21,0,
-0.115087986,1.0754078e-22,3.19805523e-21,0,
-0.114843845,1.12159632e-22,2.79386181e-21,0,
-0.114599705,1.12547987e-22,2.28355756e-21,0,
-0.114355564,1.09236329e-22,1.85517306e-21,0,
-0.114111423,1.03812341e-22,1.61323687e-21,0,
-0.113867283,9.97575351e-23,1.64309076e-21,0,
-0.113623142,1.02938584e-22,1.91034818e-21,0,
-0.113379002,1.18520191e-22,2.18773411e-21,0,
-0.113134861,1.47017585e-22,2.40368766e-21,0,
-0.11289072,1.84343298e-22,2.51906926e-21,0,
-0.11264658,2.26103111e-22,2.4858385e-21,0,
-0.112402439,2.67969768e-22,2.38841323e-21,0,
-0.112158298,3.06590653e-22,2.2137141e-21,0,
-0.111914158,3.39053672e-22,2.0525295e-21,0,
-0.111670017,3.63138831e-22,1.95228709e-21,0,
-0.111425877,3.77643576e-22,1.89171717e-21,0,
-0.111181736,3.81686071e-22,1.89219309e-21,0,
-0.110937595,3.75521257e-22,1.86019646e-21,0,
-0.110693455,3.59032752e-22,1.77417466e-21,0,
-0.110449314,3.33287755e-22,1.63871617e-21,0,
-0.110205173,2.98883266e-22,1.45012091e-21,0,
-0.109961033,2.58116268e-22,1.3419526e-21,0,
-0.109716892,2.13535516e-22,1.40100959e-21,0,
-0.109472752,1.70862615e-22,1.64326861e-21,0,
-0.109228611,1.38495185e-22,2.01126723e-21,0,
-0.10898447,1.27887081e-22,2.35764793e-21,0,
-0.10874033,1.40454675e-22,2.63044814e-21,0,
-0.108496189,1.65178718e-22,2.77493083e-21,0,
-0.108252048,1.89975978e-22,2.7471354e-21,0,
-0.108007908,2.08489586e-22,2.5832557e-21,0,
-0.107763767,2.16844104e-22,2.27785485e-21,0,
-0.107519627,2.13911061e-22,1.94390148e-21,0,
-0.107275486,1.99259106e-22,1.71849302e-21,0,
-0.107031345,1.74622588e-22,1.75618092e-21,0,
-0.106787205,1.42463802e-22,2.09622563e-21,0,
-0.106543064,1.08292932e-22,2.5585232e-21,0,
-0.106298923,8.24255158e-23,3.00567154e-21,0,
-0.106054783,8.26267066e-23,3.3590708e-21,0,
-0.105810642,1.09765861e-22,3.53780364e-21,0,
-0.105566502,1.48157181e-22,3.55314095e-21,0,
-0.105322361,1.87900127e-22,3.3769461e-21,0,
-0.10507822,2.25306369e-22,3.0516753e-21,0,
-0.10483408,2.5808623e-22,2.62612095e-21,0,
-0.104589939,2.85312644e-22,2.15969467e-21,0,
-0.104345798,3.05769675e-22,1.79188742e-21,0,
-0.104101658,3.19128766e-22,1.62710488e-21,0,
-0.103857517,3.2475719e-22,1.72059253e-21,0,
-0.103613377,3.23264966e-22,1.98460047e-21,0,
-0.103369236,3.1572172e-22,2.26865217e-21,0,
-0.103125095,3.05044745e-22,2.52733672e-21,0,
-0.102880955,2.94669773e-22,2.73175421e-21,0,
-0.102636814,2.88511826e-22,2.88285319e-21,0,
-0.102392673,2.88544011e-22,3.02382771e-21,0,
-0.102148533,2.94534091e-22,3.14513888e-21,0,
-0.101904392,3.03521472e-22,3.26979504e-21,0,
-0.101660252,3.12018456e-22,3.37478411e-21,0,
-0.101416111,3.16951944e-22,3.42308513e-21,1,0.092592481
-0.10117197,3.17263193e-22,3.4067038e-21,0,
-0.10092783,3.1369349e-22,3.27989203e-21,0,
-0.100683689,3.08867468e-22,3.06180065e-21,0,
-0.100439548,3.06052187e-22,2.76772924e-21,0,
-0.100195408,3.07869181e-22,2.4491768e-21,0,
-0.099951267,3.14624093e-22,2.2196164e-21,0,
-0.099707127,3.2398913e-22,2.15944405e-21,0,
-0.099462986,3.32104954e-22,2.31299359e-21,0,
-0.099218845,3.3520017e-22,2.60601531e-21,0,
-0.098974705,3.30966734e-22,2.90507781e-21,0,
-0.098730564,3.18815888e-22,3.13748348e-21,0,
-0.098486423,3.00295169e-22,3.22253871e-21,0,
-0.098242283,2.78379161e-22,3.13526668e-21,0,
-0.097998142,2.57408321e-22,2.87587259e-21,0,
-0.097754002,2.41314061e-22,2.45115164e-21,0,
-0.097509861,2.32772348e-22,1.94554669e-21,0,
-0.09726572,2.31587506e-22,1.48261884e-21,0,
-0.09702158,2.35911898e-22,1.34737531e-21,0,
-0.096777439,2.43050886e-22,1.7048957e-21,0,
-0.096533298,2.51290035e-22,2.30260724e-21,0,
-0.096289158,2.5941917e-22,2.93043064e-21,0,
-0.096045017,2.66968879e-22,3.48748313e-21,0,
-0.095800877,2.72851641e-22,3.90766687e-21,0,
-0.095556736,2.75892826e-22,4.19063771e-21,1,0.065835523
-0.095312595,2.7444369e-22,4.31813555e-21,1,0.063556062
-0.095068455,2.6790062e-22,4.31925412e-21,1,0.062024742
-0.094824314,2.56437884e-22,4.2256866e-21,1,0.060685495
-0.094580173,2.42003958e-22,4.06465928e-21,0,
-0.094336033,2.27213941e-22,3.89348254e-21,0,
-0.094091892,2.15462096e-22,3.724348e-21,0,
-0.093847752,2.0888788e-22,3.5850575e-21,0,
-0.093603611,2.08090733e-22,3.47913735e-21,0,
-0.09335947,2.11276182e-22,3.38963268e-21,0,
-0.09311533,2.16253099e-22,3.33268742e-21,0,
-0.092871189,2.20958427e-22,3.30077694e-21,0,
-0.092627048,2.24976177e-22,3.31603536e-21,0,
-0.092382908,2.28806835e-22,3.40106415e-21,0,
-0.092138767,2.34183669e-22,3.54088705e-21,0,
-0.091894627,2.4237939e-22,3.73072602e-21,0,
-0.091650486,2.54106071e-22,3.91942656e-21,0,
-0.091406345,2.68550707e-22,4.05763551e-21,1,0.066184039
-0.091162205,2.84631598e-22,4.11204911e-21,1,0.06921892
-0.090918064,3.00884623e-22,4.0338446e-21,1,0.074590038
-0.090673923,3.1659316e-22,3.82799483e-21,1,0.082704699
-0.090429783,3.31276584e-22,3.49887036e-21,1,0.094681011
-0.090185642,3.45418901e-22,3.09440676e-21,0,
-0.089941502,3.59541375e-22,2.7186631e-21,0,
-0.089697361,3.74259725e-22,2.49309259e-21,0,
-0.08945322,3.89112633e-22,2.54698689e-21,0,
-0.08920908,4.02910295e-22,2.86159078e-21,1,0.140799411
-0.088964939,4.13452312e-22,3.29346817e-21,1,0.12553706
-0.088720798,4.18430402e-22,3.72086907e-21,1,0.112455019
-0.088476658,4.15571178e-22,4.03407082e-21,1,0.10301534
-0.088232517,4.03450389e-22,4.18264995e-21,1,0.096458081
-0.087988377,3.81691824e-22,4.14986849e-21,1,0.091976848
-0.087744236,3.51369809e-22,3.93502697e-21,1,0.089292859
-0.087500095,3.15163963e-22,3.60396088e-21,1,0.08744933
-0.087255955,2.7752823e-22,3.23732905e-21,0,
-0.087011814,2.44829875e-22,2.98118108e-21,0,
-0.086767673,2.24194385e-22,2.98329574e-21,0,
-0.086523533,2.20456032e-22,3.26585312e-21,0,
-0.086279392,2.3264072e-22,3.74059485e-21,0,
-0.086035252,2.5527724e-22,4.25935756e-21,1,0.059933273
-0.085791111,2.8256503e-22,4.7032998e-21,1,0.060078039
-0.08554697,3.10433165e-22,5.01171731e-21,1,0.061941475
-0.08530283,3.36470513e-22,5.12868018e-21,1,0.065605673
-0.085058689,3.59330964e-22,5.05602994e-21,1,0.071069786
-0.084814548,3.78356468e-22,4.80250178e-21,1,0.078783202
-0.084570408,3.93585988e-22,4.40432764e-21,1,0.089363467
-0.084326267,4.05788029e-22,3.93739751e-21,1,0.10305996
-0.084082127,4.1662393e-22,3.47715381e-21,1,0.119817515
-0.083837986,4.27953696e-22,3.14583419e-21,1,0.136038224
-0.083593845,4.41190375e-22,3.03572106e-21,1,0.145332976
-0.083349705,4.56158252e-22,3.16038203e-21,1,0.144336428
-0.083105564,4.7121052e-22,3.46386578e-21,1,0.136036022
-0.082861423,4.83258947e-22,3.83492884e-21,1,0.126015102
