t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.119970798,2.37387952e-22,9.20174974e-23,0,
-0.119726658,2.11018487e-22,3.68217923e-23,0,
-0.119482517,2.3769983e-22,8.28813178e-24,0,
-0.119238377,2.42175359e-22,4.49275817e-23,0,
-0.118994236,2.49589675e-22,3.40146678e-23,0,
-0.118750095,2.47277804e-22,6.17806365e-23,0,
-0.118505955,2.35331028e-22,5.87559426e-23,0,
-0.118261814,2.22639456e-22,8.02901926e-23,0,
-0.118017673,1.97803342e-22,7.6167324e-23,0,
-0.117773533,1.77326854e-22,8.78620794e-23,0,
-0.117529392,1.50058995e-22,7.8071811e-23,0,
-0.117285252,1.30198527e-22,7.76312073e-23,0,
-0.117041111,1.1510362e-22,6.21159169e-23,0,
-0.11679697,1.07807931e-22,5.18144031e-23,0,
-0.11655283,1.12884182e-22,3.37467012e-23,0,
-0.116308689,1.20110506e-22,2.15546507e-23,0,
-0.116064548,1.34042845e-22,1.27411293e-23,0,
-0.115820408,1.45378438e-22,2.96117769e-23,0,
-0.115576267,1.56014725e-22,4.1424551e-23,0,
-0.115332127,1.62671441e-22,6.27580551e-23,0,
-0.115087986,1.62057338e-22,7.51817151e-23,0,
-0.114843845,1.55991678e-22,9.51891437e-23,0,
-0.114599705,1.39276345e-22,1.06315374e-22,0,
-0.114355564,1.17540054e-22,1.22299252e-22,0,
-0.114111423,8.55911612e-23,1.30651509e-22,0,
-0.113867283,4.95943529e-23,1.39661078e-22,0,
-0.113623142,8.05106174e-24,1.44073165e-22,0,
-0.113379002,3.58862061e-23,1.44819706e-22,0,
-0.113134861,7.74278411e-23,1.45278324e-22,0,
-0.11289072,1.14570031e-22,1.39206011e-22,0,
-0.11264658,1.45479348e-22,1.36354586e-22,0,
-0.112402439,1.70765901e-22,1.26570188e-22,0,
-0.112158298,1.87595073e-22,1.20786448e-22,0,
-0.111914158,1.99614894e-22,1.10128909e-22,0,
-0.111670017,2.05389189e-22,1.01772054e-22,0,
-0.111425877,2.10645244e-22,9.20474059e-23,0,
-0.111181736,2.1192522e-22,8.25349995e-23,0,
-0.110937595,2.11553562e-22,7.51238337e-23,0,
-0.110693455,2.04629654e-22,6.63820758e-23,0,
-0.110449314,1.94747219e-22,6.12180836e-23,0,
-0.110205173,1.79965716e-22,5.22441394e-23,0,
-0.109961033,1.67388826e-22,4.57189658e-23,0,
-0.109716892,1.62681072e-22,3.2880581e-23,0,
-0.109472752,1.79478186e-22,2.1574918e-23,0,
-0.109228611,2.15815381e-22,5.52941991e-24,0,
-0.10898447,2.66203945e-22,1.18273251e-23,0,
-0.10874033,3.18750718e-22,3.01488116e-23,0,
-0.108496189,3.70262007e-22,4.49697649e-23,0,
-0.108252048,4.13290547e-22,5.9218834e-23,0,
-0.108007908,4.46279239e-22,6.967284e-23,0,
-0.107763767,4.64634623e-22,7.732422e-23,0,
-0.107519627,4.6996045e-22,8.35965178e-23,0,
-0.107275486,4.62253402e-22,8.87353623e-23,0,
-0.107031345,4.43395868e-22,9.66797567e-23,0,
-0.106787205,4.13924573e-22,1.05247967e-22,0,
-0.106543064,3.75357577e-22,1.16945075e-22,0,
-0.106298923,3.31365806e-22,1.26201483e-22,0,
-0.106054783,2.84223537e-22,1.35444688e-22,0,
-0.105810642,2.37781202e-22,1.3849199e-22,0,
-0.105566502,1.94005279e-22,1.39994907e-22,0,
-0.105322361,1.60356583e-22,1.3468339e-22,0,
-0.10507822,1.41387196e-22,1.29343643e-22,0,
