lag_ms,corr
-11.962891,-0.02212142
-11.71875,-0.00362145
-11.474609,0.01514472
-11.230469,0.02403569
-10.986328,0.01885955
-10.742188,0.00256897
-10.498047,-0.01640485
-10.253906,-0.02768906
-10.009766,-0.02394398
-9.765625,-0.00564697
-9.521484,0.01765735
-9.277344,0.03207233
-9.033203,0.02823853
-8.789062,0.0081268
-8.544922,-0.01584446
-8.300781,-0.02904932
-8.056641,-0.02419387
-7.8125,-0.00522148
-7.568359,0.0162766
-7.324219,0.02846171
-7.080078,0.02539563
-6.835938,0.00916771
-6.591797,-0.01166154
-6.347656,-0.02602491
-6.103516,-0.02565091
-5.859375,-0.00987879
-5.615234,0.01298031
-5.371094,0.02971389
-5.126953,0.03010292
-4.882812,0.01360499
-4.638672,-0.01012022
-4.394531,-0.0272421
-4.150391,-0.02813478
-3.90625,-0.0126458
-3.662109,0.01042405
-3.417969,0.02829308
-3.173828,0.03079838
-2.929688,0.01574412
-2.685547,-0.00932753
-2.441406,-0.03031558
-2.197266,-0.03428572
-1.953125,-0.01782868
-1.708984,0.00976649
-1.464844,0.03163371
-1.220703,0.03411971
-0.976562,0.01576833
-0.732422,-0.01198864
-0.488281,-0.03250808
-0.244141,-0.03428213
0,-0.01711894
0.244141,0.00878531
0.488281,0.02888057
0.732422,0.03221523
0.976562,0.01640733
1.220703,-0.01068962
1.464844,-0.03416292
1.708984,-0.03975862
1.953125,-0.02281364
2.197266,0.00756773
2.441406,0.0331929
2.685547,0.03817641
2.929688,0.01935496
3.173828,-0.01163302
3.417969,-0.03603556
3.662109,-0.03962067
3.90625,-0.02061414
4.150391,0.01009957
4.394531,0.03558216
4.638672,0.04194421
4.882812,0.02555655
5.126953,-0.00474708
5.371094,-0.03194405
5.615234,-0.0400899
5.859375,-0.02386266
6.103516,0.00758887
6.347656,0.03572061
6.591797,0.04379805
6.835938,0.02701867
7.080078,-0.00484671
7.324219,-0.03354486
7.568359,-0.04283456
7.8125,-0.02737021
8.056641,0.00438099
8.300781,0.03451642
8.544922,0.04530908
8.789062,0.02960697
9.033203,-0.00391972
9.277344,-0.03509471
9.521484,-0.04452096
9.765625,-0.02622585
10.009766,0.00823803
10.253906,0.03750842
10.498047,0.0443146
10.742188,0.02571335
10.986328,-0.00654371
11.230469,-0.03416741
11.474609,-0.04255192
11.71875,-0.02756094
11.962891,0.00302367
