t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.119824171,2.49079923e-10,4.97837101e-09,1,0.050032415
-0.11958003,1.95811423e-10,3.59516914e-09,0,
-0.11933589,1.88341479e-10,4.34414417e-09,0,
-0.119091749,1.67718796e-10,4.48474395e-09,0,
-0.118847609,1.53929935e-10,4.84465323e-09,0,
-0.118603468,1.38380332e-10,5.15065491e-09,0,
-0.118359327,1.27146128e-10,5.3020358e-09,0,
-0.118115187,1.19658107e-10,5.61153799e-09,0,
-0.117871046,1.19201533e-10,5.63673015e-09,0,
-0.117626905,1.23584611e-10,5.9060785e-09,0,
-0.117382765,1.33579784e-10,5.85208599e-09,0,
-0.117138624,1.4495109e-10,6.05949246e-09,0,
-0.116894484,1.56501582e-10,5.9543765e-09,0,
-0.116650343,1.66966373e-10,6.0828606e-09,0,
-0.116406202,1.72693161e-10,5.94655447e-09,0,
-0.116162062,1.77126224e-10,5.9860602e-09,0,
-0.115917921,1.73628918e-10,5.83872364e-09,0,
-0.11567378,1.69971347e-10,5.7924619e-09,0,
-0.11542964,1.57310816e-10,5.65727415e-09,0,
-0.115185499,1.46190901e-10,5.54471225e-09,0,
-0.114941359,1.27316791e-10,5.44407212e-09,0,
-0.114697218,1.11560394e-10,5.29749883e-09,0,
-0.114453077,9.14236211e-11,5.24576452e-09,0,
-0.114208937,7.50797082e-11,5.10146785e-09,0,
-0.113964796,5.88895397e-11,5.10013721e-09,0,
-0.113720655,4.53215614e-11,4.98858084e-09,0,
-0.113476515,3.51987088e-11,5.02809262e-09,0,
-0.113232374,2.51509519e-11,4.96792309e-09,0,
-0.112988234,2.1648298e-11,5.03386902e-09,0,
-0.112744093,2.57073224e-11,5.0306908e-09,0,
-0.112499952,4.16710934e-11,5.10808584e-09,0,
-0.112255812,6.28298905e-11,5.15524563e-09,0,
-0.112011671,9.01259975e-11,5.22845155e-09,0,
-0.11176753,1.18161225e-10,5.30847127e-09,0,
-0.11152339,1.50052985e-10,5.36061153e-09,0,
-0.111279249,1.78812958e-10,5.44881182e-09,0,
-0.111035109,2.08261245e-10,5.46462025e-09,0,
-0.110790968,2.31160286e-10,5.53567872e-09,1,0.041758255
-0.110546827,2.508925e-10,5.50705996e-09,1,0.045558338
-0.110302687,2.61782662e-10,5.54246983e-09,1,0.047232131
-0.110058546,2.65909978e-10,5.47310392e-09,1,0.048584858
-0.109814405,2.6050514e-10,5.46654495e-09,1,0.04765444
-0.109570265,2.45966812e-10,5.372668e-09,1,0.04578113
-0.109326124,2.22984869e-10,5.33143109e-09,1,0.04182458
-0.109081984,1.90433328e-10,5.23824251e-09,0,
-0.108837843,1.52176228e-10,5.18050363e-09,0,
-0.108593702,1.06240943e-10,5.11550067e-09,0,
-0.108349562,5.91244714e-11,5.06453971e-09,0,
-0.108105421,1.87957016e-11,5.04995669e-09,0,
-0.10786128,5.05870749e-11,5.02718324e-09,0,
-0.10761714,9.91900472e-11,5.07376461e-09,0,
-0.107372999,1.42712562e-10,5.09260576e-09,0,
-0.107128859,1.81495087e-10,5.19641858e-09,0,
-0.106884718,2.11348973e-10,5.25872117e-09,0,
-0.106640577,2.32376363e-10,5.40182454e-09,1,0.043018125
-0.106396437,2.43274393e-10,5.49756898e-09,1,0.044251267
-0.106152296,2.43380029e-10,5.65229425e-09,1,0.043058627
-0.105908155,2.3428535e-10,5.76244986e-09,1,0.040657247
-0.105664015,2.15141103e-10,5.89805672e-09,1,0.036476608
-0.105419874,1.90286304e-10,5.99962131e-09,0,
-0.105175734,1.59986931e-10,6.08948183e-09,0,
-0.104931593,1.32297166e-10,6.16125109e-09,0,
-0.104687452,1.12250648e-10,6.1886611e-09,0,
-0.104443312,1.11706687e-10,6.21613823e-09,0,
-0.104199171,1.2838929e-10,6.17734253e-09,0,
-0.10395503,1.55896423e-10,6.15550173e-09,0,
-0.10371089,1.83680523e-10,6.05937926e-09,0,
-0.103466749,2.0888086e-10,5.99270638e-09,1,0.034855848
-0.103222609,2.26051689e-10,5.85755618e-09,1,0.038591468
-0.102978468,2.36140623e-10,5.75772495e-09,1,0.041012835
-0.102734327,2.35438637e-10,5.60644851e-09,1,0.041994257
-0.102490187,2.26745178e-10,5.48884043e-09,1,0.041310215
-0.102246046,2.07632208e-10,5.34422194e-09,0,
-0.102001905,1.81893921e-10,5.22485408e-09,0,
-0.101757765,1.48636506e-10,5.10632459e-09,0,
-0.101513624,1.12204976e-10,5.00026422e-09,0,
-0.101269484,7.42103847e-11,4.92250287e-09,0,
-0.101025343,4.45925828e-11,4.84361865e-09,0,
-0.100781202,4.38871002e-11,4.81618113e-09,0,
-0.100537062,7.04399567e-11,4.77692608e-09,0,
-0.100292921,9.81829506e-11,4.80375099e-09,0,
-0.10004878,1.2234939e-10,4.81366179e-09,0,
-0.09980464,1.37737744e-10,4.89214331e-09,0,
-0.099560499,1.45634087e-10,4.95505966e-09,0,
-0.099316359,1.43121103e-10,5.0754635e-09,0,
-0.099072218,1.32328942e-10,5.18689683e-09,0,
-0.098828077,1.12280484e-10,5.33299349e-09,0,
-0.098583937,8.5265e-11,5.47920474e-09,0,
-0.098339796,5.35925754e-11,5.6302244e-09,0,
-0.098095655,2.68006632e-11,5.78959282e-09,0,
-0.097851515,4.34070494e-11,5.9230973e-09,0,
-0.097607374,8.17636019e-11,6.06950269e-09,0,
-0.097363234,1.21158792e-10,6.16479805e-09,0,
-0.097119093,1.58651e-10,6.27239291e-09,0,
-0.096874952,1.89972702e-10,6.31410643e-09,1,0.030087029
-0.096630812,2.15575229e-10,6.36263361e-09,1,0.033881446
-0.096386671,2.31989703e-10,6.34387736e-09,1,0.036569071
-0.09614253,2.40501454e-10,6.32345227e-09,1,0.038033252
-0.09589839,2.39376571e-10,6.24787968e-09,1,0.038313249
-0.095654249,2.30329107e-10,6.16208759e-09,1,0.037378421
-0.095410109,2.14650908e-10,6.04426822e-09,1,0.035513134
-0.095165968,1.94978671e-10,5.91061283e-09,0,
-0.094921827,1.77492012e-10,5.77433272e-09,0,
-0.094677687,1.67474609e-10,5.62138365e-09,0,
-0.094433546,1.73417765e-10,5.4954899e-09,0,
-0.094189405,1.95099986e-10,5.35644336e-09,0,
