trial_id,status,reason,n_usable_events,n_pair_pruned_events,tensor_reject_events,watch_events,scalar_overlap_proxy,corr_use_min,response_floor_frac,min_ring_directions,geometry_relax_factor,geometry_delay_floor_ms,allow_pair_pruning,top_bottleneck_pair,top_bottleneck_share,returncode,trial_json
tmp_ng_breakthrough_0028,reject,tensor_response_failed_for_some_events,4,2,4,0,1,0.05,0.08,6,4,0.25,True,H1-V1,0.9732786,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0028.json
tmp_ng_breakthrough_0032,reject,tensor_response_failed_for_some_events,4,2,4,0,1,0.05,0.08,8,4,0.25,True,H1-V1,0.9732786,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0032.json
tmp_ng_breakthrough_0036,reject,tensor_response_failed_for_some_events,4,2,4,0,1,0.05,0.08,10,4,0.25,True,H1-V1,0.9732786,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0036.json
tmp_ng_breakthrough_0040,reject,tensor_response_failed_for_some_events,4,2,4,0,1,0.05,0.1,6,4,0.25,True,H1-V1,0.9162592,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0040.json
tmp_ng_breakthrough_0044,reject,tensor_response_failed_for_some_events,4,2,4,0,1,0.05,0.1,8,4,0.25,True,H1-V1,0.9162592,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0044.json
tmp_ng_breakthrough_0048,reject,tensor_response_failed_for_some_events,4,2,4,0,1,0.05,0.1,10,4,0.25,True,H1-V1,0.9162592,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0048.json
tmp_ng_breakthrough_0002,reject,tensor_response_failed_for_some_events,4,3,4,0,1,0.03,0.08,6,2,0.25,True,H1-V1,0.9667212,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0002.json
tmp_ng_breakthrough_0004,reject,tensor_response_failed_for_some_events,4,3,4,0,1,0.03,0.08,6,4,0.25,True,H1-V1,0.9732786,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0004.json
tmp_ng_breakthrough_0006,reject,tensor_response_failed_for_some_events,4,3,4,0,1,0.03,0.08,8,2,0.25,True,H1-V1,0.9667212,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0006.json
tmp_ng_breakthrough_0008,reject,tensor_response_failed_for_some_events,4,3,4,0,1,0.03,0.08,8,4,0.25,True,H1-V1,0.9732786,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0008.json
