trial_id,status,reason,n_usable_events,n_pair_pruned_events,scalar_overlap_proxy,corr_use_min,response_floor_frac,min_ring_directions,geometry_relax_factor,geometry_delay_floor_ms,allow_pair_pruning,returncode,trial_json
tmp_ng_tune_0002,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.05,8,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0002.json
tmp_ng_tune_0004,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.05,8,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0004.json
tmp_ng_tune_0006,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.05,12,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0006.json
tmp_ng_tune_0008,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.05,12,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0008.json
tmp_ng_tune_0010,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.1,8,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0010.json
tmp_ng_tune_0012,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.1,8,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0012.json
tmp_ng_tune_0014,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.1,12,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0014.json
tmp_ng_tune_0016,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.1,12,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0016.json
tmp_ng_tune_0018,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.15,8,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0018.json
tmp_ng_tune_0020,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.15,8,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0020.json
tmp_ng_tune_0022,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.15,12,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0022.json
tmp_ng_tune_0024,reject,tensor_response_failed_for_some_events,4,3,1,0.03,0.15,12,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0024.json
tmp_ng_tune_0028,reject,tensor_response_failed_for_some_events,4,2,1,0.05,0.05,8,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0028.json
tmp_ng_tune_0032,reject,tensor_response_failed_for_some_events,4,2,1,0.05,0.05,12,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0032.json
tmp_ng_tune_0036,reject,tensor_response_failed_for_some_events,4,2,1,0.05,0.1,8,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0036.json
tmp_ng_tune_0040,reject,tensor_response_failed_for_some_events,4,2,1,0.05,0.1,12,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0040.json
tmp_ng_tune_0044,reject,tensor_response_failed_for_some_events,4,2,1,0.05,0.15,8,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0044.json
tmp_ng_tune_0048,reject,tensor_response_failed_for_some_events,4,2,1,0.05,0.15,12,4,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0048.json
tmp_ng_tune_0026,reject,tensor_response_failed_for_some_events,3,2,1,0.05,0.05,8,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0026.json
tmp_ng_tune_0030,reject,tensor_response_failed_for_some_events,3,2,1,0.05,0.05,12,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0030.json
tmp_ng_tune_0034,reject,tensor_response_failed_for_some_events,3,2,1,0.05,0.1,8,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0034.json
tmp_ng_tune_0038,reject,tensor_response_failed_for_some_events,3,2,1,0.05,0.1,12,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0038.json
tmp_ng_tune_0042,reject,tensor_response_failed_for_some_events,3,2,1,0.05,0.15,8,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0042.json
tmp_ng_tune_0046,reject,tensor_response_failed_for_some_events,3,2,1,0.05,0.15,12,2,0.25,True,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0046.json
tmp_ng_tune_0027,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.05,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0027.json
tmp_ng_tune_0035,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.1,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0035.json
tmp_ng_tune_0043,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.15,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0043.json
tmp_ng_tune_0031,reject,tensor_response_failed_for_some_events,2,0,1,0.05,0.05,12,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0031.json
tmp_ng_tune_0039,reject,tensor_response_failed_for_some_events,2,0,1,0.05,0.1,12,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0039.json
tmp_ng_tune_0047,reject,tensor_response_failed_for_some_events,2,0,1,0.05,0.15,12,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0047.json
tmp_ng_tune_0001,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.05,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0001.json
tmp_ng_tune_0003,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.05,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0003.json
tmp_ng_tune_0009,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.1,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0009.json
tmp_ng_tune_0011,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.1,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0011.json
tmp_ng_tune_0017,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.15,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0017.json
