trial_id,status,reason,n_usable_events,n_pair_pruned_events,scalar_overlap_proxy,corr_use_min,response_floor_frac,min_ring_directions,geometry_relax_factor,geometry_delay_floor_ms,allow_pair_pruning,returncode,trial_json
tmp_ng_tune_0002,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.05,6,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0002.json
tmp_ng_tune_0004,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.05,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0004.json
tmp_ng_tune_0006,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.08,6,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0006.json
tmp_ng_tune_0008,reject,tensor_response_failed_for_some_events,2,0,0.5,0.05,0.08,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0008.json
tmp_ng_tune_0018,reject,tensor_response_failed_for_some_events,2,0,0.5,0.07,0.05,6,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0018.json
tmp_ng_tune_0020,reject,tensor_response_failed_for_some_events,2,0,0.5,0.07,0.05,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0020.json
tmp_ng_tune_0022,reject,tensor_response_failed_for_some_events,2,0,0.5,0.07,0.08,6,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0022.json
tmp_ng_tune_0024,reject,tensor_response_failed_for_some_events,2,0,0.5,0.07,0.08,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0024.json
tmp_ng_tune_0010,reject,tensor_response_failed_for_some_events,2,0,1,0.06,0.05,6,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0010.json
tmp_ng_tune_0012,reject,tensor_response_failed_for_some_events,2,0,1,0.06,0.05,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0012.json
tmp_ng_tune_0014,reject,tensor_response_failed_for_some_events,2,0,1,0.06,0.08,6,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0014.json
tmp_ng_tune_0016,reject,tensor_response_failed_for_some_events,2,0,1,0.06,0.08,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0016.json
tmp_ng_tune_0017,reject,tensor_response_failed_for_some_events,1,0,0,0.07,0.05,6,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0017.json
tmp_ng_tune_0019,reject,tensor_response_failed_for_some_events,1,0,0,0.07,0.05,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0019.json
tmp_ng_tune_0021,reject,tensor_response_failed_for_some_events,1,0,0,0.07,0.08,6,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0021.json
tmp_ng_tune_0023,reject,tensor_response_failed_for_some_events,1,0,0,0.07,0.08,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0023.json
tmp_ng_tune_0001,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.05,6,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0001.json
tmp_ng_tune_0003,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.05,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0003.json
tmp_ng_tune_0005,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.08,6,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0005.json
tmp_ng_tune_0007,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.08,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0007.json
tmp_ng_tune_0009,reject,tensor_response_failed_for_some_events,1,0,1,0.06,0.05,6,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0009.json
tmp_ng_tune_0011,reject,tensor_response_failed_for_some_events,1,0,1,0.06,0.05,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0011.json
tmp_ng_tune_0013,reject,tensor_response_failed_for_some_events,1,0,1,0.06,0.08,6,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0013.json
tmp_ng_tune_0015,reject,tensor_response_failed_for_some_events,1,0,1,0.06,0.08,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0015.json
