station_code,distance_from_apol_geodetic_km,n_files_with_code,sample_snx_path
7080,289.0230755967502,224,data\llr\pos_eop\snx\2012\120525\pos_eop_120525.snx.gz
7110,991.6640958043015,990,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7105,2675.3619324664787,1007,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7119,5006.979272615214,955,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7403,6275.806100197686,300,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7124,6876.187508420444,509,data\llr\pos_eop\snx\2012\120505\pos_eop_120505.snx.gz
7406,7579.886222653724,166,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7407,7625.9369672537105,134,data\llr\pos_eop\snx\2016\161027\pos_eop_161027.snx.gz
7840,7705.7937206269935,1072,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7701,7739.661783126393,75,data\llr\pos_eop\snx\2022\220818\pos_eop_220818.snx.gz
7405,7823.861948154608,8,data\llr\pos_eop\snx\2012\120505\pos_eop_120505.snx.gz
7824,8033.4463188796435,108,data\llr\pos_eop\snx\2012\120611\pos_eop_120611.snx.gz
7841,8175.412239816152,900,data\llr\pos_eop\snx\2012\120515\pos_eop_120515.snx.gz
1888,8201.139743652007,463,data\llr\pos_eop\snx\2014\140505\pos_eop_140505.snx.gz
1868,8212.484049954943,250,data\llr\pos_eop\snx\2012\121223\pos_eop_121223.snx.gz
7810,8240.246689604297,771,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
1884,8280.708997349502,180,data\llr\pos_eop\snx\2013\130315\pos_eop_130315.snx.gz
7811,8334.261064113978,406,data\llr\pos_eop\snx\2016\160427\pos_eop_160427.snx.gz
7827,8351.328320230976,340,data\llr\pos_eop\snx\2016\160919\pos_eop_160919.snx.gz
8834,8351.354830680286,859,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7845,8379.255738654858,1016,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7839,8575.994101553424,952,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
1874,8695.609372689049,178,data\llr\pos_eop\snx\2015\150706\pos_eop_150706.snx.gz
7308,8891.209656845585,12,data\llr\pos_eop\snx\2012\120828\pos_eop_120828.snx.gz
1824,8901.567094859702,58,data\llr\pos_eop\snx\2013\130103\pos_eop_130103.snx.gz
7941,8988.891786083293,970,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7237,9056.187739872557,1052,data\llr\pos_eop\snx\2012\120505\pos_eop_120505.snx.gz
1891,9113.31341250644,290,data\llr\pos_eop\snx\2016\160919\pos_eop_160919.snx.gz
7838,9174.594016595414,768,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
1890,9186.18004660343,512,data\llr\pos_eop\snx\2013\130330\pos_eop_130330.snx.gz
1873,9387.284655439013,431,data\llr\pos_eop\snx\2014\140911\pos_eop_140911.snx.gz
1893,9387.720894199656,558,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7394,9400.296977612752,111,data\llr\pos_eop\snx\2017\171213\pos_eop_171213.snx.gz
7359,9404.070555337796,4,data\llr\pos_eop\snx\2014\140505\pos_eop_140505.snx.gz
1879,9463.52663799386,247,data\llr\pos_eop\snx\2014\140505\pos_eop_140505.snx.gz
7358,9560.331809889594,1,data\llr\pos_eop\snx\2020\201122\pos_eop_201122.snx.gz
1889,9631.060823380954,380,data\llr\pos_eop\snx\2013\130504\pos_eop_130504.snx.gz
7249,9637.09389592163,514,data\llr\pos_eop\snx\2012\120525\pos_eop_120525.snx.gz
1886,9637.520250067902,267,data\llr\pos_eop\snx\2013\130403\pos_eop_130403.snx.gz
1887,9850.855356308866,447,data\llr\pos_eop\snx\2013\130318\pos_eop_130318.snx.gz
7821,9938.93537959337,802,data\llr\pos_eop\snx\2012\120505\pos_eop_120505.snx.gz
7396,10206.300647299926,7,data\llr\pos_eop\snx\2020\200811\pos_eop_200811.snx.gz
7819,10835.037398783094,389,data\llr\pos_eop\snx\2017\171204\pos_eop_171204.snx.gz
7820,10835.039243028958,5,data\llr\pos_eop\snx\2014\140410\pos_eop_140410.snx.gz
7825,11003.381690852862,948,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7503,11948.521288024287,225,data\llr\pos_eop\snx\2018\180605\pos_eop_180605.snx.gz
7501,11948.523999484281,772,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
7090,12145.993908314584,1099,data\llr\pos_eop\snx\2012\120502\pos_eop_120502.snx.gz
