station,target,n,n_inlier,n_outlier,beta,time_tag_mode,has_station,has_reflector,rms_gc_ns,rms_sm_ns,rms_sr_ns,rms_sr_no_shapiro_ns,rms_sr_tropo_ns,rms_sr_tropo_station_tide_ns,rms_sr_tropo_moon_tide_ns,rms_sr_tropo_tide_no_ocean_ns,rms_sr_tropo_tide_ns,rms_sr_tropo_no_shapiro_ns,rms_sr_tropo_earth_shapiro_ns,rms_sr_iau_ns,rms_sr_iau_no_shapiro_ns
APOL,apollo11,249,249,0,1.0,tx,True,True,7327159.473331048,358840.9475113418,6.552441271506533,7.16488492838209,5.4462164795945744,5.434754334891426,5.330073086809806,5.32111741540435,5.3262628051292085,6.490184941005335,5.447435983974193,604.7250792587628,604.7072305944911
APOL,apollo14,251,251,0,1.0,tx,True,True,7144747.69445963,265120.5781842947,6.571083232050975,7.0895880532810525,5.603300882803493,5.611025508237025,5.450764123144306,5.452253773815029,5.457528935490647,6.586270938478885,5.604855135913144,628.4769042153686,628.3857015866173
APOL,apollo15,637,637,0,1.0,tx,True,True,7305782.072975977,392909.02343563683,7.057968085544082,7.584117062552238,5.358457468168246,5.321713698745666,5.269046712321346,5.227922939074533,5.231675599224521,6.312755574329829,5.359211228256871,664.2130302983412,664.3608267162955
APOL,luna17,147,147,0,1.0,tx,True,True,7343533.105408504,829742.6958891854,5.50278951388945,5.826168401421187,4.890455254352454,5.027801486437849,4.820979563073126,4.953050545673851,4.959985863627138,5.663219023942433,4.893786539533672,501.9747122844963,501.99709033186105
APOL,luna21,109,109,0,1.0,tx,True,True,7552259.7347784685,485577.66794476885,4.657530183752589,5.087020677032725,4.8577502709007625,5.046375841400069,4.6998923848685505,4.891974346919196,4.899907394552819,5.681109349368453,4.861058729635447,649.7973777436445,650.0499726608236
APOL,nglr1,24,24,0,1.0,tx,True,True,6564770.3751917295,613476.5525404278,18.862189743178128,17.297737378884918,21.130963306291566,21.410643712864914,21.186731193668958,21.46677563620474,21.478722176855154,19.611543300648357,21.136269360946137,505.6079746560879,506.17357156607864
GRSM,apollo11,1722,1720,2,1.0,tx,True,True,7330955.125048437,394628.9597287278,8.90108644368114,9.627539892903002,4.63078261920914,4.500380735641189,4.427983139950741,4.300523603598078,4.294917440730688,5.771131422780953,4.629765187401678,667.7137718970978,667.782454811032
GRSM,apollo14,1482,1482,0,1.0,tx,True,True,7303034.688880107,295514.2213649422,8.584060890103345,9.351920668237826,4.574349162313794,4.456391677508978,4.474871023851851,4.3595529438764,4.35417001177271,5.712150870530942,4.57351432650051,651.640110532127,651.640450961644
GRSM,apollo15,4476,4471,5,1.0,tx,True,True,7601374.562322802,417095.4210894681,9.537747522284166,10.135897467005181,4.734332453520426,4.611434596864215,4.62084648152234,4.502306360335395,4.496386275455791,5.738183206950958,4.733380280881176,583.1598058388604,583.1476435986496
GRSM,luna17,1687,1685,2,1.0,tx,True,True,7811861.151079644,841563.3910662286,9.634249224698548,10.356454633686784,3.6113504252373114,3.5004110469884613,3.6098911545905765,3.5037892389620016,3.499731221722897,4.793483025171687,3.609763830772494,459.80345916928974,459.7909549838211
GRSM,luna21,1520,1520,0,1.0,tx,True,True,7753100.755658621,573374.7276566193,9.565629790485218,10.49646578205539,3.87625940528984,3.7440376880131137,3.7333977173409414,3.605312926963029,3.6011570199011707,5.193862028141747,3.874333346235455,619.1139442094882,618.9678848033404
MATM,apollo11,55,55,0,1.0,tx,True,True,6393663.5428465735,349186.58949381544,6.094261689277266,6.58825177948734,1.5387878458510844,1.4708843438752408,1.3799104235757593,1.3281816544862808,1.3276284598961894,2.155735727052259,1.5376038845457396,589.807344532432,589.6251672277587
MATM,apollo15,290,290,0,1.0,tx,True,True,6654723.43836845,391705.5502165881,8.19271994593603,8.789070205150313,3.9038613882194615,3.856393780238528,3.845073760009089,3.8005523476325678,3.79841732774353,4.959698156452521,3.9025235520846966,658.1317739564283,658.1673998643221
MDOL,apollo15,31,31,0,1.0,tx,True,True,5681262.315313274,357893.8520193793,11.677114623430091,11.233471077755521,11.349896212060335,11.29336993405085,11.404537329253172,11.344496094162343,11.33508777937953,11.485687486749372,11.349912955658313,544.196499769538,544.3830272408791
WETL,apollo15,176,176,0,1.0,tx,True,True,2195004.51861492,241733.44644916488,2.6730545874234113,3.453295406081916,2.2984607706628006,2.1899011078223287,2.21892014820842,2.1065437473603534,2.104664998613157,3.3929244796756066,2.297726395265714,408.72815310957225,408.46370404967735
WETL,luna17,73,73,0,1.0,tx,True,True,1536484.4965471046,930407.5269642,3.5503051495702573,4.1767208694383,3.510450101874352,3.3938412949737025,3.5669210241488147,3.4448878675777332,3.43943828947216,4.445218975540551,3.510010802960894,423.08281941922246,421.867327297197
WETL,luna21,145,145,0,1.0,tx,True,True,2831677.2676704605,334173.83840324084,2.1197771496797033,2.843039515124997,1.8344655075336442,1.8356731874443522,1.6153738254909022,1.6122170766040027,1.603343776106588,2.8393031539123905,1.8337814300461022,443.7289204386865,443.8842314818623
