run_label,fit_mode,weight_scheme,min_orth_std,decontaminated_kappa_est,decontaminated_kappa_sigma,decontaminated_abs_z,kappa_minus_1_status,decontamination_shift_status,kappa_shift_decont_minus_base,abs_z_shift,max_abs_corr_before,max_abs_corr_after,nuisance_orth_kept_count,nuisance_orth_dropped_count,projection_rows
none|inv_station|1.0e-08,none,inv_station,1e-08,1.0007855881470924,0.000792763674294598,0.9909487184708221,pass,reject,-0.5481529774456435,26.138636692991884,0.9992841923469673,3.77667717798046e-15,1,0,1
none|inv_station|1.0e-06,none,inv_station,1e-06,1.0007855881470924,0.000792763674294598,0.9909487184708221,pass,reject,-0.5481529774456435,26.138636692991884,0.9992841923469673,3.77667717798046e-15,1,0,1
none|inv_station|1.0e-04,none,inv_station,0.0001,1.0007855881470924,0.000792763674294598,0.9909487184708221,pass,reject,-0.5481529774456435,26.138636692991884,0.9992841923469673,3.77667717798046e-15,1,0,1
none|inv_station_target|1.0e-08,none,inv_station_target,1e-08,1.0006742979447485,0.0009709928235124917,0.694441738827039,pass,reject,-0.4646436300776611,18.202892725800115,0.9992751816245602,2.6667583831371214e-15,1,0,1
none|inv_station_target|1.0e-06,none,inv_station_target,1e-06,1.0006742979447485,0.0009709928235124917,0.694441738827039,pass,reject,-0.4646436300776611,18.202892725800115,0.9992751816245602,2.6667583831371214e-15,1,0,1
none|inv_station_target|1.0e-04,none,inv_station_target,0.0001,1.0006742979447485,0.0009709928235124917,0.694441738827039,pass,reject,-0.4646436300776611,18.202892725800115,0.9992751816245602,2.6667583831371214e-15,1,0,1
none|inv_target|1.0e-08,none,inv_target,1e-08,1.0007860854678488,0.0009528484468390022,0.8249847816372237,pass,reject,-0.49244192985763324,20.615605986347575,0.9992028049794435,1.8303394863066635e-15,1,0,1
none|inv_target|1.0e-06,none,inv_target,1e-06,1.0007860854678488,0.0009528484468390022,0.8249847816372237,pass,reject,-0.49244192985763324,20.615605986347575,0.9992028049794435,1.8303394863066635e-15,1,0,1
none|inv_target|1.0e-04,none,inv_target,0.0001,1.0007860854678488,0.0009528484468390022,0.8249847816372237,pass,reject,-0.49244192985763324,20.615605986347575,0.9992028049794435,1.8303394863066635e-15,1,0,1
none|station_cap_p95|1.0e-08,none,station_cap_p95,1e-08,1.0010193872715767,0.0007558341955223933,1.3486916543544862,pass,reject,-0.639781286431079,33.73398548673797,0.9992042833091441,1.2243222642665238e-15,1,0,1
none|station_cap_p95|1.0e-06,none,station_cap_p95,1e-06,1.0010193872715767,0.0007558341955223933,1.3486916543544862,pass,reject,-0.639781286431079,33.73398548673797,0.9992042833091441,1.2243222642665238e-15,1,0,1
none|station_cap_p95|1.0e-04,none,station_cap_p95,0.0001,1.0010193872715767,0.0007558341955223933,1.3486916543544862,pass,reject,-0.639781286431079,33.73398548673797,0.9992042833091441,1.2243222642665238e-15,1,0,1
none|uniform|1.0e-08,none,uniform,1e-08,1.0010274679514541,0.0007470818437910159,1.37530842168559,pass,reject,-0.6425846525949765,34.33899009496008,0.9992014779796445,6.6716431993150485e-15,1,0,1
none|uniform|1.0e-06,none,uniform,1e-06,1.0010274679514541,0.0007470818437910159,1.37530842168559,pass,reject,-0.6425846525949765,34.33899009496008,0.9992014779796445,6.6716431993150485e-15,1,0,1
none|uniform|1.0e-04,none,uniform,0.0001,1.0010274679514541,0.0007470818437910159,1.37530842168559,pass,reject,-0.6425846525949765,34.33899009496008,0.9992014779796445,6.6716431993150485e-15,1,0,1
station|inv_station|1.0e-08,station,inv_station,1e-08,1.0007855881470924,0.0007927253702199133,0.9909966005938712,pass,reject,-0.552363622371292,26.240390463639486,0.9992841923469673,3.77667717798046e-15,5,0,5
station|inv_station|1.0e-06,station,inv_station,1e-06,1.0007855881470924,0.0007927253702199133,0.9909966005938712,pass,reject,-0.552363622371292,26.240390463639486,0.9992841923469673,3.77667717798046e-15,5,0,5
station|inv_station|1.0e-04,station,inv_station,0.0001,1.0007855881470924,0.0007927253702199133,0.9909966005938712,pass,reject,-0.552363622371292,26.240390463639486,0.9992841923469673,3.77667717798046e-15,5,0,5
station|inv_station_target|1.0e-08,station,inv_station_target,1e-08,1.0006742979447485,0.0009709727763087652,0.6944560766286274,pass,reject,-0.47099135238801626,18.327546016565304,0.9992751816245602,2.6667583831371214e-15,5,0,5
station|inv_station_target|1.0e-06,station,inv_station_target,1e-06,1.0006742979447485,0.0009709727763087652,0.6944560766286274,pass,reject,-0.47099135238801626,18.327546016565304,0.9992751816245602,2.6667583831371214e-15,5,0,5
station|inv_station_target|1.0e-04,station,inv_station_target,0.0001,1.0006742979447485,0.0009709727763087652,0.6944560766286274,pass,reject,-0.47099135238801626,18.327546016565304,0.9992751816245602,2.6667583831371214e-15,5,0,5
station|inv_target|1.0e-08,station,inv_target,1e-08,1.0007860854678488,0.0009528925577413291,0.8249465917879817,pass,reject,-0.49566386420715847,20.682194103092527,0.9992028049794435,1.8303394863066635e-15,5,0,5
station|inv_target|1.0e-06,station,inv_target,1e-06,1.0007860854678488,0.0009528925577413291,0.8249465917879817,pass,reject,-0.49566386420715847,20.682194103092527,0.9992028049794435,1.8303394863066635e-15,5,0,5
station|inv_target|1.0e-04,station,inv_target,0.0001,1.0007860854678488,0.0009528925577413291,0.8249465917879817,pass,reject,-0.49566386420715847,20.682194103092527,0.9992028049794435,1.8303394863066635e-15,5,0,5
station|station_cap_p95|1.0e-08,station,station_cap_p95,1e-08,1.0010193872715767,0.0007558495777975269,1.3486642071656447,pass,reject,-0.6417247636860435,33.78465880206998,0.9992042833091441,1.2243222642665238e-15,5,0,5
station|station_cap_p95|1.0e-06,station,station_cap_p95,1e-06,1.0010193872715767,0.0007558495777975269,1.3486642071656447,pass,reject,-0.6417247636860435,33.78465880206998,0.9992042833091441,1.2243222642665238e-15,5,0,5
station|station_cap_p95|1.0e-04,station,station_cap_p95,0.0001,1.0010193872715767,0.0007558495777975269,1.3486642071656447,pass,reject,-0.6417247636860435,33.78465880206998,0.9992042833091441,1.2243222642665238e-15,5,0,5
station|uniform|1.0e-08,station,uniform,1e-08,1.0010274679514541,0.0007471070796128986,1.375261966446026,pass,reject,-0.6442777301645013,34.38318098095611,0.9992014779796445,6.6716431993150485e-15,5,0,5
station|uniform|1.0e-06,station,uniform,1e-06,1.0010274679514541,0.0007471070796128986,1.375261966446026,pass,reject,-0.6442777301645013,34.38318098095611,0.9992014779796445,6.6716431993150485e-15,5,0,5
station|uniform|1.0e-04,station,uniform,0.0001,1.0010274679514541,0.0007471070796128986,1.375261966446026,pass,reject,-0.6442777301645013,34.38318098095611,0.9992014779796445,6.6716431993150485e-15,5,0,5
