station,target,metric,value_auto,value_tx,delta_rms_ns,abs_delta_rms_ns
APOL,apollo11,n,249.0,249.0,0.0,0.0
APOL,apollo11,n_inlier,249.0,249.0,0.0,0.0
APOL,apollo11,n_outlier,0.0,0.0,0.0,0.0
APOL,apollo11,rms_gc_ns,7327159.473331048,7327159.473331048,0.0,0.0
APOL,apollo11,rms_sm_ns,358840.9475113418,358840.9475113418,0.0,0.0
APOL,apollo11,rms_sr_iau_no_shapiro_ns,604.7072305944911,604.7072305944911,0.0,0.0
APOL,apollo11,rms_sr_iau_ns,604.7250792587628,604.7250792587628,0.0,0.0
APOL,apollo11,rms_sr_no_shapiro_ns,7.16488492838209,7.16488492838209,0.0,0.0
APOL,apollo11,rms_sr_ns,6.552441271506533,6.552441271506533,0.0,0.0
APOL,apollo11,rms_sr_tropo_earth_shapiro_ns,5.447435983974193,5.447435983974193,0.0,0.0
APOL,apollo11,rms_sr_tropo_moon_tide_ns,5.330073086809806,5.330073086809806,0.0,0.0
APOL,apollo11,rms_sr_tropo_no_shapiro_ns,6.490184941005335,6.490184941005335,0.0,0.0
APOL,apollo11,rms_sr_tropo_ns,5.4462164795945744,5.4462164795945744,0.0,0.0
APOL,apollo11,rms_sr_tropo_station_tide_ns,5.434754334891426,5.434754334891426,0.0,0.0
APOL,apollo11,rms_sr_tropo_tide_no_ocean_ns,5.32111741540435,5.32111741540435,0.0,0.0
APOL,apollo11,rms_sr_tropo_tide_ns,5.3262628051292085,5.3262628051292085,0.0,0.0
APOL,apollo14,n,251.0,251.0,0.0,0.0
APOL,apollo14,n_inlier,251.0,251.0,0.0,0.0
APOL,apollo14,n_outlier,0.0,0.0,0.0,0.0
APOL,apollo14,rms_gc_ns,7144747.69445963,7144747.69445963,0.0,0.0
APOL,apollo14,rms_sm_ns,265120.5781842947,265120.5781842947,0.0,0.0
APOL,apollo14,rms_sr_iau_no_shapiro_ns,628.3857015866173,628.3857015866173,0.0,0.0
APOL,apollo14,rms_sr_iau_ns,628.4769042153686,628.4769042153686,0.0,0.0
APOL,apollo14,rms_sr_no_shapiro_ns,7.0895880532810525,7.0895880532810525,0.0,0.0
APOL,apollo14,rms_sr_ns,6.571083232050975,6.571083232050975,0.0,0.0
APOL,apollo14,rms_sr_tropo_earth_shapiro_ns,5.604855135913144,5.604855135913144,0.0,0.0
APOL,apollo14,rms_sr_tropo_moon_tide_ns,5.450764123144306,5.450764123144306,0.0,0.0
APOL,apollo14,rms_sr_tropo_no_shapiro_ns,6.586270938478885,6.586270938478885,0.0,0.0
APOL,apollo14,rms_sr_tropo_ns,5.603300882803493,5.603300882803493,0.0,0.0
APOL,apollo14,rms_sr_tropo_station_tide_ns,5.611025508237025,5.611025508237025,0.0,0.0
APOL,apollo14,rms_sr_tropo_tide_no_ocean_ns,5.452253773815029,5.452253773815029,0.0,0.0
APOL,apollo14,rms_sr_tropo_tide_ns,5.457528935490647,5.457528935490647,0.0,0.0
APOL,apollo15,n,637.0,637.0,0.0,0.0
APOL,apollo15,n_inlier,637.0,637.0,0.0,0.0
APOL,apollo15,n_outlier,0.0,0.0,0.0,0.0
APOL,apollo15,rms_gc_ns,7305782.072975977,7305782.072975977,0.0,0.0
APOL,apollo15,rms_sm_ns,392909.0234356368,392909.0234356368,0.0,0.0
APOL,apollo15,rms_sr_iau_no_shapiro_ns,664.3608267162955,664.3608267162955,0.0,0.0
APOL,apollo15,rms_sr_iau_ns,664.2130302983412,664.2130302983412,0.0,0.0
APOL,apollo15,rms_sr_no_shapiro_ns,7.584117062552238,7.584117062552238,0.0,0.0
APOL,apollo15,rms_sr_ns,7.057968085544082,7.057968085544082,0.0,0.0
APOL,apollo15,rms_sr_tropo_earth_shapiro_ns,5.359211228256871,5.359211228256871,0.0,0.0
APOL,apollo15,rms_sr_tropo_moon_tide_ns,5.269046712321346,5.269046712321346,0.0,0.0
