orbit,shift_arcsec_pmodel,shift_arcsec_newton
1,0.1035467224,0.0000000738
2,0.2070934314,0.0000001351
3,0.3106401385,0.0000001960
4,0.4141868469,0.0000002561
5,0.5177335537,0.0000003172
6,0.6212802652,0.0000003782
7,0.7248269722,0.0000004389
8,0.8283736805,0.0000005000
9,0.9319203886,0.0000005598
10,1.0354670976,0.0000006223
11,1.1390138038,0.0000006795
12,1.2425605107,0.0000007403
13,1.3461072201,0.0000008007
14,1.4496539301,0.0000008631
15,1.5532006380,0.0000009247
16,1.6567473474,0.0000009847
17,1.7602940538,0.0000010457
18,1.8638407630,0.0000011074
19,1.9673874732,0.0000011675
20,2.0709341820,0.0000012258
21,2.1744808912,0.0000012862
22,2.2780275990,0.0000013499
23,2.3815743069,0.0000014099
24,2.4851210198,0.0000014695
25,2.5886677273,0.0000015334
26,2.6922144367,0.0000015910
27,2.7957611450,0.0000016521
28,2.8993078503,0.0000017124
29,3.0028545624,0.0000017775
30,3.1064012707,0.0000018327
31,3.2099479819,0.0000018943
32,3.3134946858,0.0000019588
33,3.4170413970,0.0000020170
34,3.5205881025,0.0000020836
35,3.6241348112,0.0000021421
36,3.7276815155,0.0000021921
37,3.8312282264,0.0000022756
38,3.9347749370,0.0000023289
39,4.0383216384,0.0000023825
40,4.1418683524,0.0000024368
41,4.2454150524,0.0000024919
42,4.3489617493,0.0000025335
43,4.4525084521,0.0000025926
44,4.5560551485,0.0000026503
45,4.6596018548,0.0000027061
46,4.7631485595,0.0000027633
47,4.8666952549,0.0000028121
48,4.9702419653,0.0000028804
49,5.0737886748,0.0000029427
50,5.1773353783,0.0000030034
51,5.2808820820,0.0000030602
52,5.3844288005,0.0000031280
53,5.4879754992,0.0000031890
54,5.5915222087,0.0000032436
55,5.6950689203,0.0000033158
56,5.7986156336,0.0000033704
57,5.9021623461,0.0000034339
58,6.0057090739,0.0000035067
59,6.1092557851,0.0000035736
60,6.2128024886,0.0000036373
61,6.3163492009,0.0000037097
62,6.4198959256,0.0000037800
63,6.5234426319,0.0000038333
64,6.6269893493,0.0000039046
65,6.7305360666,0.0000039783
66,6.8340827821,0.0000040290
67,6.9376294952,0.0000041074
68,7.0411762061,0.0000041736
69,7.1447229157,0.0000042376
70,7.2482696397,0.0000043007
71,7.3518163324,0.0000043606
72,7.4553630708,0.0000044279
73,7.5589097726,0.0000044920
74,7.6624564721,0.0000045526
75,7.7660031805,0.0000046150
76,7.8695498846,0.0000046737
77,7.9730966134,0.0000047216
78,8.0766433155,0.0000047758
79,8.1801900220,0.0000048617
80,8.2837367203,0.0000049137
81,8.3872834499,0.0000049651
82,8.4908301517,0.0000050469
83,8.5943768505,0.0000050896
84,8.6979235475,0.0000051618
85,8.8014702691,0.0000051975
86,8.9050169865,0.0000052605
87,9.0085636975,0.0000053210
88,9.1121103746,0.0000053805
89,9.2156571084,0.0000054419
90,9.3192038131,0.0000055026
91,9.4227505169,0.0000055637
92,9.5262972187,0.0000056238
93,9.6298439162,0.0000056853
94,9.7333906452,0.0000057441
95,9.8369373419,0.0000058017
96,9.9404840355,0.0000058622
97,10.0440307548,0.0000059241
98,10.1475774769,0.0000059885
99,10.2511241678,0.0000060527
100,10.3546708914,0.0000061154
101,10.4582175797,0.0000061736
102,10.5617642964,0.0000062562
103,10.6653110098,0.0000063066
104,10.7688577290,0.0000063824
105,10.8724044224,0.0000064259
106,10.9759511428,0.0000064944
107,11.0794978569,0.0000065670
108,11.1830445705,0.0000066034
109,11.2865912516,0.0000066721
110,11.3901379605,0.0000067321
111,11.4936846703,0.0000067864
112,11.5972313787,0.0000068690
113,11.7007780888,0.0000069217
114,11.8043248005,0.0000069707
115,11.9078715471,0.0000070521
116,12.0114182291,0.0000071046
117,12.1149649084,0.0000071593
118,12.2185116495,0.0000072160
119,12.3220583579,0.0000072698
120,12.4256050325,0.0000073279
121,12.5291517402,0.0000073809
122,12.6326984423,0.0000074309
123,12.7362451447,0.0000074771
124,12.8397918485,0.0000075513
125,12.9433385569,0.0000075956
126,13.0468852673,0.0000076701
127,13.1504319742,0.0000077141
128,13.2539786773,0.0000077915
129,13.3575253806,0.0000078333
130,13.4610720786,0.0000079006
131,13.5646187787,0.0000079621
132,13.6681655086,0.0000080195
133,13.7717122297,0.0000080808
134,13.8752589160,0.0000081398
135,13.9788056562,0.0000082229
136,14.0823523605,0.0000082780
137,14.1858990647,0.0000083605
138,14.2894457977,0.0000084177
139,14.3929924965,0.0000084761
140,14.4965392267,0.0000085605
141,14.6000859253,0.0000086086
142,14.7036326546,0.0000087120
143,14.8071793558,0.0000087561
144,14.9107260845,0.0000088296
145,15.0142727773,0.0000088755
146,15.1178195041,0.0000089476
147,15.2213661978,0.0000089881
148,15.3249129243,0.0000090555
149,15.4284596234,0.0000091545
150,15.5320063501,0.0000092155
151,15.6355530410,0.0000092438
152,15.7390997528,0.0000093096
153,15.8426464880,0.0000094041
154,15.9461931876,0.0000094617
155,16.0497399159,0.0000094820
156,16.1532866141,0.0000095906
157,16.2568332812,0.0000096647
158,16.3603800375,0.0000097104
159,16.4639267002,0.0000097843
160,16.5674734534,0.0000098231
161,16.6710201738,0.0000098938
162,16.7745668558,0.0000099259
163,16.8781135735,0.0000099922
164,16.9816602654,0.0000100252
165,17.0852069813,0.0000100860
166,17.1887536611,0.0000101712
167,17.2923003746,0.0000102192
168,17.3958471126,0.0000102997
169,17.4993938174,0.0000103429
170,17.6029404902,0.0000104150
171,17.7064871907,0.0000104519
172,17.8100339230,0.0000105148
173,17.9135806167,0.0000106068
174,18.0171273381,0.0000106711
175,18.1206740367,0.0000107057
176,18.2242207615,0.0000107751
177,18.3277674503,0.0000108185
178,18.4313141628,0.0000108928
179,18.5348609048,0.0000109375
180,18.6384076114,0.0000110085
181,18.7419543409,0.0000111097
182,18.8455010352,0.0000111737
183,18.9490477569,0.0000112004
184,19.0525944496,0.0000112544
185,19.1561411736,0.0000113409
186,19.2596878581,0.0000113933
187,19.3632345765,0.0000114783
188,19.4667812639,0.0000115240
189,19.5703279748,0.0000116004
190,19.6738747200,0.0000116406
191,19.7774214300,0.0000117088
192,19.8809681058,0.0000117441
193,19.9845148082,0.0000118126
194,20.0880614784,0.0000118473
195,20.1916082450,0.0000119766
196,20.2951550343,0.0000120139
197,20.3987016621,0.0000120846
198,20.5022483736,0.0000121255
199,20.6057950532,0.0000121941
200,20.7093417601,0.0000122356
