parameter,value
intercept,491084.0611123979
beta_dyn_minus_1,6775.396818618639
drift_per_day,-14.628542336194258
station_bias_15,26314.859212051397
station_bias_24,4614.389237037268
station_bias_25,48827.61601378117
station_bias_26,13606.682595155977
station_bias_34,51786.77593437575
station_bias_35,37909.71308943041
station_bias_43,4568.848363881093
station_bias_45,40285.23962517112
station_bias_54,22443.669495226084
station_bias_55,37125.100757227025
station_bias_63,105159.89110586958
station_bias_65,42808.50390185865
