parameter,value
beta_dyn_minus_1,-9.543545063448692
beta_lt_minus_1,0.04215277662855178
intercept_range_norm,2.946256014537447
intercept_doppler_norm,-4.930120802374232
drift_range_norm_per_day,-0.00012084862249577662
drift_doppler_norm_per_day,-0.0009785729104976808
station_range_26_norm,-0.22505398057136064
station_range_55_norm,-0.08725510496255881
station_range_15_norm,-0.09071070620791881
station_range_34_norm,0.013474854139137014
station_range_45_norm,-0.12330679025599774
station_range_35_norm,-0.07454945917272365
station_range_65_norm,0.02391053536496964
station_range_24_norm,-0.21823645055047877
station_range_43_norm,-0.17652514672657543
station_range_54_norm,-0.1075579661434127
station_range_14_norm,-0.191697962143187
station_range_63_norm,0.7862196910246966
station_doppler_26_norm,1.8724518751364296
station_doppler_55_norm,3.0517371435933858
station_doppler_34_norm,-6.757559836143316
station_doppler_45_norm,-0.4969723961956391
station_doppler_15_norm,2.1698622104920227
station_doppler_65_norm,0.7193476500808168
station_doppler_43_norm,1.5184484511039023
station_doppler_35_norm,-0.31493780396972737
station_doppler_54_norm,3.38236404357043
station_doppler_24_norm,5.318987296802626
station_doppler_14_norm,1.7024063016837192
station_doppler_63_norm,-6.212694191148082
