parameter,value
beta_dyn_minus_1,398.3573769527737
beta_lt_minus_1,0.023180386974900102
intercept_range_norm,2.4339753963809017
intercept_doppler_norm,209.43806131279604
drift_range_norm_per_day,-8.692405628311038e-05
drift_doppler_norm_per_day,0.8158381578411038
station_range_26_norm,-0.05638687521572007
station_range_45_norm,-0.008002623228503244
station_range_34_norm,-0.08803355196042137
station_range_15_norm,0.17382078299876924
station_range_55_norm,-0.1966876588881024
station_range_54_norm,-0.06496048642180105
station_range_65_norm,-0.008071342428177627
station_range_24_norm,-0.2698431425228322
station_range_35_norm,0.2573905611489123
station_range_43_norm,-0.30373325280385755
station_range_14_norm,-0.47892319159951025
station_range_63_norm,0.10505841267713964
station_doppler_26_norm,-138.1896567614467
station_doppler_34_norm,240.9854273102796
station_doppler_45_norm,-84.12926180221395
station_doppler_15_norm,-369.7113309527935
station_doppler_55_norm,-882.9002244183613
station_doppler_65_norm,533.1545305986867
station_doppler_54_norm,-1799.2013590426338
station_doppler_24_norm,-477.39095357579134
station_doppler_35_norm,-1256.4022995442722
station_doppler_43_norm,158.8987309285893
station_doppler_14_norm,410.48506639776275
station_doppler_63_norm,1695.4655817032826
