branch,segmentation_type,segment_key,n_rows,n_range_rows,n_doppler_rows,beta_dyn,beta_sigma,beta_z_from_1,z_delta_vs_branch,fit_status,coverage_status,delta_status,overall_status
odf,station,25,1117,429,688,0.8073992682830888,0.14177030567172744,1.3585407099486884,1.4067777658136484,watch,pass,pass,watch
odf,station,26,974,363,611,1.1874372700983191,0.1698329581685179,1.103656628958516,0.8778267562447762,watch,pass,pass,watch
odf,station,55,526,186,340,1.2587905400554364,0.19237485928808357,1.3452409582683287,1.1372388101961075,watch,pass,pass,watch
odf,station,34,446,138,308,1.0347755053578351,0.23293757736289936,0.1492910922811629,0.030226002760870455,watch,pass,pass,watch
odf,station,15,401,155,246,0.8151277020109279,0.18040178672776658,1.0247808591167211,1.1051120789852407,watch,pass,pass,watch
odf,station,45,393,133,260,1.4832639988821168,0.2068502187647239,2.3362991915990774,2.0989693538916354,watch,pass,watch,watch
odf,link_type,two-way,2991,0,2991,0.9930486438832694,0.09761371612171292,0.07121290319552079,0.291856764978528,watch,pass,pass,watch
odf,link_type,unknown,1833,1833,0,1.0287668081014651,0.036995183667434976,0.777582518850613,0.017294008807676904,watch,pass,pass,watch
odf,link_type,three-way,296,0,296,2.901215676177845,1.0817260686511851,1.7575759069470236,1.7289677875039735,watch,pass,pass,watch
odf,campaign,odf_11069_073,160,41,119,-40.655651699585235,99.46319396848828,0.4188046858095316,0.41908064177983,watch,pass,pass,watch
odf,campaign,odf_11084_087,145,50,95,51.09052459515675,207.56696156766225,0.24132224231084265,0.2411899514661533,watch,pass,pass,watch
odf,campaign,odf_11073_075,115,38,77,-1265.9941790962862,575.222567585763,2.2026155622056383,2.2026632799122834,watch,watch,watch,watch
odf,campaign,odf_11066_069,114,29,85,-117.71110529005634,415.77012774033693,0.2855210063677196,0.285587040858035,watch,watch,pass,watch
odf,campaign,odf_11078_080,92,34,58,-60.15524584531317,329.3047619923981,0.18571017763394784,0.18579355157730398,watch,watch,pass,watch
odf,campaign,odf_12013_017,90,36,54,114.192805267011,457.6575002578469,0.24733082098127424,0.24727082447705642,watch,watch,pass,watch
odf,campaign,odf_11080_082,90,30,60,575.2573714597423,1697.6902126765885,0.3382580444722979,0.33824187125963123,watch,watch,pass,watch
odf,campaign,odf_13046_050,72,30,42,191.88094800289892,431.74714089770345,0.4421128246640214,0.44204922515347317,watch,watch,pass,watch
tnf,station,25,754,250,504,23.7445871823178,249.3000381666665,0.0912337894112643,1.1112320441522967,watch,pass,pass,watch
tnf,station,26,689,221,468,-318.06456582670796,219.82122440334743,1.4514729716965822,2.584018461465348,watch,pass,watch,watch
tnf,station,34,348,107,241,512.4069567583235,350.3934135407465,1.4595221742056321,0.48443394573960985,watch,pass,pass,watch
tnf,station,45,327,108,219,403.51340061862714,254.28648461036957,1.582913072377316,0.25132313334563317,watch,pass,pass,watch
tnf,station,15,245,63,182,-1502.0285167382058,618.3959657920261,2.4305276875685378,2.9098738268812028,watch,pass,watch,watch
tnf,station,55,223,61,162,-146.26994686603902,266.20139126632716,0.5532275626564983,1.633355231084734,watch,pass,pass,watch
tnf,link_type,one-way,2184,0,2184,498.6662116420027,181.24353180433093,2.74584260573381,0.7588436726558663,watch,pass,pass,watch
tnf,link_type,unknown,992,992,0,1.0368580618726841,0.0631892954450768,0.5832959777929574,2.7001899633589117,watch,pass,watch,watch
tnf,campaign,tnf_13008,66,23,43,86350.23253982898,1019777.2066300467,0.08467460537304854,0.08434948822894495,watch,watch,pass,watch
tnf,campaign,tnf_15013,64,24,40,39469.31241597909,416718.4369770507,0.0947121819286164,0.09391656527532267,watch,watch,pass,watch
tnf,campaign,tnf_13005,50,18,32,nan,nan,nan,nan,reject,watch,reject,reject
tnf,campaign,tnf_13002,46,16,30,nan,nan,nan,nan,reject,watch,reject,reject
tnf,campaign,tnf_14011,46,17,29,nan,nan,nan,nan,reject,watch,reject,reject
tnf,campaign,tnf_14022,45,17,28,nan,nan,nan,nan,reject,watch,reject,reject
tnf,campaign,tnf_14008,44,16,28,nan,nan,nan,nan,reject,watch,reject,reject
tnf,campaign,tnf_15002,44,15,29,nan,nan,nan,nan,reject,watch,reject,reject
