branch,scenario_id,scenario_group,station_bias_cap,use_sun_quad_proxy,use_transponder_quad,use_plasma_proxy,use_srp_proxy,n_rows,n_range_rows,n_doppler_rows,n_params,beta_dyn,beta_sigma,beta_z_from_1,beta_lt,beta_lt_sigma,beta_lt_z_from_1,beta_split_mode,beta_dyn_lt_consistency_status,beta_dyn_lt_template_overlap,beta_dyn_lt_overlap_status,beta_dyn_lt_delta_status,z_delta_vs_base,fit_status,sigma_status,delta_status,overall_status,note
odf,baseline,baseline,8,False,False,False,False,5215,1828,3387,19,-5.060246961220375,0.41980943834498585,14.435709175838632,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.0,pass,watch,pass,pass,stage_d_style_baseline
odf,station_bias_lowcap,station_bias,2,False,False,False,False,5215,1828,3387,7,-4.91307861868076,0.41619570220653695,14.207447571734887,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.2489524423524144,pass,watch,pass,pass,station_bias_cap_2
odf,station_bias_highcap,station_bias,12,False,False,False,False,5215,1828,3387,27,-5.177353942398538,0.42179307478354344,14.645460799868856,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.1967838955182654,pass,watch,pass,pass,station_bias_cap_12
odf,sunq_proxy_on,sun_quadrupole,8,True,False,False,False,5215,1828,3387,20,-5.027884644181805,0.41941223536366634,14.37221934871574,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.05453532001539397,pass,watch,pass,pass,add_sun_quadrupole_like_proxy
odf,transponder_quad_on,transponder_drift,8,False,True,False,False,5215,1828,3387,21,-5.281290348964312,0.4272142978425087,14.702902924096167,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.36904587041834125,pass,watch,pass,pass,add_quadratic_transponder_drift_proxy
odf,plasma_proxy_on,plasma_residual,8,False,False,True,False,5215,1828,3387,21,-6.729704877858718,0.4737907146069242,16.31459764734223,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,2.637280137935102,pass,watch,watch,watch,add_annual_plasma_proxy
odf,srp_proxy_on,srp_like,8,False,False,False,True,5215,1828,3387,21,-6.654661817348193,0.6432110583425767,11.900699961646632,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,2.07582094907318,pass,watch,watch,watch,add_srp_like_proxy_orbital_phase
odf,all_proxies_on,combined,8,True,True,True,True,5215,1828,3387,26,-6.875901657592261,0.6625376290651948,11.887478253431036,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,2.3148693225465355,pass,watch,watch,watch,combined_high_correlation_nuisance
tnf,baseline,baseline,8,False,False,False,False,3160,986,2174,19,333.6397193344582,122.68717453561317,2.7112835599445715,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.0,pass,watch,pass,pass,stage_d_style_baseline
tnf,station_bias_lowcap,station_bias,2,False,False,False,False,3160,986,2174,7,356.33528809154325,119.82082191505678,2.965555421940329,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.13234260254998875,pass,watch,pass,pass,station_bias_cap_2
tnf,station_bias_highcap,station_bias,12,False,False,False,False,3160,986,2174,27,335.0747165630741,125.36098572056453,2.664901800531006,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.008180970371541607,pass,watch,pass,pass,station_bias_cap_12
tnf,sunq_proxy_on,sun_quadrupole,8,True,False,False,False,3160,986,2174,20,475.70441019058825,136.4090907152342,3.4800056777856163,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.7743401639183614,pass,watch,pass,pass,add_sun_quadrupole_like_proxy
tnf,transponder_quad_on,transponder_drift,8,False,True,False,False,3160,986,2174,21,-239.31955078789676,137.36219002103277,1.7495320273439092,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,3.110946467252994,pass,watch,watch,watch,add_quadratic_transponder_drift_proxy
tnf,plasma_proxy_on,plasma_residual,8,False,False,True,False,3160,986,2174,21,280.5512477891678,127.9132241476652,2.185475736788943,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.29952911725964426,pass,watch,pass,pass,add_annual_plasma_proxy
tnf,srp_proxy_on,srp_like,8,False,False,False,True,3160,986,2174,21,420.9892752680857,189.7665706468556,2.2131889396350055,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.3865497858003896,pass,watch,pass,pass,add_srp_like_proxy_orbital_phase
tnf,all_proxies_on,combined,8,True,True,True,True,3160,986,2174,26,318.4440334583099,201.98042601068073,1.5716574112063881,nan,nan,nan,coupled,not_applicable,nan,not_applicable,not_applicable,0.06430068210139746,pass,watch,pass,pass,combined_high_correlation_nuisance
