metric,value
step,8.7.22.15
tf_mev_nominal,0.75
cf_tf_nominal,1.0
y_pred_nominal,0.2538233274454336
y_obs,0.245
delta_y,0.008823327445433626
z_raw_abs,2.9411091484778753
sigma_tf_linear,0.012544194162103057
sigma_cf_linear,0.03
sigma_y_linear,0.006390112229270143
sigma_tf_mc,0.01256902345415023
sigma_cf_mc,0.029985234359668093
sigma_y_mc,0.006405493305778301
sigma_total_linear,0.007059287095923202
sigma_total_mc,0.0070732131659077425
z_linear_abs,1.2498893054695528
z_mc_abs,1.2474284654619598
z_abs_conservative,1.2498893054695528
raw_status,watch
overall_status,pass
convergence_outcome,watch_to_pass_after_uncertainty_propagation
mc_valid_fraction,1.0
contrib::q_b,0.004012515165014328
contrib::cf0,0.0038205596277489412
contrib::t_b_sec,0.0025470397542584652
contrib::a_w,0.0019102798156918606
contrib::cf_alpha,0.0
contrib::t_b_mev,0.0
