q_b,eta_baryon,eta10,tnuc_mev,li7h_pred,li7h_obs,li7h_sigma,z,z_abs,status,be7_prod,destruction_scale,lambda_be7,lambda_li7,survival_factor
0.35,5.4e-10,5.4,0.05,6.214080982753138e-10,1.6e-10,3e-11,15.380269942510461,15.380269942510461,reject,7.884773995149403e-10,0.2150848071704488,0.17206784573635905,0.09678816322670197,0.7881114901423869
0.35,5.4e-10,5.4,0.052000000000000005,6.007521999489098e-10,1.6e-10,3e-11,14.691739998296995,14.691739998296995,reject,7.710027244950223e-10,0.22671647252972685,0.1813731780237815,0.10202241263837708,0.7791829793369146
0.35,5.4e-10,5.4,0.054,5.812625890001156e-10,1.6e-10,3e-11,14.042086300003856,14.042086300003856,reject,7.545533656808181e-10,0.2385025700398799,0.19080205603190392,0.10732615651794596,0.7703399327834874
0.35,5.4e-10,5.4,0.056,5.628383538049758e-10,1.6e-10,3e-11,13.427945126832528,13.427945126832528,reject,7.390344187403732e-10,0.2504393152943512,0.20035145223548098,0.11269769188245804,0.7615861176862236
0.35,5.4e-10,5.4,0.058,5.453906633182393e-10,1.6e-10,3e-11,12.846355443941313,12.846355443941313,reject,7.243627565509663e-10,0.2625231493972907,0.21001851951783257,0.11813541722878082,0.7529247719955983
0.35,5.4e-10,5.4,0.06,5.288409371373095e-10,1.6e-10,3e-11,12.294697904576985,12.294697904576985,reject,7.104652212254861e-10,0.2747507181593536,0.2198005745274829,0.12363782317170911,0.7443586559031113
0.35,5.4e-10,5.4,0.062,5.131193454756864e-10,1.6e-10,3e-11,11.770644849189548,11.770644849189548,reject,6.972771434253098e-10,0.2871188538469936,0.2296950830775949,0.1292034842311471,0.7358900980964826
0.35,5.4e-10,5.4,0.064,4.9816357090948e-10,1.6e-10,3e-11,11.272119030316,11.272119030316,reject,6.847411212756613e-10,0.2996245590990177,0.23969964727921417,0.13483105159455797,0.7275210374125181
0.35,5.4e-10,5.4,0.066,4.839177794897875e-10,1.6e-10,3e-11,10.797259316326251,10.797259316326251,reject,6.728060068352245e-10,0.3122649926929138,0.24981199415433106,0.1405192467118112,0.7192530604268264
0.35,5.4e-10,5.4,0.068,4.703317605534497e-10,1.6e-10,3e-11,10.344392018448326,10.344392018448326,reject,6.61426059739412e-10,0.32503745689824953,0.26002996551859964,0.1462668556042123,0.7110874354402525
0.35,5.4e-10,5.4,0.07,4.5736020341242864e-10,1.6e-10,3e-11,9.912006780414288,9.912006780414288,reject,6.505602364284055e-10,0.3379393861984216,0.27035150895873733,0.15207272378928974,0.7030251432570632
0.35,5.4e-10,5.4,0.072,4.449620858311722e-10,1.6e-10,3e-11,9.498736194372405,9.498736194372405,reject,6.401715900563545e-10,0.35096833719760795,0.28077466975808635,0.15793575173892357,0.6950669050964946
0.35,5.4e-10,5.4,0.074,4.3310015436293636e-10,1.6e-10,3e-11,9.103338478764547,9.103338478764547,reject,6.302267613052123e-10,0.3641219795587226,0.2912975836469781,0.16385489080142518,0.6872132079348349
0.35,5.4e-10,5.4,0.076,4.2174048060711454e-10,1.6e-10,3e-11,8.724682686903817,8.724682686903817,reject,6.206955442904168e-10,0.37739808784188317,0.30191847027350655,0.16982913952884743,0.6794643275379897
0.35,5.4e-10,5.4,0.078,4.1085208055894615e-10,1.6e-10,3e-11,8.36173601863154,8.36173601863154,reject,6.115505148331662e-10,0.39079453413243753,0.31263562730595007,0.1758575403595969,0.6718203494130465
