sweep,window_ns,offset_ns,clip_quantile,max_abs_z,alice_z,bob_z,alice_n0,alice_n1,bob_n0,bob_n1
baseline,7812.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
window_raw,312.5,0,,,,,9,60,8,82
window_raw,625,0,,,,,28,157,28,153
window_raw,937.5,0,,2.725437,2.725437,1.605934,55,247,43,212
window_raw,1250,0,,1.470355,1.470355,0.07209,65,302,50,255
window_raw,1562.5,0,,1.124078,0.176227,1.124078,77,351,78,351
window_raw,1875,0,,1.467043,0.376128,1.467043,662,2270,1045,3100
window_raw,2000,0,,1.374457,1.13562,1.374457,1062,3504,1430,4219
window_raw,2343.75,0,,0.734494,0.734494,0.55177,2126,6895,2492,7240
window_raw,2812.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
window_raw,3437.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
window_raw,4687.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
window_raw,6250,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
window_raw,7812.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
window_tail_clipped,312.5,0,0.9,,,,8,54,7,73
window_tail_clipped,625,0,0.9,,,,25,141,25,137
window_tail_clipped,937.5,0,0.9,2.076706,2.076706,1.850656,49,222,38,190
window_tail_clipped,1250,0,0.9,2.083044,2.083044,1.110482,58,271,45,229
window_tail_clipped,1562.5,0,0.9,1.077481,1.077481,0.914113,69,316,70,316
window_tail_clipped,1875,0,0.9,1.742902,0.862741,1.742902,595,2045,943,2791
window_tail_clipped,2000,0,0.9,1.65834,1.08071,1.65834,955,3155,1287,3797
window_tail_clipped,2343.75,0,0.9,1.115402,0.945563,1.115402,1913,6206,2242,6516
window_tail_clipped,2812.5,0,0.9,1.084249,1.084249,0.953617,3227,10390,3604,10398
window_tail_clipped,3437.5,0,0.9,1.084249,1.084249,0.953617,3227,10390,3604,10398
window_tail_clipped,4687.5,0,0.9,1.084249,1.084249,0.953617,3227,10390,3604,10398
window_tail_clipped,6250,0,0.9,1.084249,1.084249,0.953617,3227,10390,3604,10398
window_tail_clipped,7812.5,0,0.9,1.084249,1.084249,0.953617,3227,10390,3604,10398
offset,7812.5,-20,,2.721468,2.721468,2.310251,3586,11541,4004,11549
offset,7812.5,-15,,2.236304,2.236304,1.852455,3586,11541,4004,11550
offset,7812.5,-10,,1.75114,1.75114,1.394677,3586,11541,4004,11551
offset,7812.5,-5,,1.265961,1.265961,0.944085,3586,11543,4004,11552
offset,7812.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
offset,7812.5,5,,0.295632,0.295632,0.035762,3586,11544,4004,11553
offset,7812.5,10,,0.421989,-0.189508,-0.421989,3586,11544,4004,11553
offset,7812.5,15,,0.879739,-0.674648,-0.879739,3586,11544,4004,11553
offset,7812.5,20,,1.33749,-1.159789,-1.33749,3586,11544,4004,11553
accidental_policy,7812.5,0,,0.780773,0.780773,0.493512,3586,11544,4004,11553
accidental_policy,7812.5,0,0.98,0.607127,0.607127,0.467797,3515,11314,3923,11322
accidental_policy,7812.5,0,0.95,0.588455,0.588455,0.553955,3406,10966,3805,10975
accidental_policy,7812.5,0,0.9,1.084249,1.084249,0.953617,3227,10390,3604,10398
accidental_policy,7812.5,0,0.85,0.874863,0.362722,0.874863,3048,9814,3403,9820
