T_K,B_1e11_dyn_cm2,B_GPa,model
0,9.8,98.0,const
1,9.8,98.0,const
2,9.8,98.0,const
3,9.8,98.0,const
4,9.8,98.0,const
5,9.8,98.0,const
6,9.8,98.0,const
7,9.8,98.0,const
8,9.8,98.0,const
9,9.8,98.0,const
10,9.8,98.0,const
11,9.8,98.0,const
12,9.8,98.0,const
13,9.8,98.0,const
14,9.8,98.0,const
15,9.8,98.0,const
16,9.8,98.0,const
17,9.8,98.0,const
18,9.8,98.0,const
19,9.8,98.0,const
20,9.8,98.0,const
21,9.8,98.0,const
22,9.8,98.0,const
23,9.8,98.0,const
24,9.8,98.0,const
25,9.8,98.0,const
26,9.8,98.0,const
27,9.8,98.0,const
28,9.8,98.0,const
29,9.8,98.0,const
30,9.8,98.0,const
31,9.8,98.0,const
32,9.8,98.0,const
33,9.8,98.0,const
34,9.8,98.0,const
35,9.8,98.0,const
36,9.8,98.0,const
37,9.8,98.0,const
38,9.8,98.0,const
39,9.8,98.0,const
40,9.8,98.0,const
41,9.8,98.0,const
42,9.8,98.0,const
43,9.8,98.0,const
44,9.8,98.0,const
45,9.8,98.0,const
46,9.8,98.0,const
47,9.8,98.0,const
48,9.8,98.0,const
49,9.8,98.0,const
50,9.8,98.0,const
51,9.8,98.0,const
52,9.8,98.0,const
53,9.8,98.0,const
54,9.8,98.0,const
55,9.8,98.0,const
56,9.8,98.0,const
57,9.8,98.0,const
58,9.8,98.0,const
59,9.8,98.0,const
60,9.8,98.0,const
61,9.8,98.0,const
62,9.8,98.0,const
63,9.8,98.0,const
64,9.8,98.0,const
65,9.8,98.0,const
66,9.8,98.0,const
67,9.8,98.0,const
68,9.8,98.0,const
69,9.8,98.0,const
70,9.8,98.0,const
71,9.8,98.0,const
72,9.8,98.0,const
73,9.8,98.0,const
74,9.8,98.0,const
75,9.8,98.0,const
76,9.8,98.0,const
77,9.8,98.0,const
78,9.8,98.0,const
79,9.8,98.0,const
80,9.8,98.0,const
81,9.8,98.0,const
82,9.8,98.0,const
83,9.8,98.0,const
84,9.8,98.0,const
85,9.8,98.0,const
86,9.8,98.0,const
87,9.8,98.0,const
88,9.8,98.0,const
89,9.8,98.0,const
90,9.8,98.0,const
91,9.8,98.0,const
92,9.8,98.0,const
93,9.8,98.0,const
94,9.8,98.0,const
95,9.8,98.0,const
96,9.8,98.0,const
97,9.8,98.0,const
98,9.8,98.0,const
99,9.8,98.0,const
100,9.8,98.0,const
101,9.8,98.0,const
102,9.8,98.0,const
103,9.8,98.0,const
104,9.8,98.0,const
105,9.8,98.0,const
106,9.8,98.0,const
107,9.8,98.0,const
108,9.8,98.0,const
109,9.8,98.0,const
110,9.8,98.0,const
111,9.8,98.0,const
112,9.8,98.0,const
113,9.8,98.0,const
114,9.8,98.0,const
115,9.8,98.0,const
116,9.8,98.0,const
117,9.8,98.0,const
118,9.8,98.0,const
119,9.8,98.0,const
120,9.8,98.0,const
121,9.8,98.0,const
122,9.8,98.0,const
123,9.8,98.0,const
124,9.8,98.0,const
125,9.8,98.0,const
126,9.8,98.0,const
127,9.8,98.0,const
128,9.8,98.0,const
129,9.8,98.0,const
130,9.8,98.0,const
131,9.8,98.0,const
132,9.8,98.0,const
133,9.8,98.0,const
134,9.8,98.0,const
135,9.8,98.0,const
136,9.8,98.0,const
137,9.8,98.0,const
138,9.8,98.0,const
139,9.8,98.0,const
140,9.8,98.0,const
141,9.8,98.0,const
142,9.8,98.0,const
143,9.8,98.0,const
144,9.8,98.0,const
145,9.8,98.0,const
146,9.8,98.0,const
147,9.8,98.0,const
148,9.8,98.0,const
149,9.8,98.0,const
150,9.8,98.0,const
151,9.8,98.0,const
152,9.8,98.0,const
153,9.8,98.0,const
154,9.8,98.0,const
155,9.8,98.0,const
156,9.8,98.0,const
157,9.8,98.0,const
158,9.8,98.0,const
159,9.8,98.0,const
160,9.8,98.0,const
161,9.8,98.0,const
162,9.8,98.0,const
163,9.8,98.0,const
164,9.8,98.0,const
165,9.8,98.0,const
166,9.8,98.0,const
167,9.8,98.0,const
168,9.8,98.0,const
169,9.8,98.0,const
170,9.8,98.0,const
171,9.8,98.0,const
172,9.8,98.0,const
173,9.8,98.0,const
174,9.8,98.0,const
175,9.8,98.0,const
176,9.8,98.0,const
177,9.8,98.0,const
178,9.8,98.0,const
179,9.8,98.0,const
180,9.8,98.0,const
181,9.8,98.0,const
182,9.8,98.0,const
183,9.8,98.0,const
184,9.8,98.0,const
185,9.8,98.0,const
186,9.8,98.0,const
187,9.8,98.0,const
188,9.8,98.0,const
189,9.8,98.0,const
190,9.8,98.0,const
191,9.8,98.0,const
192,9.8,98.0,const
193,9.8,98.0,const
194,9.8,98.0,const
195,9.8,98.0,const
196,9.8,98.0,const
197,9.8,98.0,const
198,9.8,98.0,const
199,9.8,98.0,const
200,9.8,98.0,const
201,9.8,98.0,const
202,9.8,98.0,const
203,9.8,98.0,const
204,9.8,98.0,const
205,9.8,98.0,const
206,9.8,98.0,const
207,9.8,98.0,const
208,9.8,98.0,const
209,9.8,98.0,const
210,9.8,98.0,const
211,9.8,98.0,const
212,9.8,98.0,const
213,9.8,98.0,const
214,9.8,98.0,const
215,9.8,98.0,const
216,9.8,98.0,const
217,9.8,98.0,const
218,9.8,98.0,const
219,9.8,98.0,const
220,9.8,98.0,const
221,9.8,98.0,const
222,9.8,98.0,const
223,9.8,98.0,const
224,9.8,98.0,const
225,9.8,98.0,const
226,9.8,98.0,const
227,9.8,98.0,const
228,9.8,98.0,const
229,9.8,98.0,const
230,9.8,98.0,const
231,9.8,98.0,const
232,9.8,98.0,const
233,9.8,98.0,const
234,9.8,98.0,const
235,9.8,98.0,const
236,9.8,98.0,const
237,9.8,98.0,const
238,9.8,98.0,const
239,9.8,98.0,const
240,9.8,98.0,const
241,9.8,98.0,const
242,9.8,98.0,const
243,9.8,98.0,const
244,9.8,98.0,const
245,9.8,98.0,const
246,9.8,98.0,const
247,9.8,98.0,const
248,9.8,98.0,const
249,9.8,98.0,const
250,9.8,98.0,const
251,9.8,98.0,const
252,9.8,98.0,const
253,9.8,98.0,const
254,9.8,98.0,const
255,9.8,98.0,const
256,9.8,98.0,const
257,9.8,98.0,const
258,9.8,98.0,const
259,9.8,98.0,const
260,9.8,98.0,const
261,9.8,98.0,const
262,9.8,98.0,const
263,9.8,98.0,const
264,9.8,98.0,const
265,9.8,98.0,const
266,9.8,98.0,const
267,9.8,98.0,const
268,9.8,98.0,const
269,9.8,98.0,const
270,9.8,98.0,const
