T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
13.0,0.10555386774141656,-0.22823176048628546,0.03,0.020936397099300078,debye_scaled,98.0,-0.12882657279042806,-0.333785628227702,-11.126187607590069
14.0,0.13309041480754097,-0.28346547915074016,0.03,0.026149054911460672,debye_scaled,98.0,-0.12810777854063563,-0.41655589395828113,-13.885196465276039
15.0,0.14906469638765094,-0.3466712880710558,0.03,0.032162193996417524,debye_scaled,98.0,-0.12738066942538795,-0.4957359844587067,-16.524532815290225
16.0,0.11030769097369961,-0.41830132748708726,0.03,0.03903299158790378,debye_scaled,98.0,-0.12664519727366633,-0.5286090184607869,-17.62030061535956
17.0,0.04474672330195559,-0.4987898420698091,0.03,0.046818624919365885,debye_scaled,98.0,-0.12590131501705246,-0.5435365653717646,-18.117885512392156
18.0,-0.045386038282090646,-0.5885527432805011,0.03,0.055576271222461254,debye_scaled,98.0,-0.12514897673392572,-0.5431667049984104,-18.105556833280346
19.0,-0.17180920211933742,-0.6879871686728869,0.03,0.06536310771995665,debye_scaled,98.0,-0.1243881376941357,-0.5161779665535495,-17.20593221845165
20.0,-0.3406056923499412,-0.7974710382605074,0.03,0.07623631159818726,debye_scaled,98.0,-0.12361875440412626,-0.45686534591056616,-15.22884486368554
21.0,-0.5572548031493234,-0.9173626078084288,0.03,0.08825305991689839,debye_scaled,98.0,-0.12284078465248534,-0.36010780465910536,-12.003593488636845
22.0,-0.8269343037943666,-1.0480000183223377,0.03,0.10147052935406042,debye_scaled,98.0,-0.12205418755589405,-0.22106571452797102,-7.368857150932367
23.0,-1.1544019759301651,-1.189700839902842,0.03,0.11594589556874697,debye_scaled,98.0,-0.12125892360544664,-0.035298863972676627,-1.176628799089221
24.0,-1.5438820451316155,-1.3427616063236962,0.03,0.1317363317744582,debye_scaled,98.0,-0.12045495471331177,0.20112043880791936,6.704014626930646
