T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,A_eff_model_mol_per_J,residual_1e-8_per_K,z
13.0,0.10555386774141656,-0.2269445986928406,0.03,0.020936397099300078,debye_scaled,-1.0839716003496492e-07,-0.3324984664342571,-11.083282214475238
14.0,0.13309041480754097,-0.2818363388834871,0.03,0.026149054911460672,debye_scaled,-1.0778069794023919e-07,-0.414926753691028,-13.830891789700933
15.0,0.14906469638765094,-0.34464156781221605,0.03,0.032162193996417524,debye_scaled,-1.0715735619609934e-07,-0.493706264199867,-16.4568754733289
16.0,0.11030769097369961,-0.4158071338915094,0.03,0.03903299158790378,debye_scaled,-1.0652709848157449e-07,-0.526114824865209,-17.5371608288403
17.0,0.04474672330195559,-0.4957619015470677,0.03,0.046818624919365885,debye_scaled,-1.0588988941920047e-07,-0.5405086248490233,-18.01695416163411
18.0,-0.045386038282090646,-0.5849163268620691,0.03,0.055576271222461254,debye_scaled,-1.0524569460962218e-07,-0.5395302885799784,-17.984342952665948
19.0,-0.17180920211933742,-0.6836620306717849,0.03,0.06536310771995665,debye_scaled,-1.0459448066650743e-07,-0.5118528285524474,-17.061760951748248
20.0,-0.3406056923499412,-0.792371369226889,0.03,0.07623631159818726,debye_scaled,-1.0393621525175281e-07,-0.45176567687694785,-15.058855895898262
21.0,-0.5572548031493234,-0.9113970022813631,0.03,0.08825305991689839,debye_scaled,-1.0327086711096032e-07,-0.3541421991320397,-11.80473997106799
22.0,-0.8269343037943666,-1.0410714578779614,0.03,0.10147052935406042,debye_scaled,-1.0259840610916278e-07,-0.21413715408359482,-7.137905136119827
23.0,-1.1544019759301651,-1.1817066920061212,0.03,0.11594589556874697,debye_scaled,-1.0191880326677545e-07,-0.027304716075956123,-0.9101572025318708
24.0,-1.5438820451316155,-1.3335936395110979,0.03,0.1317363317744582,debye_scaled,-1.0123203079574914e-07,0.21028840562051773,7.009613520683924
25.0,-1.9989624023433001,-1.4970017500443806,0.03,0.14889900583331672,debye_scaled,-1.005380621359005e-07,0.5019606522989195,16.732021743297317
26.0,-2.522504697236022,-1.6721784995385347,0.03,0.167491074808784,debye_scaled,-9.983687199139271e-08,0.8503261976974873,28.344206589916244
27.0,-3.116569133524793,-1.859348863948781,0.03,0.1875696754721924,debye_scaled,-9.912843636733985e-08,1.2572202695760122,41.90734231920041
28.0,-3.7823555521281924,-2.058714738312739,0.03,0.2091919087893128,debye_scaled,-9.841273260650676e-08,1.7236408138154535,57.45469379384845
29.0,-4.520162148372184,-2.270454281149701,0.03,0.23241481597643437,debye_scaled,-9.768973942607485e-08,2.249707867222483,74.99026224074943
30.0,-5.329362933914205,-2.494721162480323,0.03,0.25729534337668003,debye_scaled,-9.695943695444401e-08,2.8346417714338816,94.48805904779606
31.0,-6.208404819558522,-2.731643693823096,0.03,0.2838902932272138,debye_scaled,-9.622180676803921e-08,3.476761125735426,115.89203752451421
32.0,-7.154824948830198,-2.9813238207416655,0.03,0.3122562574119678,debye_scaled,-9.547683192808937e-08,4.173501128088532,139.11670426961774
33.0,-8.165288610226703,-3.2438359629452953,0.03,0.342449531545287,debye_scaled,-9.472449701734564e-08,4.9214526472814075,164.04842157604693
34.0,-9.235647568070469,-3.5192256933856725,0.03,0.3745260072068314,debye_scaled,-9.396478817670426e-08,5.716421874684796,190.54739582282653
35.0,-10.361017643945683,-3.807508255818722,0.03,0.4085410408205829,debye_scaled,-9.319769314169952e-08,6.55350938812696,218.45031293756534
36.0,-11.53587213840112,-4.108666929317269,0.03,0.44454929849507185,debye_scaled,-9.242320127882997e-08,7.4272052090838505,247.5735069694617
37.0,-12.754143016313503,-4.422651257554877,0.03,0.4826045770597844,debye_scaled,-9.164130362168125e-08,8.331491758758627,277.71639195862093
38.0,-14.009313478001562,-4.749375169655365,0.03,0.5227596024808275,debye_scaled,-9.08519929068075e-08,9.259938308346198,308.6646102782066
39.0,-15.29447420902185,-5.088715027407158,0.03,0.56506580775583,debye_scaled,-9.005526360933234e-08,10.205759181614692,340.19197272048973
40.0,-16.602307452314196,-5.440507640185639,0.03,0.6095730932195759,debye_scaled,-8.925111197822999e-08,11.161799812128557,372.0599937376186
41.0,-17.92497397171395,-5.804548293664025,0.03,0.6563295728946331,debye_scaled,-8.84395360712458e-08,12.120425678049923,404.01418926833077
42.0,-19.25393178381967,-6.180588841136399,0.03,0.7053813110650979,debye_scaled,-8.762053578941515e-08,13.073342942683272,435.7780980894424
43.0,-20.57982681768017,-6.5683359069859435,0.03,0.7567720536196636,debye_scaled,-8.679411291113876e-08,14.011490910694228,467.04969702314094
44.0,-21.892734715054942,-6.967449250595902,0.03,0.8105429588980233,debye_scaled,-8.596027112577133e-08,14.925285464459042,497.5095154819681
45.0,-23.183094549565123,-7.377540336015342,0.03,0.8667323327887032,debye_scaled,-8.511901606668087e-08,15.80555421354978,526.851807118326
46.0,-24.44350210782511,-7.798171148221973,0.03,0.9253753726816076,debye_scaled,-8.42703553437344e-08,16.645330959603136,554.8443653201045
47.0,-25.671034412641923,-8.228853291182686,0.03,0.9865039245960447,debye_scaled,-8.341429857516534e-08,17.44218112145924,581.4060373819747
48.0,-26.869114083595484,-8.669047396427345,0.03,1.0501462574094755,debye_scaled,-8.255085741877847e-08,18.20006668716814,606.6688895722713
49.0,-28.047550735151784,-9.118162863850712,0.03,1.1163268576306542,debye_scaled,-8.168004560244603e-08,18.929387871301074,630.9795957100358
50.0,-29.219839113498725,-9.5755579492422,0.5,1.1850662476192235,debye_scaled,-8.080187895385023e-08,19.644281164256526,39.28856232851305
51.0,-30.398143944106238,-10.04054020588871,0.5,1.2563808295779852,debye_scaled,-7.991637542942532e-08,20.357603738217527,40.715207476435054
52.0,-31.587983876191615,-10.512367280726293,0.5,1.3302827570559146,debye_scaled,-7.902355514245335e-08,21.07561659546532,42.15123319093064
53.0,-32.785282943173925,-10.990248059125085,0.5,1.4067798351203051,debye_scaled,-7.812344039026703e-08,21.79503488404884,43.59006976809768
54.0,-33.97744650673043,-11.473344146608309,0.5,1.4858754498002433,debye_scaled,-7.721605568051313e-08,22.504102360122122,45.008204720244244
55.0,-35.147901529178526,-11.960771670738415,0.5,1.5675685268852066,debye_scaled,-7.630142775642946e-08,23.187129858440112,46.374259716880225
56.0,-36.28160563772687,-12.451603382100355,0.5,1.6518535196904403,debye_scaled,-7.537958562108948e-08,23.830002255626514,47.66000451125303
57.0,-37.3687325204642,-12.944871029802819,0.5,1.738720424982138,debye_scaled,-7.445056056056743e-08,24.42386149066138,48.84772298132276
58.0,-38.40518380186532,-13.439567984194614,0.5,1.828154825893707,debye_scaled,-7.351438616597795e-08,24.965615817670706,49.93123163534141
59.0,-39.39057708632551,-13.9346520775284,0.5,1.9201379603612148,debye_scaled,-7.257109835434442e-08,25.45592500879711,50.91185001759422
60.0,-40.325512945819106,-14.429048632049103,0.5,2.0146468133607507,debye_scaled,-7.162073538824981e-08,25.896464313770007,51.792928627540014
61.0,-41.20970843881951,-14.92165364438177,0.5,2.1116542310409554,debye_scaled,-7.066333789422538e-08,26.28805479443775,52.5761095888755
62.0,-42.04154377632751,-15.411337095074105,0.5,2.211129054707086,debye_scaled,-6.969894887983228e-08,26.6302066812534,53.2604133625068
63.0,-42.81861843428044,-15.896946352639041,0.5,2.313036272524396,debye_scaled,-6.872761374939214e-08,26.921672081641397,53.843344163282794
64.0,-43.538579731641384,-16.377309642367855,0.5,2.417337186763687,debye_scaled,-6.774938031832322e-08,27.16127008927353,54.32254017854706
65.0,-44.19969727735163,-16.851239551473107,0.5,2.52398959440591,debye_scaled,-6.676429882603976e-08,27.348457725878525,54.69691545175705
66.0,-44.80103857773052,-17.317536543696466,0.5,2.6329479789497436,debye_scaled,-6.577242194737269e-08,27.483502034034057,54.967004068068114
67.0,-45.34235992474759,-17.77499245832099,0.5,2.7441637113222064,debye_scaled,-6.477380480247134e-08,27.567367466426596,55.13473493285319
68.0,-45.82389059404059,-18.222393970490188,0.5,2.8575852578714,debye_scaled,-6.376850496514652e-08,27.601496623550407,55.202993247100814
69.0,-46.24613360616911,-18.658525991811043,0.5,2.973158393519043,debye_scaled,-6.275658246961654e-08,27.587607614358067,55.175215228716134
70.0,-46.60972930414598,-19.082174992350023,0.5,3.090826418263428,debye_scaled,-6.173809981561918e-08,27.52755431179596,55.05510862359192
71.0,-46.91537870663838,-19.49213222727903,0.5,3.210530375347096,debye_scaled,-6.071312197185396e-08,27.42324647935935,54.8464929587187
