T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein_1e-8_per_K,residual_1e-8_per_K,z
13.0,0.10555386774141656,-0.34379504706266634,0.03,0.017733714014697356,5.306695078508575e-16,-0.34379504706268565,1.9329823737664383e-14,-0.44934891480408296,-14.9782971601361
14.0,0.13309041480754097,-0.4293917201361048,0.03,0.02214898099969471,1.2272226116292202e-14,-0.4293917201365518,4.470201588506561e-13,-0.5624821349436457,-18.749404498121525
15.0,0.14906469638765094,-0.5281330376975995,0.03,0.027242278015291947,1.8492814176976848e-13,-0.5281330377043355,6.736072699975199e-12,-0.6771977340852504,-22.57325780284168
16.0,0.11030769097369961,-0.6409579028718355,0.03,0.03306203577792829,1.968796821002494e-12,-0.6409579029435496,7.171411766124652e-11,-0.7512655938455353,-25.04218646151784
17.0,0.04474672330195559,-0.7688052184531993,0.03,0.03965668500380012,1.5752756434764707e-11,-0.7688052190269989,5.73799701625099e-10,-0.8135519417551548,-27.11839805850516
18.0,-0.045386038282090646,-0.9126138854779725,0.03,0.04707465640758844,9.938513288717794e-11,-0.9126138890981109,3.6201384711808573e-09,-0.8672278471958818,-28.907594906529393
19.0,-0.17180920211933742,-1.073322797449989,0.03,0.055364380696443664,5.134975994545196e-10,-1.07332281615432,1.8704330925980507e-08,-0.9015135953306517,-30.05045317768839
20.0,-0.3406056923499412,-1.2518708210210272,0.03,0.06457428854665759,2.2394784938462053e-09,-1.2518709025948203,8.157379293498692e-08,-0.911265128671086,-30.3755042890362
21.0,-0.5572548031493234,-1.449196741006346,0.03,0.07475281052729686,8.448339347417241e-09,-1.4491970487400825,3.0773373643214114e-07,-0.8919419378570225,-29.731397928567418
22.0,-0.8269343037943666,-1.6662391241735102,0.03,0.08594837688405413,2.812513560398069e-08,-1.666240148641481,1.0244679707047487e-06,-0.8393048203791437,-27.976827345971458
23.0,-1.1544019759301651,-1.9039360198752817,0.03,0.09820941699958792,8.400039229925026e-08,-1.9039390796191582,3.059743876400575e-06,-0.7495340439451166,-24.98446813150389
24.0,-1.5438820451316155,-2.1632243669626887,0.03,0.11158435818508765,2.2818920008354656e-07,-2.163232678834675,8.311871986609864e-06,-0.6193423218310729,-20.644744061035762
25.0,-1.9989624023433001,-2.445038920459444,0.03,0.12612162321897627,5.703476919501472e-07,-2.4450596955750132,2.0775115569064318e-05,-0.44607651811614385,-14.86921727053813
26.0,-2.522504697236022,-2.7503104572850363,0.03,0.14186962573290865,1.3244763645591677e-06,-2.7503587018031266,4.8244518090582535e-05,-0.22780576004901415,-7.593525334967139
27.0,-3.116569133524793,-3.0799629794022296,0.03,0.15887676217053862,2.881423452763556e-06,-3.080067936266401,0.00010495686417156153,0.03660615412256324,1.2202051374187746
28.0,-3.7823555521281924,-3.434909616420479,0.03,0.1771913986472079,5.9143788072330225e-06,-3.435125049751715,0.00021543333123583635,0.3474459357077134,11.581531190257115
29.0,-4.520162148372184,-3.8160469461961206,0.03,0.19686185066877573,1.1523998597908854e-05,-3.8164667119040705,0.00041976570795033237,0.7041152021760633,23.470506739202108
30.0,-5.329362933914205,-4.224247504636418,0.03,0.21793635338087552,2.142820258634586e-05,-4.22502803446314,0.0007805298267211534,1.1051154292777865,36.837180975926216
31.0,-6.208404819558522,-4.660350342331618,0.03,0.24046301986736243,3.819923209039119e-05,-4.661741762815173,0.0013914204835543606,1.5480544772269034,51.60181590756344
