T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein1_J_per_molK,Cv_einstein2_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein1_1e-8_per_K,alpha_einstein2_1e-8_per_K,residual_1e-8_per_K,z
13.0,0.10555386774141656,-0.571202898178094,0.03,0.017733714014697356,5.667060208996264e-13,3.52472261622913e-23,-0.5712028981996609,2.1566835927820933e-11,4.0986341926080283e-22,-0.6767567659195106,-22.558558863983688
14.0,0.13309041480754097,-0.7134186399682533,0.03,0.02214898099969471,7.769498782928202e-12,2.7769572276566728e-21,-0.713418640263933,2.956797692511112e-10,3.229114198172055e-20,-0.8465090547757942,-28.216968492526473
15.0,0.14906469638765094,-0.8774737256265113,0.03,0.027242278015291947,7.441899946533528e-11,1.2106386672218228e-19,-0.8774737284586364,2.8321251093002777e-09,1.407760432983307e-18,-1.0265384220141622,-34.21794740047208
16.0,0.11030769097369961,-1.0649280957953298,0.03,0.03306203577792829,5.329561662864137e-10,3.2651821698129457e-18,-1.064928116077765,2.0282435285887595e-08,3.7968341748851657e-17,-1.1752357867690293,-39.17452622563431
17.0,0.04474672330195559,-1.2773416420293047,0.03,0.03965668500380012,3.0054852079856164e-09,5.932865861307677e-17,-1.2773417564074907,1.1437818546769793e-07,6.898882416264379e-16,-1.32208836533126,-44.06961217770867
18.0,-0.045386038282090646,-1.5162740739272196,0.03,0.04707465640758844,1.38940321464681e-08,7.759842542344403e-16,-1.5162746026851748,5.287579461447447e-07,9.023335858222229e-15,-1.4708880356451288,-49.029601188170965
19.0,-0.17180920211933742,-1.7832845394858865,0.03,0.055364380696443664,5.435131370687443e-08,7.697764629583596e-15,-1.7832866079056187,2.068419642545673e-06,8.951150133684454e-14,-1.6114753373665491,-53.71584457888497
20.0,-0.3406056923499412,-2.079930701509778,0.03,0.06457428854665759,1.8452992302292046e-07,6.038629132136946e-14,-2.079937724069667,7.022559187373856e-06,7.02186655014969e-13,-1.7393250091598367,-57.977500305327894
21.0,-0.5572548031493234,-2.4077667781864864,0.03,0.07475281052729686,5.550049259749177e-07,3.874767588269675e-13,-2.4077878997244437,2.1121533451562705e-05,4.5056750998130316e-12,-1.8505119750371628,-61.683732501238765
22.0,-0.8269343037943666,-2.7683398462046873,0.03,0.08594837688405413,1.5037326972834886e-06,2.0906465307294938e-12,-2.7683970730011964,5.7226772198625854e-05,2.431055231424834e-11,-1.9414055424103207,-64.71351808034403
23.0,-1.1544019759301651,-3.1631835373498403,0.03,0.09820941699958792,3.721226265246867e-06,9.70383005297663e-12,-3.163325154232844,0.00014161677016502286,1.1283852372172574e-10,-2.008781561419675,-66.95938538065583
24.0,-1.5438820451316155,-3.593808196788448,0.03,0.11158435818508765,8.508138140892772e-06,3.948903407734735e-11,-3.5941319870302904,0.00032378978265411757,4.591882054980921e-10,-2.0499261516568326,-68.33087172189441
25.0,-1.9989624023433001,-4.061686659264668,0.03,0.12612162321897627,1.814692499894434e-05,1.43152555701478e-10,-4.062377269004038,0.0006906080747570236,1.664613143898986e-09,-2.062724256921368,-68.75747523071226
26.0,-2.522504697236022,-4.5682350517239545,0.03,0.14186962573290865,3.640236831986075e-05,4.68554635375854e-10,-4.569620403147207,0.0013853459747829211,5.448468599526305e-09,-2.0457303544879326,-68.19101181626442
27.0,-3.116569133524793,-5.114788423826926,0.03,0.15887676217053862,6.915507594546171e-05,1.4006785919714658e-09,-5.11742023882743,0.0026317987130684323,1.628743533881284e-08,-1.9982192903021336,-66.60730967673778
28.0,-3.7823555521281924,-5.702571487590695,0.03,0.1771913986472079,0.0001251591354030713,3.861870246520528e-09,-5.707334648537463,0.0047631160399900785,4.490677753456353e-08,-1.9202159354625024,-64.00719784875008
29.0,-4.520162148372184,-6.332665244320401,0.03,0.19686185066877573,0.00021690170278202127,9.9039958808263e-09,-6.340919874638713,0.008254515152210408,1.1516610122367978e-07,-1.8125030959482171,-60.41676986494057
30.0,-5.329362933914205,-7.005970721688959,0.03,0.21793635338087552,0.00036153036042103985,2.379891346246354e-08,-7.019729571089852,0.013758572661269695,2.767396220486919e-07,-1.676607787774754,-55.88692625915847
31.0,-6.208404819558522,-7.723171380396589,0.03,0.24046301986736243,0.000581805075031534,5.3926889023449814e-08,-7.74531346023988,0.02214145276815589,6.270751356001791e-07,-1.5147665608380674,-50.49221869460224
32.0,-7.154824948830198,-8.484695943659952,0.03,0.2644897850370196,0.0009070264790230165,1.158710236996625e-07,-8.519215525419037,0.034518234382308124,1.3473767764908836e-06,-1.3298709948297545,-44.32903316099181
33.0,-8.165288610226703,-9.29068344247426,0.03,0.2900643328500023,0.0013738912992759618,2.3724123486026027e-07,-9.342971666902683,0.052285465728964746,2.758699457987659e-06,-1.1253948322475567,-37.51316107491856
34.0,-9.235647568070469,-10.140952164471521,0.03,0.31723400503778504,0.0020272288263558664,4.6486244457095624e-07,-10.218106761780948,0.0771491917745298,5.405534896292726e-06,-0.9053045964010525,-30.176819880035087
35.0,-10.361017643945683,-11.034973968889515,0.03,0.3460456900400127,0.0029205786911351136,8.750549941929464e-07,-11.146131086614913,0.1111469423705968,1.0175354801248511e-05,-0.6739563249438321,-22.46521083146107
36.0,-11.53587213840112,-11.97185511823894,0.03,0.37654569157983186,0.004116578984176257,1.5877973320509816e-06,-12.128536084248239,0.1566625027112071,1.8463298093619138e-05,-0.4359829798378206,-14.532765994594019
37.0,-12.754143016313503,-12.950324415229641,0.03,0.4087795770767217,0.00568714391839101,2.7855797612148315e-06,-13.166789481184711,0.21643267454814583,3.239140692372097e-05,-0.19618139891613812,-6.539379963871271
38.0,-14.009313478001562,-13.9687290560505,0.03,0.4427920068989229,0.007713420843924839,4.737724815433922e-06,-14.262329787809279,0.29354564032878927,5.509142998741641e-05,0.04058442195106268,1.3528140650354228
39.0,-15.29447420902185,-15.025038247729217,0.03,0.478626546234206,0.010285526656999553,7.830860415986009e-06,-15.4165602387458,0.3914309318446914,9.105917189261892e-05,0.2694359612926318,8.981198709754393
