T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_obs_alpha_over_Cv_mol_per_J,A_eff_model_mol_per_J,residual_1e-8_per_K,rel_residual
13.0,0.10555386774141656,-0.18515074083565616,0.03,0.017733714014697356,5.9521579999505796e-08,-1.0440607121678339e-07,-0.2907046085770727,-2.7540876975653243
14.0,0.13309041480754097,-0.22984985352012866,0.03,0.02214898099969471,6.008873040677376e-08,-1.0377445965721708e-07,-0.3629402683276696,-2.7270203406647227
15.0,0.14906469638765094,-0.280967726928496,0.03,0.027242278015291947,5.4718146663056684e-08,-1.0313664913440057e-07,-0.43003242331614694,-2.8848710240406215
16.0,0.11030769097369961,-0.3388614585754894,0.03,0.03306203577792829,3.3363853246852793e-08,-1.0249261746964418e-07,-0.44916914954918896,-4.071965840136055
17.0,0.04474672330195559,-0.4038729732229538,0.03,0.03965668500380012,1.1283525916921124e-08,-1.0184234339916524e-07,-0.4486196965249094,-10.025755260280771
18.0,-0.045386038282090646,-0.47632870789811327,0.03,0.04707465640758844,-9.64128933605438e-09,-1.0118580659918084e-07,-0.4309426696160226,9.495049269062836
19.0,-0.17180920211933742,-0.55653929603801,0.03,0.055364380696443664,-3.1032443596063486e-08,-1.005229877110789e-07,-0.3847300939186726,2.239286890183227
20.0,-0.3406056923499412,-0.6447992508408074,0.03,0.06457428854665759,-5.274633294702729e-08,-9.985386836665081e-08,-0.30419355849086616,0.8930959326960839
21.0,-0.5572548031493234,-0.7413866476887497,0.03,0.07475281052729686,-7.454633467538125e-08,-9.917843121336873e-08,-0.18413184453942627,0.33042666209210914
22.0,-0.8269343037943666,-0.8465628050316958,0.03,0.08594837688405413,-9.621290520819439e-08,-9.84966599396896e-08,-0.01962850123732923,0.023736469931485923
23.0,-1.1544019759301651,-0.9605719622270413,0.03,0.09820941699958792,-1.1754493725739244e-07,-9.78085393003679e-08,0.19383001370312383,-0.16790512988072837
24.0,-1.5438820451316155,-1.0836409513744265,0.03,0.11158435818508765,-1.3836007754516466e-07,-9.711405514175789e-08,0.4602410937571891,-0.2981063839744011
25.0,-1.9989624023433001,-1.215978858087091,0.03,0.12612162321897627,-1.58494820422081e-07,-9.641319442708654e-08,0.7829835442562092,-0.39169498302636924
26.0,-2.522504697236022,-1.3577766634688304,0.03,0.14186962573290865,-1.7780442319521054e-07,-9.570594526167662e-08,1.1647280337671915,-0.461734733355865
27.0,-3.116569133524793,-1.509206856549018,0.03,0.15887676217053862,-1.9616267923306883e-07,-9.499229691810012e-08,1.6073622769757752,-0.5157473516905022
28.0,-3.7823555521281924,-1.6704230034618262,0.03,0.1771913986472079,-2.1346157776309157e-07,-9.427223986124046e-08,2.111932548666366,-0.5583643630430406
29.0,-4.520162148372184,-1.8415592572348352,0.03,0.19686185066877573,-2.2961087346361755e-07,-9.354576577324256e-08,2.678602891137349,-0.5925900008038376
30.0,-5.329362933914205,-2.0227297906842994,0.03,0.21793635338087552,-2.4453758408081495e-07,-9.281286757832845e-08,3.3066331432299054,-0.6204556124687337
31.0,-6.208404819558522,-2.214028135022128,0.03,0.24046301986736243,-2.5818543005003556e-07,-9.207353946745613e-08,3.9943766845363937,-0.6433821248177616
32.0,-7.154824948830198,-2.4155264086219868,0.03,0.2644897850370196,-2.7051422601552514e-07,-9.132777692279857e-08,4.739298540208211,-0.6623919626409698
33.0,-8.165288610226703,-2.6272744240178194,0.03,0.2900643328500023,-2.8149922915373143e-07,-9.057557674201992e-08,5.538014186208883,-0.6782386331418511
34.0,-9.235647568070469,-2.8492986664507813,0.03,0.31723400503778504,-2.911304406654145e-07,-8.981693706232431e-08,6.386348901619688,-0.6914890217009372
35.0,-10.361017643945683,-3.0816011437878985,0.03,0.3460456900400127,-2.994118390189358e-07,-8.905185738425403e-08,7.279416500157783,-0.7025773674279389
36.0,-11.53587213840112,-3.3241581149235646,0.03,0.37654569157983186,-3.063604868243563e-07,-8.828033859521154e-08,8.211714023477557,-0.7118416297405066
37.0,-12.754143016313503,-3.5769187112953382,0.03,0.4087795770767217,-3.120053870479871e-07,-8.75023829926808e-08,9.177224305018166,-0.7195484865803848
38.0,-14.009313478001562,-3.8398034733500075,0.03,0.4427920068989229,-3.163858710123352e-07,-8.671799430712234e-08,10.169510004651556,-0.7259106608343411
39.0,-15.29447420902185,-4.1127028301938156,0.03,0.478626546234206,-3.1954922536907965e-07,-8.592717772451656e-08,11.181771378828033,-0.7310987763300925
40.0,-16.602307452314196,-4.395475555858462,0.03,0.5163254620620373,-3.2154733152244587e-07,-8.512993990852882e-08,12.206831896455734,-0.7352491171192125
41.0,-17.92497397171395,-4.687947239337557,0.03,0.5559295083054664,-3.224324973565663e-07,-8.432628902227065e-08,13.237026732376393,-0.7384683934975161
42.0,-19.25393178381967,-4.989908807650617,0.03,0.597477702701718,-3.2225356187780477e-07,-8.351623474962975e-08,14.264022976169054,-0.7408368917228656
43.0,-20.57982681768017,-5.301115141647926,0.03,0.6410070992422561,-3.210545849181372e-07,-8.26997883161427e-08,15.278711676032245,-0.742412062617858
44.0,-21.892734715054942,-5.621283823157427,0.03,0.686552560192158,-3.188792233026911e-07,-8.187696250938304e-08,16.271450891897516,-0.7432351921164125
45.0,-23.183094549565123,-5.950094049557134,0.03,0.7341465317105685,-3.1578293362700067e-07,-8.104777169883726e-08,17.233000500007986,-0.7433434075491553
46.0,-24.44350210782511,-6.287185748152942,0.03,0.783818826971343,-3.118514287577681e-07,-8.021223185524232e-08,18.156316359672168,-0.7427870310719419
47.0,-25.671034412641923,-6.632158918107927,0.03,0.8355964204436911,-3.072180993668083e-07,-7.937036056935637e-08,19.038875494534,-0.7416481622243527
48.0,-26.869114083595484,-6.984573222373127,0.03,0.8895032566576118,-3.020687544704287e-07,-7.852217707013561e-08,19.884540861222355,-0.740051971916802
49.0,-28.047550735151784,-7.343947846378004,0.03,0.9455600763710013,-2.966236777127529e-07,-7.766770224229013e-08,20.703602888773784,-0.7381608142641173
50.0,-29.219839113498725,-7.709761634394011,0.5,1.003784262596567,-2.910968043861685e-07,-7.680695864319062e-08,21.510077479104716,-0.7361463352194735
51.0,-30.398143944106238,-8.081453508709851,0.5,1.0641897084589143,-2.8564591164978207e-07,-7.593997051909901e-08,22.316690435396385,-0.7341464819835907
52.0,-31.587983876191615,-8.458423171230933,0.5,1.1267867083540068,-2.803368520590278e-07,-7.506676382069568e-08,23.129560704960678,-0.7322265579093769
