T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K
13.0,0.10555386774141658,0.17268446199837142,0.03,2.2376864752318286,0.17526320304086074,-0.00257874104248929,1.5662755565410567e-19
14.0,0.13309041480754097,0.2116152830031647,0.03,2.6174956065207913,0.21889951258266693,-0.007284229579502202,8.045934714083168e-18
15.0,0.14906469638765094,0.25149125801601896,0.03,3.4142187209456005,0.2692368276116678,-0.017745569595649064,2.421311872500599e-16
16.0,0.11030769097369961,0.2883975006501464,0.03,5.936326989214893,0.3267537913766304,-0.03835629072648873,4.721650901178701e-15
17.0,0.04474672330195559,0.3167655985633896,0.03,9.0672958420478,0.39192904712392207,-0.0751634485605969,6.444241554509617e-14
18.0,-0.045386038282090646,0.32944907529644885,0.03,12.494503785951316,0.4652412380849331,-0.13579216278913783,6.535665430931568e-13
19.0,-0.17180920211933742,0.3179950738607083,0.03,16.326809199334857,0.5471690074166291,-0.2291739335610844,5.1636834772459255e-12
20.0,-0.3406056923499412,0.27306452450747587,0.03,20.455673895247237,0.6381909979709978,-0.3651264734965266,3.3004686900800637e-11
21.0,-0.5572548031493234,0.18493492789740884,0.03,24.739657701557743,0.738785851540316,-0.5538509238188604,1.7595327552073352e-10
22.0,-0.8269343037943666,0.044019359734399216,0.03,29.031788784292196,0.8494322067209379,-0.8054128477887035,8.021648309855786e-10
23.0,-1.1544019759301651,-0.15865341575699618,0.03,33.19161867243896,0.9706086935798083,-1.1292621125292241,3.1924197574183004e-09
24.0,-1.5438820451316158,-0.43103606282481016,0.03,37.09486607689352,1.1027939217114358,-1.5338299958189787,1.1282732833573633e-08
25.0,-1.9989624023433001,-0.7797580225141962,0.03,40.64014599430347,1.2464664559127665,-2.026224514351982,3.59250189978918e-08
26.0,-2.522504697236022,-1.2099251979051229,0.03,43.75264997769664,1.40210477058277,-2.612030072804171,1.0431627824459593e-07
27.0,-3.116569133524793,-1.7250189558694005,0.03,46.38500592184642,1.570187170250521,-3.2952064052306826,2.791107614250143e-07
28.0,-3.7823555521281924,-2.326882225043128,0.03,48.51577756950215,1.7511916597088353,-4.078074579011042,6.942590787751929e-07
29.0,-4.520162148372184,-3.015776690407331,0.03,50.14618193216176,1.9455957435744216,-4.961374051703702,1.617721948549807e-06
30.0,-5.329362933914205,-3.790493944386001,0.03,51.29563298427346,2.1538761322597666,-5.944373631284411,3.554638643632765e-06
31.0,-6.208404819558521,-4.648504140899697,0.03,51.99668928862749,2.376508329834556,-7.025019878638789,7.407904536245119e-06
32.0,-7.154824948830197,-5.586127501840023,0.03,52.289914899672475,2.6139660794551203,-8.200108297245214,1.4715950070334332e-05
33.0,-8.165288610226703,-6.598716387661852,0.03,52.219074085495016,2.8667206441396624,-9.465465021120702,2.798931918740715e-05
34.0,-9.235647568070469,-7.6808381655525135,0.03,51.82698008393183,3.1352399046428183,-10.816129238182791,5.116798746015517e-05
35.0,-10.361017643945683,-8.826451528153827,0.03,51.15220385972853,3.4199872618128793,-12.246529009910693,9.021994398684068e-05
36.0,-11.53587213840112,-10.02907108043266,0.03,50.22670193228199,3.7214203377150636,-13.750645316423096,0.00015389827537291864
37.0,-12.754143016313504,-11.281916849267489,0.03,49.07420556820047,4.039989477487766,-15.322160995679576,0.00025466892432172896
38.0,-14.009313478001564,-12.578046861298782,0.03,47.708887223426046,4.37613606183558,-16.954592737859944,0.0004098147255804297
39.0,-15.29447420902185,-13.910472095373207,0.03,46.13340378828812,4.730290647738471,-18.64140545678425,0.0006427136725711491
40.0,-16.602307452314196,-15.27225398138958,0.03,44.33511569748716,5.102870961917304,-20.376109224464628,0.0009842811577443552
41.0,-17.92497397171395,-16.656585231031183,0.03,42.27962468942548,5.494279777478956,-22.15233956622265,0.0014745577125119416
42.0,-19.25393178381967,-18.056855192985616,0.03,39.90255302780182,5.904902708716953,-23.96392231778446,0.002164416081889742
43.0,-20.57982681768017,-19.466701168633676,0.03,37.10418830154983,6.335105962124988,-25.804924485529906,0.003117354771240872
44.0,-21.892734715054942,-20.880047242002043,0.03,33.75624910176335,6.785234083252721,-27.669692665119506,0.004411339864741499
45.0,-23.183094549565123,-22.291132202599037,0.03,29.732078232202763,7.255607739151247,-29.55288059493683,0.006140653186544872
46.0,-24.44350210782511,-23.69452809844713,0.03,24.965800312599296,7.746521574943319,-31.449467376273173,0.008417702882725957
47.0,-25.671034412641923,-25.085150870699458,0.03,19.529451398082177,8.258242180688418,-33.35476780364351,0.011374752255636967
48.0,-26.86911408359548,-26.45826440744168,0.03,13.69498920512682,8.791006201401766,-35.26443613293539,0.015165524091943699
49.0,-28.047550735151788,-27.809479225344553,0.03,7.93571699357444,9.345018619054954,-37.17446448501958,0.019966640620066443
50.0,-29.219839113498725,-29.134746853129478,0.5,0.1701845207384944,9.920451230852057,-39.08117694736381,0.02597886338226896
51.0,-30.398143944106238,-30.43035085701272,0.5,-0.0644138258129651,10.517441343254465,-40.98122030271263,0.0334281024454487
52.0,-31.58798387619161,-31.69289531998365,0.5,-0.2098228875840726,11.136090696304246,-42.87155218650953,0.04256617022164209
53.0,-32.785282943173925,-32.9192914668773,0.5,-0.26801704740674553,11.776464627943136,-44.74942735626602,0.053671261445589216
54.0,-33.97744650673043,-34.106743017447734,0.5,-0.25859302143460067,12.43859148336828,-46.61238264811616,0.06704814730014882
55.0,-35.147901529178526,-35.252730750836875,0.5,-0.209658443316698,13.122462270126201,-48.458221099018694,0.08302807805561814
56.0,-36.28160563772687,-36.35499667714212,0.5,-0.14678207883050354,13.828030555694063,-50.28499562753078,0.10196839469460679
57.0,-37.3687325204642,-37.41152813492877,0.5,-0.08559122892915197,14.555212600792885,-52.09099259138768,0.1242518556660198
58.0,-38.40518380186532,-38.420542066943504,0.5,-0.030716530156370762,15.303887718649056,-53.874715475616895,0.15028569002433131
59.0,-39.39057708632551,-39.380469669208644,0.5,0.02021483423372313,16.07389884788258,-55.634868909766595,0.18050039267536788
60.0,-40.325512945819106,-40.289941560266605,0.5,0.07114277110499596,16.865053324646414,-57.37034316612648,0.21534828121346064
61.0,-41.20970843881951,-41.147773576715664,0.5,0.12386972420770016,17.677123838055028,-59.0801992516447,0.25530183687400876
62.0,-42.04154377632751,-41.95295326745234,0.5,0.1771810177503321,18.509849551794655,-60.76365467369044,0.30085185444344353
63.0,-42.81861843428044,-42.70462713136992,0.5,0.22798260582103758,19.36293737406573,-62.42006993302579,0.35250542759013803
64.0,-43.538579731641384,-43.402088620863196,0.5,0.2729822215563812,20.23606335763238,-64.04893577554239,0.41078379704681145
65.0,-44.19969727735163,-44.0447669156237,0.5,0.309860723455872,21.128874211703373,-65.64986121676888,0.4762200894418106
66.0,-44.80103857773052,-44.632216457220736,0.5,0.33764424101957474,22.040988907595747,-67.22256233922286,0.5493569744063811
67.0,-45.34235992474759,-45.164107224248454,0.5,0.35650540099826306,22.97200036060189,-68.76685185179598,0.6307442669456353
68.0,-45.82389059404059,-45.64021571985814,0.5,0.3673497483648996,23.921477171142723,-70.28262939202351,0.7209365010226401
69.0,-46.24613360616911,-46.060416637817404,0.5,0.37143393670340813,24.888965409114622,-71.76987254586949,0.8204904989374694
