T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K,alpha_contrib_E3_1e-8_per_K
13.0,0.10555386774141658,0.22582830113461252,0.03,4.0091477797731985,0.22866725158992554,-0.002838950455312914,-8.545089496030409e-17,7.215307448026795e-18
14.0,0.13309041480754097,0.2775806317738833,0.03,4.816340565544745,0.285599880911585,-0.00801924913769912,-2.8786649663666278e-15,3.001554696098292e-16
15.0,0.14906469638765094,0.33173916678268167,0.03,6.089149013167691,0.35127536373049895,-0.01953619694776473,-6.009837086814296e-14,7.52348680858232e-15
16.0,0.11030769097369961,0.3840915343148121,0.03,9.126128111370418,0.4263181895817704,-0.04222665526623227,-8.510469566080779e-13,1.250219150099467e-13
17.0,0.04474672330195559,0.4286049865344084,0.03,12.795275441081762,0.5113528479973712,-0.08274786145568609,-8.758434222839759e-12,1.4817044671928236e-12
18.0,-0.045386038282090646,0.4575094759470451,0.03,16.76318380763786,0.6070038284897329,-0.14949435248682952,-6.911340068821748e-11,1.3255267171010188e-11
19.0,-0.17180920211933742,0.46159675323910804,0.03,21.113531845281514,0.713895620474184,-0.2522988668924457,-4.3623616277798547e-10,9.360587066714065e-11
20.0,-0.3406056923499412,0.4306829317530248,0.03,25.709620803432202,0.8326527129681468,-0.40196977947779644,-2.2781289830093537e-09,5.408033978496267e-10
21.0,-0.5572548031493234,0.35416200237707957,0.03,30.380560184213437,0.9638995936064295,-0.6097375837448252,-1.0115764799040593e-08,2.6312401528905377e-09
22.0,-0.8269343037943666,0.22157720318077798,0.03,34.95038356583815,1.1082607458540972,-0.8866835146569806,-3.905547837325465e-08,1.103913991741155e-08
23.0,-1.1544019759301651,0.023149565372403872,0.03,39.25171804341897,1.2663606420478264,-1.2432109838519307,-1.335463725183505e-07,4.0722880630708966e-08
24.0,-1.5438820451316158,-0.2497785808745138,0.03,43.136782141903396,1.4388237278137506,-1.6886020322534883,-4.1068832671065863e-07,1.342535505070165e-07
25.0,-1.9989624023433001,-0.6044082745138163,0.03,46.48513759431613,1.6262743903302774,-2.23068191524688,-1.1505728801157476e-06,4.0097566671389163e-07
26.0,-2.522504697236022,-1.0462635075235243,0.03,49.20803965708326,1.8293368988328775,-2.8755985352139994,-2.968682409672909e-06,1.0975400072043086e-06
27.0,-3.116569133524793,-1.579080224373075,0.03,51.249630305057266,2.048635300926461,-3.6277111855517106,-7.120052079770155e-06,2.78030425448555e-06
