T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_basis_low_J_per_molK,contrib_basis_low_1e-8_per_K,Cv_basis_mid_J_per_molK,contrib_basis_mid_1e-8_per_K,Cv_basis_high_J_per_molK,contrib_basis_high_1e-8_per_K
13.0,0.10555386774141656,-0.218768702339191,0.03,-0.32432257008060755,-10.810752336020252,0.007307923313018731,-0.23648426507379058,0.0006228831415199086,0.016834940146696717,1.921792897044975e-05,0.0008806225879028874
14.0,0.13309041480754097,-0.2913271677848819,0.03,-0.42441758259242285,-14.147252753080762,0.009921119719374786,-0.3210472531048335,0.001039304950308433,0.02808975787964691,3.5578825000348104e-05,0.00163032744030468
15.0,0.14906469638765094,-0.3895088633854065,0.03,-0.5385735597730574,-17.95245199243525,0.013523364658543835,-0.437615833612185,0.001674306616231152,0.04525223078391638,6.229931027855247e-05,0.0028547394428620324
16.0,0.11030769097369961,-0.5191805586948391,0.03,-0.6294882496685387,-20.982941655617957,0.01836453955542994,-0.5942761649465704,0.002602657752255066,0.07034319049739414,0.0001037125207319432,0.0047524157543370445
17.0,0.04474672330195559,-0.6862584872597253,0.03,-0.7310052105616809,-24.36684035205603,0.024705353640265545,-0.7994647930415851,0.003908850345193157,0.10564623958700979,0.00016498420224549966,0.007560066194849982
18.0,-0.045386038282090646,-0.8964557783531827,0.03,-0.851069740071092,-28.36899133570307,0.03280699030624028,-1.0616336077354673,0.005684254950769678,0.15363089076591013,0.0002519901819507955,0.01154693861637453
19.0,-0.17180920211933742,-1.1550452592685978,0.03,-0.9832360571492604,-32.77453523830868,0.04292075423314984,-1.3889148238812683,0.008023792132258133,0.21686260438272634,0.0003711448674972841,0.01700696022994426
20.0,-0.3406056923499412,-1.4666569083159544,0.03,-1.1260512159660132,-37.53504053220044,0.055278649623062635,-1.7888160932249277,0.011022483628697033,0.29790957530856216,0.0005292020455342217,0.024249609600411677
21.0,-0.5572548031493234,-1.8351223609718974,0.03,-1.2778675578225738,-42.59558526075246,0.07008556049158955,-2.267967458773437,0.01477219313421668,0.39925464452794696,0.0007330483614262069,0.03359045327359279
22.0,-0.8269343037943666,-2.2633717134256703,0.03,-1.4364374096313037,-47.88124698771012,0.08751340677463168,-2.8319322465158185,0.019358781507871656,0.5232184117276868,0.000989506378423024,0.0453421213624615
