T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_low_J_per_molK,Cv_high_J_per_molK,contrib_low_1e-8_per_K,contrib_high_1e-8_per_K
13.0,0.10555386774141656,-0.07493100406113799,0.03,-0.18048487180255457,-6.016162393418486,0.007950005116577785,1.676253392007244e-16,-0.07493100406114542,7.430038161539407e-15
14.0,0.13309041480754097,-0.10364010633022992,0.03,-0.2367305211377709,-7.89101737125903,0.010995974042157805,3.35641567357167e-15,-0.10364010633037869,1.4877402580980864e-13
15.0,0.14906469638765094,-0.14382904525408546,0.03,-0.29289374164173637,-9.763124721391213,0.015259926915769405,4.490105786454302e-14,-0.1438290452560757,1.9902514441897816e-12
16.0,0.11030769097369961,-0.1985985795977897,0.03,-0.3089062705714893,-10.29687568571631,0.021070847026308674,4.330488089848614e-13,-0.1985985796169847,1.9195004716523218e-11
17.0,0.04474672330195559,-0.27125100632700483,0.03,-0.31599772962896044,-10.533257654298682,0.028779100404706555,3.191434944407873e-12,-0.27125100646846606,1.414612106981402e-10
18.0,-0.045386038282090646,-0.36516461539123335,0.03,-0.3197785771091427,-10.659285903638091,0.038743115800380014,1.8803914694694813e-11,-0.3651646162247219,8.334885670275219e-10
19.0,-0.17180920211933742,-0.48366311970895687,0.03,-0.31185391758961944,-10.395130586320647,0.051315531626879914,9.179531588044882e-11,-0.4836631237778089,4.068852020192372e-09
20.0,-0.3406056923499412,-0.6298924630060192,0.03,-0.28928677065607794,-9.642892355202598,0.0668301259425812,3.820206662181182e-10,-0.6298924799391877,1.6933168589138104e-08
21.0,-0.5572548031493234,-0.8067144376600759,0.03,-0.24945963451075248,-8.315321150358416,0.0855905305969252,1.3869417776360456e-09,-0.8067144991366426,6.147656663846792e-08
22.0,-0.8269343037943666,-1.0166229045365573,0.03,-0.18968860074219066,-6.322953358073022,0.10786134486408701,4.476214191777811e-09,-1.016623102945953,1.984093957555415e-07
23.0,-1.1544019759301651,-1.2616849695088896,0.03,-0.10728299357872441,-3.57609978595748,0.13386189982412677,1.3043219305325333e-08,-1.2616855476530868,5.781441973510169e-07
24.0,-1.5438820451316155,-1.5435067146454498,0.03,0.00037533048616584386,0.012511016205528127,0.16376263312756448,3.476028573022836e-08,-1.5435082554044468,1.5407589968980913e-06
25.0,-1.9989624023433001,-1.863221163307015,0.03,0.1357412390362852,4.524707967876174,0.19768383124236086,8.564479812155965e-08,-1.8632249595356845,3.796228669333405e-06
26.0,-2.522504697236022,-2.221495031243529,0.03,0.301009665992493,10.0336555330831,0.23569637780120303,1.968788747445547e-07,-2.221503757952507,8.726708978057995e-06
27.0,-3.116569133524793,-2.618550333541701,0.03,0.498018799983092,16.600626666103068,0.2778240965233621,4.2554231962433e-07,-2.6185691958192616,1.8862277560391107e-05
28.0,-3.7823555521281924,-3.054196904773242,0.03,0.7281586473549504,24.27195491183168,0.32404727661369237,8.705790345850975e-07,-3.054235493422669,3.8588649427624576e-05
29.0,-4.520162148372184,-3.5278721840950933,0.03,0.9922899642770905,33.07633214256968,0.3743070000972477,1.69538524587789e-06,-3.527947332501268,7.514840617443569e-05
30.0,-5.329362933914205,-4.038685085924674,0.03,1.2906778479895311,43.02259493298437,0.42850994005411214,3.1583568514611154e-06,-4.038825080940022,0.00013999501534797863
31.0,-6.208404819558522,-4.585461322094933,0.03,1.6229434974635886,54.098116582119616,0.48653335570885825,5.652549621688738e-06,-4.585711872874424,0.00025055077949074755
32.0,-7.154824948830198,-5.166788096100103,0.03,1.988036852730094,66.26789509100314,0.5482300677071156,9.755292353277038e-06,-5.167220502052613,0.00043240595250952803
33.0,-8.165288610226703,-5.781056612126099,0.03,2.3842319981006046,79.47439993668682,0.6134332503002738,1.6288167105776547e-05,-5.7817785895058575,0.0007219773797595848
34.0,-9.235647568070469,-6.426501307440254,0.03,2.8091462606302153,93.63820868767384,0.6819609241987222,2.6387262552484948e-05,-6.427670929936937,0.0011696224966844132
35.0,-10.361017643945683,-7.101235115636766,0.03,3.259782528308917,108.65941761029724,0.7536200735837751,4.158305469883606e-05,-7.103078295699869,0.0018431800631034743
36.0,-11.53587213840112,-7.803280397835111,0.03,3.7325917405660096,124.41972468553365,0.8282103431346037,6.388871556803302e-05,-7.806112282304522,0.002831884469410641
37.0,-12.754143016313503,-8.530595442002332,0.03,4.223547574311173,140.78491914370576,0.9055272964158018,9.589513540295559e-05,-8.534846019623515,0.0042505776211838354
38.0,-14.009313478001562,-9.281096632821695,0.03,4.728216845179868,157.60722817266227,0.9853652363547012,0.00014087050271974907,-9.28734075567349,0.006244122851794076
39.0,-15.29447420902185,-10.052676543089634,0.03,5.241797665932215,174.72658886440718,1.0675196026996558,0.00020286194639069827,-10.06166845332465,0.008991910235016162
40.0,-16.602307452314196,-10.84321830010136,0.03,5.759089152212836,191.96963840709452,1.1517889711819873,0.00028679652252053674,-10.855930632956792,0.012712332855432489
41.0,-17.92497397171395,-11.650606644395047,0.03,6.2743673273189025,209.14557757729676,1.2379766854389178,0.00039857873404215726,-11.668273753785739,0.01766710939069346
42.0,-19.25393178381967,-12.472736130649196,0.03,6.781195653170476,226.03985510568253,1.325892156337816,0.000545181801324009,-12.49690146035489,0.02416532970569331
43.0,-20.57982681768017,-13.307516927930411,0.03,7.27230988974976,242.41032965832534,1.4153518648158099,0.0007347300484465684,-13.340084034576803,0.03256710664639245
44.0,-21.892734715054942,-14.152878664642532,0.03,7.739856050412411,257.9952016804137,1.506180104254087,0.0009765700169199413,-14.196165392816974,0.04328672817444173
45.0,-23.183094549565123,-15.00677273745945,0.03,8.176321812105671,272.5440604035224,1.5982094971853746,0.001281328247140254,-15.0635679560052,0.05679521854574921
46.0,-24.44350210782511,-15.867173467557992,0.03,8.576328640267118,285.87762134223726,1.6912813191438294,0.0016609540562954755,-15.94079570201063,0.0736222344526401
47.0,-25.671034412641923,-16.732078445221987,0.03,8.93895596741994,297.965198913998,1.7852456599892024,0.0021287460677245486,-16.826435686166807,0.09435724094482247
48.0,-26.869114083595484,-17.599508358348444,0.03,9.26960572524704,308.98685750823466,1.8799614502891988,0.002699361689819708,-17.71915828993272,0.11964993158427718
49.0,-28.047550735151784,-18.46750655394013,0.03,9.580044181211656,319.33480604038857,1.9752963774889443,0.0033888091833358157,-18.617716430766745,0.1502098768266146
50.0,-29.219839113498725,-19.334138536176482,0.5,9.885700577322243,19.771401154644487,2.0711267137546883,0.004214422378029795,-19.520943939505813,0.18680540332932974
51.0,-30.398143944106238,-20.197491561510585,0.5,10.20065238259565,20.4013047651913,2.167337074635728,0.005194818489603574,-20.42775328568706,0.23026172417647378
52.0,-31.587983876191615,-21.055674451429017,0.5,10.532309424762596,21.064618849525193,2.2638201251011965,0.006349839835913249,-21.337132806862993,0.28145835543397774
53.0,-32.785282943173925,-21.906817707685715,0.5,10.878465235488209,21.756930470976418,2.3604762471136858,0.0077004805504482235,-22.248143575390657,0.3413258677049408
54.0,-33.97744650673043,-22.74907398333056,0.5,11.228372523399868,22.456745046799735,2.457213180718104,0.009268799637213998,-23.15991601559453,0.41084203226396815
55.0,-35.147901529178526,-23.580618935846342,0.5,11.567282593332184,23.134565186664368,2.553945648660972,0.011077821902989895,-24.07164636569924,0.49102742985289843
56.0,-36.28160563772687,-24.399652466112638,0.5,11.881953171614231,23.763906343228463,2.650594972808636,0.013151428441271021,-24.98259306246477,0.5829405963521304
57.0,-37.3687325204642,-25.20440032857031,0.5,12.16433219189389,24.32866438378778,2.7470886890974695,0.015514238429585612,-25.892073111985287,0.68767278341498
