T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
13.0,0.10555386774141656,-0.10805908766386323,0.03,-0.21361295540527978,-7.12043184684266,0.007808497523476348,6.55157287361535e-10,1.3964162729009214e-16,-0.10805909795260023,1.0288731651604244e-08,5.3376854558640175e-15
14.0,0.13309041480754097,-0.1492110608371035,0.03,-0.2823014756446445,-9.410049188154815,0.01078219866247762,3.7707269262591464e-09,2.8390390986801334e-15,-0.14921112005352272,5.9216310684719735e-08,1.0851991630098568e-13
15.0,0.14906469638765094,-0.2068440418902824,0.03,-0.35590873827793335,-11.863624609264445,0.014946851484528127,1.712349989460568e-08,3.848404978800176e-14,-0.20684431080289695,2.689111435536099e-07,1.4710209041708755e-12
16.0,0.11030769097369961,-0.28544408470892685,0.03,-0.3957517756826265,-13.19172585608755,0.020626650984253453,6.418269764954261e-08,3.754601495825613e-13,-0.28544509266223533,1.007938956844403e-06,1.4351653003298682e-11
17.0,0.04474672330195559,-0.38980156925370396,0.03,-0.4345482925556596,-14.484943085188652,0.028167825271018673,2.0551110920504396e-07,2.7952287043105586e-12,-0.38980479675142893,3.2273908797528453e-06,1.0684530029012845e-10
18.0,-0.045386038282090646,-0.5248302140826692,0.03,-0.47944417580057846,-15.98147252668595,0.037925600963734034,5.77344029687472e-07,1.6618234080488856e-11,-0.5248392814533213,9.066735433917704e-06,6.352182230682352e-10
19.0,-0.17180920211933742,-0.6953766179228951,0.03,-0.5235674158035577,-17.45224719345192,0.050250510461190966,1.4532665752305767e-06,8.177904649069368e-11,-0.6953994434612494,2.282241241795458e-05,3.1259362664185617e-09
20.0,-0.3406056923499412,-0.9060382181870117,0.03,-0.5654325258370705,-18.847750861235685,0.06547533848548363,3.3331313842633784e-06,3.427964448409563e-10,-0.9060905755058297,5.234421570785616e-05,1.3103109964110882e-08
21.0,-0.5572548031493234,-1.1610035590045167,0.03,-0.6037487558551932,-20.12495852850644,0.08390371351126692,7.060537190066739e-06,1.2526511812356795e-09,-1.1611144870882228,0.00011088020215316856,4.78815530949271e-08
22.0,-0.8269343037943666,-1.4639237015428244,0.03,-0.6369893977484579,-21.232979924948594,0.10580098051999863,1.3966866610862234e-05,4.066700239906091e-09,-1.4641431956812363,0.00021933869216601438,1.554462458304909e-07
