T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
13.0,0.10555386774141656,-0.111379552137069,0.03,-0.2169334198784856,-7.23111399594952,0.00795000438802914,7.285486461510373e-10,1.676253392007244e-16,-0.11137956447772897,1.2340653568574816e-08,6.3961625104729976e-15
14.0,0.13309041480754097,-0.15405347186809884,0.03,-0.2871438866756398,-9.571462889187993,0.010995969886445509,4.155712305336106e-09,3.35641567357167e-15,-0.15405354226051457,7.039228768285218e-08,1.28072403630789e-13
15.0,0.14906469638765094,-0.21379100229303657,0.03,-0.3628556986806875,-12.095189956022917,0.015259908189401527,1.8726367883904387e-08,4.490105786454302e-14,-0.21379131949473354,3.171999836577014e-07,1.7133117484693967e-12
16.0,0.11030769097369961,-0.29520041705912997,0.03,-0.40550810803282955,-13.516936934427653,0.02107077730708745,6.971922123677954e-08,4.330488089848614e-13,-0.29520159802734597,1.1809516919691766e-06,1.6524056389333665e-11
17.0,0.04474672330195559,-0.40318833923207703,0.03,-0.44793506253403265,-14.931168751134422,0.028778878483096786,2.2192160981448092e-07,3.191434944407873e-12,-0.4031920984133494,3.7590594952985248e-06,1.2177715280618442e-10
18.0,-0.045386038282090646,-0.542771872193329,0.03,-0.4973858339112383,-16.579527797041276,0.03874249560984857,6.201905314539039e-07,1.8803914694694813e-11,-0.542782378120801,1.0505209961774126e-05,7.175102212698133e-10
19.0,-0.17180920211933742,-0.7188825241357811,0.03,-0.5470733220164437,-18.235777400548123,0.0513139777698285,1.5538570513886304e-06,9.179531588044882e-11,-0.718908847928351,2.63202898908399e-05,3.5026790154230814e-09
20.0,-0.3406056923499412,-0.9361802385452713,0.03,-0.5955745461953301,-19.85248487317767,0.06682657695253605,3.5489900451924184e-06,3.820206662181182e-10,-0.9362403683347027,6.011521248089819e-05,1.4576950448788037e-08
21.0,-0.5572548031493234,-1.1988915206161395,0.03,-0.6416367174668159,-21.387890582227197,0.08558304102311011,7.489573815092275e-06,1.3869417776360456e-09,-1.1990184370447514,0.00012686350639262852,5.292221954403727e-08
22.0,-0.8269343037943666,-1.5106803467593124,0.03,-0.6837460429649458,-22.791534765498195,0.10784657962441511,1.476523967183946e-05,4.476214191777811e-09,-1.5109306212543996,0.0002501036939808863,1.7080110643661384e-07
23.0,-1.1544019759301651,-1.8745555374162846,0.03,-0.7201535614861194,-24.00511871620398,0.1338344598200204,2.7440004106342174e-05,1.3043219305325333e-08,-1.8750208326062814,0.000464797493462691,4.976965340347482e-07
24.0,-1.5438820451316155,-2.2928142569596894,0.03,-0.7489322118280738,-24.964407060935795,0.16371419912256538,4.843400499915391e-05,3.476028573022836e-08,-2.293635991515718,0.0008204081907102561,1.3263653186394585e-06
