T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
13.0,0.10555386774141656,-0.11137955197040109,0.03,-0.21693341971181765,-7.231113990393921,0.00795000438802914,7.285486461510373e-10,1.6762471997685986e-16,-0.11137956431106072,1.2340653223972594e-08,6.3961389064441464e-15
14.0,0.13309041480754097,-0.15405347163757527,0.03,-0.2871438864451163,-9.571462881503876,0.010995969886445509,4.155712305336106e-09,3.3564062415301814e-15,-0.15405354202998905,7.03922857172076e-08,1.2807204420831705e-13
15.0,0.14906469638765094,-0.2137910019731284,0.03,-0.3628556983607793,-12.09518994535931,0.015259908189401527,1.8726367883904387e-08,4.490096058574805e-14,-0.21379131917481647,3.1719997480016245e-07,1.7133080429835434e-12
16.0,0.11030769097369961,-0.2952004166174237,0.03,-0.4055081075911233,-13.516936919704111,0.02107077730708745,6.971922123677954e-08,4.330480776088974e-13,-0.29520159758560666,1.180951658992108e-06,1.6524028543865615e-11
17.0,0.04474672330195559,-0.40318833862884607,0.03,-0.4479350619308017,-14.931168731026723,0.028778878483096786,2.2192160981448092e-07,3.19143070408369e-12,-0.4031920978100133,3.7590593903299956e-06,1.2177699146300175e-10
18.0,-0.045386038282090646,-0.5427718713814043,0.03,-0.49738583309931356,-16.57952776997712,0.03874249560984857,6.201905314539039e-07,1.880389489245236e-11,-0.542782377308582,1.0505209668425102e-05,7.175094683582719e-10
19.0,-0.17180920211933742,-0.7188825230607446,0.03,-0.5470733209414073,-18.235777364713574,0.0513139777698285,1.5538570513886304e-06,9.179523879835624e-11,-0.7189088468525767,2.632028915586826e-05,3.5026760873071105e-09
20.0,-0.3406056923499412,-0.9361802371459708,0.03,-0.5955745447960296,-19.85248482653432,0.06682657695253605,3.5489900451924184e-06,3.820204092130776e-10,-0.9362403669337137,6.011521080223217e-05,1.4576940696818418e-08
21.0,-0.5572548031493234,-1.1988915188255007,0.03,-0.6416367156761772,-21.38789052253924,0.08558304102311011,7.489573815092275e-06,1.3869410274262761e-09,-1.1990184352505417,0.00012686350285007336,5.2922191116497914e-08
22.0,-0.8269343037943666,-1.5106803445054153,0.03,-0.6837460407110487,-22.79153469036829,0.10784657962441511,1.476523967183946e-05,4.476212240225931e-09,-1.510930618993445,0.00025010368699695406,1.708010326111981e-07
23.0,-1.1544019759301651,-1.874555534623658,0.03,-0.7201535586934928,-24.005118623116427,0.1338344598200204,2.7440004106342174e-05,1.3043214715270115e-08,-1.8750208298005022,0.00046479748048361755,4.976963607572962e-07
24.0,-1.5438820451316155,-2.2928142535507763,0.03,-0.7489322084191605,-24.964406947305353,0.16371419912256538,4.843400499915391e-05,3.4760275852836446e-08,-2.2936359880835244,0.0008204081678010573,1.3263649467199734e-06
25.0,-1.9989624023433001,-2.767018500420052,0.03,-0.7680560980767518,-25.601869935891727,0.19760212250192438,8.170874043629531e-05,8.564477848483587e-08,-2.768405806711929,0.001384038301929486,3.2679899472838555e-06
26.0,-2.522504697236022,-3.2979998009037623,0.03,-0.7754951036677403,-25.849836788924677,0.23556393197374115,0.0001324458274619819,1.968788383920179e-07,-3.300250770948312,0.0022434576418546787,7.5124026949518745e-06
27.0,-3.116569133524793,-3.8858865871148853,0.03,-0.7693174535900922,-25.64391511966974,0.27761688683610525,0.0002072096872574425,4.255422565573812e-07,-3.8894126835650633,0.0035098588249408277,1.6237625237366205e-05
28.0,-3.7823555521281924,-4.530148705574624,0.03,-0.7477931534464314,-24.92643844821438,0.32373319098074765,0.00031408563294462,8.705789315411748e-07,-4.535502121075423,0.005320196392208996,3.321910858929267e-05
29.0,-4.520162148372184,-5.2296538850837635,0.03,-0.7094917367115794,-23.649724557052647,0.3738442137230232,0.00046278637422418373,1.695385086745398e-06,-5.237557567563039,0.007838990836442074,6.469164283307617e-05
30.0,-5.329362933914205,-5.9827316358427485,0.03,-0.6533687019285438,-21.77895673095146,0.42784521829091104,0.0006647217632012968,3.1583566186781342e-06,-5.9941116608145535,0.011259510004489425,0.00012051496731473332
