T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
13.0,0.10555386774141656,-0.33975408629694837,0.03,0.017733714014697356,-1.9158653738036308e-07,-0.445307954038365,-14.8435984679455
14.0,0.13309041480754097,-0.41930874680658037,0.03,0.02214898099969471,-1.893128838804638e-07,-0.5523991616141213,-18.413305387137378
15.0,0.14906469638765094,-0.5095654073401871,0.03,0.027242278015291947,-1.8704948501522228e-07,-0.658630103727838,-21.954336790927933
16.0,0.11030769097369961,-0.6109742451875992,0.03,0.03306203577792829,-1.8479631722964754e-07,-0.7212819361612988,-24.042731205376626
17.0,0.04474672330195559,-0.7239460973695948,0.03,0.03965668500380012,-1.8255335696874875e-07,-0.7686928206715503,-25.62309402238501
18.0,-0.045386038282090646,-0.8488529378611794,0.03,0.04707465640758844,-1.8032058067753504e-07,-0.8034668995790887,-26.782229985969625
19.0,-0.17180920211933742,-0.9860283524505241,0.03,0.055364380696443664,-1.7809796480101543e-07,-0.8142191503311869,-27.140638344372896
20.0,-0.3406056923499412,-1.135768011019791,0.03,0.06457428854665759,-1.7588548578419904e-07,-0.7951623186698499,-26.50541062232833
21.0,-0.5572548031493234,-1.2983301366539064,0.03,0.07475281052729686,-1.7368312007209496e-07,-0.741075333504583,-24.702511116819434
22.0,-0.8269343037943666,-1.473935970170613,0.03,0.08594837688405413,-1.7149084410971234e-07,-0.6470016663762465,-21.56672221254155
23.0,-1.1544019759301651,-1.6627702271730147,0.03,0.09820941699958792,-1.6930863434206025e-07,-0.5083682512428496,-16.94560837476165
24.0,-1.5438820451316155,-1.864981542341362,0.03,0.11158435818508765,-1.6713646721414774e-07,-0.3210994972097464,-10.703316573658213
25.0,-1.9989624023433001,-2.080682892328997,0.03,0.12612162321897627,-1.6497431917098395e-07,-0.0817204899856968,-2.72401633285656
26.0,-2.522504697236022,-2.309951984473187,0.03,0.14186962573290865,-1.62822166657578e-07,0.21255271276283502,7.085090425427834
27.0,-3.116569133524793,-2.552831594018411,0.03,0.15887676217053862,-1.6067998611893897e-07,0.563737539506382,18.7912513168794
28.0,-3.7823555521281924,-2.8093298283646906,0.03,0.1771913986472079,-1.5854775400007595e-07,0.9730257237635018,32.43419079211673
29.0,-4.520162148372184,-3.0794202938107187,0.03,0.19686185066877573,-1.56425446745998e-07,1.440741854561465,48.02472848538217
30.0,-5.329362933914205,-3.3630421391439875,0.03,0.21793635338087552,-1.5431304080171433e-07,1.9663207947702177,65.54402649234059
31.0,-6.208404819558522,-3.6600999518297033,0.03,0.24046301986736243,-1.5221051261223395e-07,2.5483048677288185,84.94349559096062
32.0,-7.154824948830198,-3.9704634867504462,0.03,0.2644897850370196,-1.5011783862256595e-07,3.1843614620797513,106.14538206932505
33.0,-8.165288610226703,-4.293967214368493,0.03,0.2900643328500023,-1.4803499527771944e-07,3.87132139585821,129.044046528607
34.0,-9.235647568070469,-4.630409684393332,0.03,0.31723400503778504,-1.4596195902270356e-07,4.605237883677137,153.50792945590456
35.0,-10.361017643945683,-4.979552711832323,0.03,0.3460456900400127,-1.4389870630252743e-07,5.38146493211336,179.3821644037787
36.0,-11.53587213840112,-5.341120403806755,0.03,0.37654569157983186,-1.4184521356220003e-07,6.194751734594365,206.49172448647883
37.0,-12.754143016313503,-5.714798056802788,0.03,0.4087795770767217,-1.3980145724673052e-07,7.039344959510715,234.6448319836905
