H_m,v0_m_per_s,phi_rad,phi_cycles
0.01,1000.0,-15.575447289479353,-2.478909426987902
0.01,1500.0,-10.38363152631957,-1.6526062846586016
0.01,2000.0,-7.7877236447396765,-1.239454713493951
0.01,2500.0,-6.2301789157917415,-0.9915637707951609
0.01,3000.0,-5.191815763159785,-0.8263031423293008
0.02,1000.0,-62.30178915791741,-9.915637707951609
0.02,1500.0,-41.53452610527828,-6.610425138634406
0.02,2000.0,-31.150894578958706,-4.957818853975804
0.02,2500.0,-24.920715663166966,-3.9662550831806436
0.02,3000.0,-20.76726305263914,-3.305212569317203
0.03,1000.0,-140.17902560531417,-22.310184842891115
0.03,1500.0,-93.45268373687612,-14.873456561927412
0.03,2000.0,-70.08951280265708,-11.155092421445557
0.03,2500.0,-56.07161024212567,-8.924073937156447
0.03,3000.0,-46.72634186843806,-7.436728280963706
0.04,1000.0,-249.20715663166965,-39.662550831806435
0.04,1500.0,-166.13810442111313,-26.441700554537626
0.04,2000.0,-124.60357831583482,-19.831275415903217
0.04,2500.0,-99.68286265266786,-15.865020332722574
0.04,3000.0,-83.06905221055656,-13.220850277268813
0.05,1000.0,-389.38618223698387,-61.97273567469756
0.05,1500.0,-259.59078815798927,-41.31515711646504
0.05,2000.0,-194.69309111849194,-30.98636783734878
0.05,2500.0,-155.75447289479357,-24.789094269879026
0.05,3000.0,-129.79539407899463,-20.65757855823252
