start_offset_ps,n_trials,S,S_err
-3000,535,1.720187,0.156649
-2929,526,1.710642,0.158419
-2859,522,1.711386,0.158932
-2788,512,1.743090,0.159659
-2717,503,1.747695,0.160978
-2646,493,1.747697,0.163112
-2576,481,1.750456,0.165120
-2505,474,1.788921,0.165456
-2434,465,1.809525,0.165962
-2364,448,1.907051,0.166851
-2293,441,1.929321,0.167691
-2222,430,1.979028,0.168225
-2152,419,2.014158,0.169248
-2081,406,2.049151,0.170995
-2010,399,2.089921,0.171399
-1939,393,2.146560,0.170865
-1869,388,2.188262,0.170944
-1798,377,2.251400,0.171283
-1727,368,2.282067,0.171891
-1657,358,2.319361,0.172828
-1586,355,2.325801,0.173368
-1515,346,2.354114,0.174644
-1444,337,2.389904,0.174829
-1374,331,2.436581,0.174720
-1303,329,2.426414,0.175568
-1232,321,2.478746,0.175072
-1162,317,2.488451,0.175075
-1091,311,2.486007,0.176849
-1020,302,2.489901,0.178679
-949,298,2.493710,0.179751
-879,295,2.498782,0.180482
-808,289,2.489236,0.183221
-737,284,2.496906,0.184143
-667,278,2.466016,0.187717
-596,274,2.447907,0.189922
-525,271,2.430339,0.191952
-455,267,2.436979,0.193408
-384,264,2.445797,0.193851
-313,261,2.484439,0.193488
-242,257,2.495943,0.194718
-172,254,2.478952,0.196554
-101,249,2.447839,0.200584
-30,246,2.430692,0.203033
40,244,2.417420,0.204585
111,242,2.403766,0.205850
182,240,2.416569,0.206392
253,235,2.443994,0.207713
323,230,2.408021,0.211538
394,226,2.382414,0.214591
465,221,2.379185,0.217913
535,219,2.429395,0.216663
606,217,2.460359,0.215088
677,215,2.445156,0.216942
747,214,2.435055,0.218325
818,211,2.482117,0.218148
889,211,2.482117,0.218148
960,209,2.465493,0.220563
1030,206,2.476227,0.221326
1101,200,2.458596,0.225748
1172,197,2.473257,0.226952
1242,193,2.440142,0.231295
1313,191,2.417396,0.234291
1384,190,2.407734,0.235503
1455,186,2.356805,0.242180
1525,183,2.369340,0.243864
1596,180,2.339112,0.248077
1667,177,2.316643,0.250261
1737,175,2.303408,0.251870
1808,171,2.297078,0.255678
1879,171,2.297078,0.255678
1949,168,2.272922,0.258719
2020,163,2.302089,0.260834
2091,162,2.335814,0.259409
2162,160,2.306617,0.263302
2232,160,2.306617,0.263302
2303,160,2.306617,0.263302
2374,157,2.338782,0.265006
2444,155,2.310662,0.268794
2515,156,2.321115,0.267527
2586,152,2.335907,0.272070
2657,149,2.310156,0.275411
2727,148,2.365540,0.274473
2798,146,2.347494,0.276665
2869,144,2.379838,0.276307
2939,143,2.369042,0.277700
3010,143,2.369042,0.277700
3081,142,2.357662,0.279183
3152,140,2.340901,0.281490
3222,140,2.340901,0.281490
3293,137,2.363810,0.282847
3364,137,2.363810,0.282847
3434,135,2.343915,0.285547
3505,133,2.325294,0.288142
3576,132,2.312816,0.289911
3646,132,2.312816,0.289911
3717,131,2.362727,0.287287
3788,127,2.310833,0.295000
3859,127,2.310833,0.295000
3929,125,2.356294,0.292769
4000,125,2.356294,0.292769
