start_offset_ps,n_trials_total,S_combined,S_err_combined
-3000,867,1.130434,0.130527
-2929,849,1.104940,0.132029
-2859,834,1.100325,0.133256
-2788,819,1.129319,0.134225
-2717,798,1.184192,0.135393
-2646,783,1.219869,0.136141
-2576,767,1.246469,0.137074
-2505,759,1.247143,0.137767
-2434,738,1.274407,0.139571
-2364,715,1.288560,0.141597
-2293,687,1.320032,0.143908
-2222,661,1.356347,0.146358
-2152,635,1.380065,0.148993
-2081,610,1.436891,0.150922
-2010,587,1.458135,0.154047
-1939,567,1.495613,0.155915
-1869,556,1.503543,0.157394
-1798,538,1.527522,0.159542
-1727,525,1.584806,0.160190
-1657,496,1.629758,0.163571
-1586,483,1.700690,0.164044
-1515,468,1.743767,0.165937
-1444,455,1.871310,0.165118
-1374,446,1.965766,0.164516
-1303,424,2.069836,0.165180
-1232,412,2.106401,0.166462
-1162,400,2.126204,0.167725
-1091,391,2.172386,0.169171
-1020,375,2.233813,0.171262
-949,366,2.256054,0.171528
-879,358,2.289273,0.171851
-808,354,2.348869,0.170202
-737,346,2.365433,0.170546
-667,342,2.348417,0.172189
-596,334,2.352906,0.174284
-525,330,2.332761,0.176393
-455,327,2.335889,0.177277
-384,327,2.357710,0.176830
-313,320,2.319547,0.180502
-242,315,2.317820,0.181810
-172,312,2.331247,0.182383
-101,307,2.333109,0.183043
-30,305,2.320522,0.183968
40,300,2.344279,0.184492
111,295,2.350893,0.184830
182,291,2.349367,0.185960
253,287,2.324415,0.188604
323,285,2.306784,0.190118
394,282,2.367375,0.189374
465,280,2.413961,0.187535
535,279,2.412769,0.187547
606,274,2.355453,0.191637
677,272,2.377118,0.191102
747,264,2.372603,0.194741
818,261,2.387147,0.195421
889,260,2.384248,0.195805
960,247,2.363845,0.202172
1030,244,2.314597,0.205707
1101,239,2.346588,0.205967
1172,234,2.310699,0.210017
1242,232,2.247780,0.212057
1313,232,2.222684,0.212016
1384,230,2.210416,0.213920
1455,229,2.238198,0.212981
1525,223,2.328947,0.208948
1596,222,2.315812,0.209571
1667,218,2.354508,0.210728
1737,217,2.349374,0.211782
1808,213,2.361875,0.213375
1879,212,2.395631,0.212720
1949,204,2.399498,0.217340
2020,200,2.390724,0.220957
2091,200,2.396338,0.220740
2162,199,2.394148,0.220770
2232,199,2.365988,0.221387
2303,201,2.356631,0.220120
2374,196,2.341811,0.224190
2444,196,2.341811,0.224190
2515,195,2.357608,0.224564
2586,190,2.354265,0.225825
2657,189,2.357894,0.227006
2727,188,2.348216,0.228948
2798,190,2.367009,0.226439
2869,187,2.497599,0.216835
2939,183,2.507403,0.217751
3010,180,2.466196,0.221727
3081,179,2.458957,0.223048
3152,174,2.466045,0.227664
3222,173,2.460663,0.228503
3293,171,2.516098,0.228100
3364,169,2.490474,0.231783
3434,167,2.497842,0.233657
3505,165,2.542290,0.229490
3576,164,2.535421,0.230557
3646,164,2.475796,0.232313
3717,165,2.483118,0.230335
3788,161,2.404474,0.244630
3859,159,2.314391,0.251293
3929,159,2.357527,0.252114
4000,159,2.399306,0.249364
