id,parameter_id,parameter_type,channel,metric,value,threshold,operator,pass,gate_level,status,normalized_score,source,note
derivation::covariant_derivative_gauge_covariance,boundary_variation_and_regularization,boundary_condition,derivation,max_rel_error(D_mu P),2.2702936342993408e-13,5e-08,<=,True,hard,pass,4.540587268598681e-06,action_principle_el_derivation_audit,作用原理→EL 導出の境界条件/共変性監査。
derivation::kinetic_density_gauge_invariance,boundary_variation_and_regularization,boundary_condition,derivation,max_rel_error(|D_mu P|^2),1.3428848075580854e-13,5e-08,<=,True,hard,pass,2.6857696151161708e-06,action_principle_el_derivation_audit,作用原理→EL 導出の境界条件/共変性監査。
derivation::noether_current_gauge_invariance,boundary_variation_and_regularization,boundary_condition,derivation,max_rel_error(j_mu),6.967109216209619e-14,5e-08,<=,True,hard,pass,1.3934218432419238e-06,action_principle_el_derivation_audit,作用原理→EL 導出の境界条件/共変性監査。
nonrel::cow_neutron,nonrelativistic_epsilon_order,approximation_order,interference,cow_neutron::epsilon_max,4.450600224214474e-11,1e-06,<=,True,hard,pass,4.450600224214474e-05,nonrelativistic_reduction_schrodinger_mapping_audit,2.6→2.5 の近似順序ゲート（max ε）。
nonrel::atom_gravimeter,nonrelativistic_epsilon_order,approximation_order,interference,atom_gravimeter::epsilon_max,3.07605287934614e-19,1e-06,<=,True,hard,pass,3.0760528793461404e-13,nonrelativistic_reduction_schrodinger_mapping_audit,2.6→2.5 の近似順序ゲート（max ε）。
nonrel::optical_clock_leveling_proxy,nonrelativistic_epsilon_order,approximation_order,interference,optical_clock_leveling_proxy::epsilon_max,4.357004101499244e-14,1e-06,<=,True,hard,pass,4.357004101499244e-08,nonrelativistic_reduction_schrodinger_mapping_audit,2.6→2.5 の近似順序ゲート（max ε）。
born::selection_delay_signature_fast,event_window_boundary_condition,free_coefficient,bell,min_fast_switching_delay_zmax,5.53541064134177,3.0,>=,True,hard,pass,0.5419652116853263,born_route_a_proxy_constraints_pack,fast-switch/time-tag 系で setting依存遅延 z が 3以上。
born::selection_sweep_sensitivity_fast,minimal_coupling_strength_proxy,free_coefficient,bell,min_fast_switching_selection_ratio,19.316744077961687,1.0,>=,True,hard,pass,0.051768558715901386,born_route_a_proxy_constraints_pack,selection sweep の変動幅が統計幅1σ以上（ratio>=1）。
born::phase_alpha_consistency,minimal_coupling_strength_proxy,free_coefficient,interference,atom_recoil_alpha_abs_z,0.5883354744951784,3.0,<=,True,hard,pass,0.19611182483172615,born_route_a_proxy_constraints_pack,位相整合の最小ゲート（abs_z<=3）。
born::phase_molecular_scaling,minimal_coupling_strength_proxy,free_coefficient,interference,molecular_isotopic_scaling_zmax,2.6385399704973964,3.0,<=,True,hard,pass,0.8795133234991321,born_route_a_proxy_constraints_pack,分子スケーリング整合の最小ゲート（z<=3）。
born::visibility_atom_precision_gap,visibility_resolution_budget,free_coefficient,interference,log10_atom_interferometer_current_over_required_ratio,0.3338887327706417,1.0,<=,True,soft,pass,0.3338887327706417,born_route_a_proxy_constraints_pack,可視度差分の決着力監視（log10正規化；1桁以内をwatch閾値）。未達でも即棄却には使わない。
condensed::reject_count,higher_derivative_and_material_effective_terms,boundary_condition,condensed_thermal_holdout,holdout_reject_n,0.0,0.0,<=,True,soft,pass,,quantum_connection_shared_kpi/condensed_holdout_audit_summary,物性/熱 holdout の reject 件数（0 へ収束が pass 条件）。
condensed::inconclusive_count,higher_derivative_and_material_effective_terms,boundary_condition,condensed_thermal_holdout,holdout_inconclusive_n,0.0,0.0,<=,True,soft,pass,,quantum_connection_shared_kpi/condensed_holdout_audit_summary,物性/熱 holdout の inconclusive 件数（0 が望ましい）。
