dataset,molecule,dataset_tag,rank_by_A_desc,upper_v,upper_J,upper_parity,lower_v,lower_J,lower_parity,wavenumber_cm^-1,wavelength_um,frequency_THz,photon_energy_eV,A_s^-1,transition_label,source_cache
ExoMol,H2,RACPPK,1,0,28,,0,26,,2903.822736,3.4437363810212966,87.05441556217252,0.36002813431506253,5.506e-06,"v=0,J=28 → v=0,J=26",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,2,0,27,,0,25,,2931.587453,3.4111211622790365,87.88678083768295,0.36347052049703216,5.503e-06,"v=0,J=27 → v=0,J=25",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,3,0,29,,0,27,,2869.043657,3.4854819917437037,86.01176500413389,0.3557160780830026,5.43e-06,"v=0,J=29 → v=0,J=27",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,4,0,26,,0,24,,2952.202695,3.3873012909772444,88.50481024482742,0.3660264847519085,5.424e-06,"v=0,J=26 → v=0,J=24",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,5,0,30,,0,28,,2827.268848,3.5369823450196343,84.75938773687484,0.35053666187443755,5.275e-06,"v=0,J=30 → v=0,J=28",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,6,0,25,,0,23,,2965.440121,3.3721807192073125,88.90165829264073,0.36766771640383733,5.274e-06,"v=0,J=25 → v=0,J=23",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,7,0,24,,0,22,,2970.994204,3.3658766437633885,89.06816551209134,0.36835633493262393,5.056e-06,"v=0,J=24 → v=0,J=22",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,8,0,31,,0,29,,2778.364537,3.5992397206443325,83.2932733767262,0.3444733000751746,5.04e-06,"v=0,J=31 → v=0,J=29",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,9,0,23,,0,21,,2968.494159,3.3687113615102118,88.99321604852527,0.3680463688572519,4.779e-06,"v=0,J=23 → v=0,J=21",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
ExoMol,H2,RACPPK,10,0,22,,0,20,,2957.513679,3.381218511686214,88.66402953960329,0.3666849628460402,4.451e-06,"v=0,J=22 → v=0,J=20",C:\develop\waveP\data\quantum\sources\exomol_h2_1h2_racppk\extracted_values.json
