key,label,A,Z,N,in_domain,magic_Z,magic_N,doubly_magic,magic_any,A_bin,radii_used,r_charge_fm,sigma_r_charge_fm,R_sharp_fm,sigma_R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,sigma_set_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,C3_frozen_eq19,C3_est_from_radii_eq19,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19
Z1_N1,H-2,2,1,1,0,0,0,0,0,2<=A<16,published,2.1421,0.0088,2.76543920864,0.0113607511489,0.0225761061447,1.1122831,2e-07,4.94144003185,3.82915693185,0,4.94144003185,3.82915693185,2008.63140164,8195.36674078,0.127266509795,0.127266509795,30.0877028687
Z1_N2,H-3,3,1,2,0,0,1,0,1,2<=A<16,published,1.7591,0.0363,2.27098833477,0.0468630984891,0.0611487994966,2.8272654,3e-07,13.18297554,10.35571014,0,13.18297554,10.35571014,2008.63140164,3532.50681393,1.02191446587,1.02191446587,10.1336369
Z2_N1,He-3,3,2,1,0,1,0,0,1,2<=A<16,published,1.9661,0.003,2.53822418566,0.00387298334621,0.0437968334149,2.57268044,1.5e-07,9.32631620857,6.75363576857,0,9.32631620857,6.75363576857,2008.63140164,4617.43240156,0.382023741272,0.382023741272,17.6785760646
Z2_N2,He-4,4,2,2,0,1,1,1,1,2<=A<16,published,1.6755,0.0028,2.16306119886,0.00361478445646,0.094355009151,7.0739156,2e-07,19.2555512042,12.1816356042,0,19.2555512042,12.1816356042,2008.63140164,2513.66175927,1.76088778901,1.76088778901,6.91789430325
Z2_N4,He-6,6,2,4,0,1,0,0,1,2<=A<16,published,2.066,0.0111,2.66719453109,0.014330038381,0.075491588705,4.8785199,8.9e-06,15.4490348226,10.5705149226,0,15.4490348226,10.5705149226,2008.63140164,2959.23768107,1.14027737067,1.14027737067,9.27012601896
Z3_N3,Li-6,6,3,3,0,0,0,0,0,2<=A<16,published,2.589,0.039,3.34238462778,0.0503487835007,0.0383613043365,5.3323312,3e-07,8.96000745857,3.62767625857,0,8.96000745857,3.62767625857,2008.63140164,5345.30630043,0.530675372492,0.530675372492,6.83596120457
Z3_N4,Li-7,7,3,4,0,0,0,0,0,2<=A<16,published,2.444,0.042,3.15519043271,0.0542217668469,0.0532025809974,5.6064401,6e-07,12.3486893238,6.74224922381,0,12.3486893238,6.74224922381,2008.63140164,4063.30292924,0.820249377782,0.820249377782,8.21975536519
Z4_N3,Be-7,7,4,3,0,0,0,0,0,2<=A<16,published,2.646,0.016,3.41597131135,0.0206559111798,0.0419243933203,5.3715487,1.01e-05,9.50736124489,4.13581254489,0,9.50736124489,4.13581254489,2008.63140164,4921.1296992,0.394046231881,0.394046231881,10.4957545848
Z2_N6,He-8,8,2,6,0,1,0,0,1,2<=A<16,published,1.9239,0.0306,2.48374421992,0.0395044301313,0.124646695475,3.924521,1.11e-05,15.9223935134,11.9978725134,0,15.9223935134,11.9978725134,2008.63140164,1866.11130401,3.07925914214,3.07925914214,3.89635037505
Z3_N5,Li-8,8,3,5,0,0,0,0,0,2<=A<16,published,2.339,0.044,3.01963601559,0.0568037557444,0.0693645523456,5.1597124,5.9e-06,15.0244453921,9.86473299213,0,15.0244453921,9.86473299213,2008.63140164,3216.953229,1.15568963282,1.15568963282,8.53579777131
Z3_N6,Li-9,9,3,6,0,0,0,0,0,2<=A<16,published,2.245,0.046,2.89828253741,0.0593857446418,0.0882534597301,5.0377685,2.07e-05,16.9397383224,11.9019698224,0,16.9397383224,11.9019698224,2008.63140164,2590.65834439,1.63774277485,1.63774277485,7.26730107144
Z4_N5,Be-9,9,4,5,0,0,0,0,0,2<=A<16,published,2.519,0.012,3.25201501637,0.0154919333848,0.0624735626877,6.4626693,8.5e-06,14.2475189183,7.78484961832,0,14.2475189183,7.78484961832,2008.63140164,3557.08536538,0.790802757855,0.790802757855,9.84423680999
Z4_N6,Be-10,10,4,6,0,0,0,0,0,2<=A<16,published,2.355,0.017,3.04029192677,0.0219469056285,0.0849504202914,6.4976306,8.1e-06,17.4803035436,10.9826729436,0,17.4803035436,10.9826729436,2008.63140164,2721.75445551,1.44419363631,1.44419363631,7.6047094153
Z5_N5,B-10,10,5,5,0,0,0,0,0,2<=A<16,published,2.4277,0.0499,3.1341472232,0.0644206229919,0.0775448948318,6.4750835,1.5e-06,16.8234897702,10.3484062702,0,16.8234897702,10.3484062702,2008.63140164,2966.92844648,1.3851490383,1.3851490383,7.47096953757
Z3_N8,Li-11,11,3,8,0,0,1,0,1,2<=A<16,published,2.482,0.043,3.20424822176,0.0555127612956,0.0798225541102,4.1553817,5.59e-05,14.653668961,10.498287261,0,14.653668961,10.498287261,2008.63140164,2750.27551304,1.35219610485,1.35219610485,7.76387923565
Z4_N7,Be-11,11,4,7,0,0,0,0,0,2<=A<16,published,2.463,0.015,3.17971932724,0.019364916731,0.081684135282,5.9525402,2.16e-05,16.6175232793,10.6649830793,0,16.6175232793,10.6649830793,2008.63140164,2790.67111243,1.33298001127,1.33298001127,8.00085746912
Z5_N6,B-11,11,5,6,0,0,0,0,0,2<=A<16,published,2.406,0.0294,3.10613264366,0.0379552367928,0.0876282386639,6.9277323,1.1e-06,18.1051550189,11.1774227189,0,18.1051550189,11.1774227189,2008.63140164,2667.70299097,1.56294371283,1.56294371283,7.15151967867
Z4_N8,Be-12,12,4,8,0,0,1,0,1,2<=A<16,preliminary,2.503,0.015,3.23135910519,0.019364916731,0.0849057228055,5.7207223,0.000159,16.506503429,10.785781129,0,16.506503429,10.785781129,2008.63140164,2675.63944973,1.43583584713,1.43583584713,7.51184834293
Z6_N6,C-12,12,6,6,0,0,0,0,0,2<=A<16,published,2.4702,0.0022,3.18901448727,0.00284018778722,0.0883330365724,7.6801446,2e-07,18.1392481664,10.4591035664,0,18.1392481664,10.4591035664,2008.63140164,2651.11277158,1.54301860876,1.54301860876,6.77833922872
Z6_N7,C-13,13,6,7,0,0,0,0,0,2<=A<16,published,2.4614,0.0034,3.17765373612,0.0043893811257,0.0967241740338,7.4698495,2e-07,18.9516233043,11.4817738043,0,18.9516233043,11.4817738043,2008.63140164,2449.07871504,1.85013510199,1.85013510199,6.20591101265
Z6_N8,C-14,14,6,8,0,0,1,0,1,2<=A<16,published,2.5025,0.0087,3.23071360796,0.011231651704,0.0991160631016,7.5203198,4e-07,18.9705284452,11.4502086452,0,18.9705284452,11.4502086452,2008.63140164,2390.63039868,1.94401589229,1.94401589229,5.88997687239
Z7_N7,N-14,14,7,7,0,0,0,0,0,2<=A<16,published,2.5582,0.007,3.30262199876,0.00903696114115,0.0927818052171,7.4756148,2e-07,18.5152617732,11.0396469732,0,18.5152617732,11.0396469732,2008.63140164,2539.24168165,1.70375092106,1.70375092106,6.47961320914
Z7_N8,N-15,15,7,8,0,0,1,0,1,2<=A<16,published,2.6058,0.008,3.36407333452,0.0103279555899,0.0940602840858,7.6994603,2e-07,18.6382832736,10.9388229736,0,18.6382832736,10.9388229736,2008.63140164,2508.03889527,1.75122306392,1.75122306392,6.24639042217
Z8_N8,O-16,16,8,8,1,1,1,1,1,16<=A<40,published,2.6991,0.0052,3.48452311658,0.00671317113343,0.0902820315933,7.9762072,2e-07,18.1686586872,10.1924514872,0,18.1686586872,10.1924514872,2008.63140164,2597.92876436,1.61257380661,1.61257380661,6.320610843
