key,label,A,Z,N,r_charge_fm,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,C3_frozen_eq19,C3_est_from_radii_eq19,dEbase_dR_eq19_MeV_per_fm,T_kin_eq19_MeV_per_A,U_H_eq19_MeV_per_A,U_F_eq19_MeV_per_A,E_coul_eq19_MeV_per_A,E_3body_eq19_MeV_per_A,B_over_A_pred_eq19_MeV,residual_eq19_MeV
d,d (H-2),2,1,1,2.1421,2.76543920864,0.0225761061447,1.1122831,2008.63140164,8195.36674078,9.06261652997,5.99183365922,-14.8770840727,2.92004998664,0,1.02376039501,4.94144003185,3.82915693185
t,t (H-3),3,1,2,1.7591,2.27098833477,0.0611487994966,2.8272654,2008.63140164,3532.50681393,34.8975730928,12.3643933378,-40.2067674318,7.14877286718,0,7.51062568682,13.18297554,10.35571014
h,h (He-3),3,2,1,1.9661,2.53822418566,0.0437968334149,2.57268044,2008.63140164,4617.43240156,20.9366523337,9.8978909184,-28.7974434472,5.49342994201,0.226924711873,3.8528816663,9.32631620857,6.75363576857
alpha,alpha (He-4),4,2,2,1.6755,2.16306119886,0.094355009151,7.0739156,2008.63140164,2513.66175927,62.0753538391,15.546657471,-62.1775692771,9.29306884036,0.199712030445,17.8825797311,19.2555512042,12.1816356042
li6,Li-6,6,3,3,2.589,3.34238462778,0.0383613043365,5.3323312,2008.63140164,5345.30630043,14.1206325653,8.53210057754,-25.2791312237,4.57265026425,0.258491701051,2.95588122228,8.96000745857,3.62767625857
c12,C-12,12,6,6,2.4702,3.18901448727,0.0883330365724,7.6801446,2008.63140164,2651.11277158,38.9196817601,14.877929492,-58.2092413573,8.8419560106,0.677308531719,15.6727991566,18.1392481664,10.4591035664
o16,O-16,16,8,8,2.6991,3.48452311658,0.0902820315933,7.9762072,2008.63140164,2597.92876436,36.4617732151,15.0959786051,-59.4935798786,8.98908276816,0.867816142074,16.3720436761,18.1686586872,10.1924514872
ca40,Ca-40,40,20,20,3.4776,4.48956229492,0.105525975625,8.5513046,2008.63140164,2255.97447753,33.573775536,16.7507133522,-69.5389542009,10.1043993971,1.82819548919,22.3675800347,18.4880659277,9.93676132772
fe56,Fe-56,56,26,30,3.7377,4.82534995104,0.118990686911,8.7903563,2008.63140164,2028.01434733,35.7042077965,18.1983433602,-78.4039291226,11.0776896113,2.07825839761,28.4397772907,18.6098604629,9.81950416287
ni62,Ni-62,62,28,34,3.8399,4.9572895837,0.121498303084,8.7945555,2008.63140164,1989.24845594,35.5415542233,18.4967340132,-80.0494519703,11.2777949937,2.1251463647,29.6510906542,18.4986859445,9.70413044451
pb208,Pb-208,208,82,126,5.5012,7.10201866139,0.138621086434,7.867453,2008.63140164,1744.88543899,28.3266330285,20.5918604555,-91.2667715322,12.6794531864,3.88469348219,38.5974705443,15.5132938639,7.64584086391
