key,label,A,Z,N,in_domain,magic_any,A_bin,radii_used,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,sigma_set_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,C3_inf_eq19,C_surf_eq19_MeV_fm,x_eq19_fm5,C3_eff_eq19,E3_vol_eq19_MeV,E3_surf_equiv_eq19_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19,pass_3sigma_eq19
Z1_N1,H-2,2,1,1,0,0,2<=A<16,published,2.76543920864,0.0225761061447,1.1122831,2e-07,0,-6.61739339636,-7.72967649636,1551.70342727,195.655721197,118.246026829,24687.2150852,0.790873085198,11.791720738,-6.61739339636,-7.72967649636,0.0389149882949,0.0389149882949,-198.629803966,0
Z1_N2,H-3,3,1,2,0,1,2<=A<16,published,2.27098833477,0.0611487994966,2.8272654,3e-07,0,0.532436691913,-2.29482870809,1551.70342727,195.655721197,19.6271831848,5391.87410836,5.8020917176,14.3590728173,0.532436691913,-2.29482870809,0.63307955394,0.63307955394,-3.62486624912,0
Z2_N1,He-3,3,2,1,0,1,2<=A<16,published,2.53822418566,0.0437968334149,2.57268044,1.5e-07,0,-2.64450559182,-5.21718603182,1551.70342727,195.655721197,34.2320847584,8249.40665875,2.97641950712,12.8472839596,-2.64450559182,-5.21718603182,0.0724462122215,0.0724462122215,-72.0146143164,0
Z2_N2,He-4,4,2,2,0,1,2<=A<16,published,2.16306119886,0.094355009151,7.0739156,2e-07,0,8.24799382798,1.17407822798,1551.70342727,195.655721197,8.65466018452,3245.03720738,13.8146104031,15.0755267042,8.24799382798,1.17407822798,0.302485546604,0.302485546604,3.88143579475,0
Z2_N4,He-6,6,2,4,0,1,2<=A<16,published,2.66719453109,0.075491588705,4.8785199,8.9e-06,0,5.82699575807,0.948475858067,1551.70342727,195.655721197,10.964704387,3697.01057183,8.84312674392,12.2260624361,5.82699575807,0.948475858067,0.27054134212,0.27054134212,3.50584443263,0
Z3_N3,Li-6,6,3,3,0,0,2<=A<16,published,3.34238462778,0.0383613043365,5.3323312,3e-07,0,-0.12387598737,-5.45620718737,1551.70342727,195.655721197,33.8848520446,8181.46859171,2.28347073508,9.75629393314,-0.12387598737,-5.45620718737,0.360944043995,0.360944043995,-15.1164904316,0
Z3_N4,Li-7,7,3,4,0,0,2<=A<16,published,3.15519043271,0.0532025809974,5.6064401,6e-07,0,3.30690584523,-2.29953425477,1551.70342727,195.655721197,18.6619821669,5203.02700709,4.3921192442,10.3351247925,3.30690584523,-2.29953425477,0.56334458673,0.56334458673,-4.08193192753,0
Z4_N3,Be-7,7,4,3,0,0,2<=A<16,published,3.41597131135,0.0419243933203,5.3715487,1.01e-05,0,0.764358535913,-4.60719016409,1551.70342727,195.655721197,27.7588174909,6982.87488304,2.72735890771,9.54612433595,0.764358535913,-4.60719016409,0.167680817845,0.167680817845,-27.4759523678,0
Z2_N6,He-8,8,2,6,0,1,2<=A<16,published,2.48374421992,0.124646695475,3.924521,1.11e-05,0,9.89250732,5.96798632,1551.70342727,195.655721197,4.31897153207,2396.7349172,24.1085037804,13.1290841483,9.89250732,5.96798632,0.577645640289,0.577645640289,10.3315699172,0
Z3_N5,Li-8,8,3,5,0,0,2<=A<16,published,3.01963601559,0.0693645523456,5.1597124,5.9e-06,0,6.4238487748,1.2641363748,1551.70342727,195.655721197,11.4714674544,3796.16166524,7.46592967926,10.7990786631,6.4238487748,1.2641363748,0.719243236703,0.719243236703,1.75759230019,1
