key,label,A,Z,N,r_charge_fm,sigma_r_charge_fm,R_sharp_fm,sigma_R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,sigma_total_eq19_MeV,sigma_radii_eq19_MeV,sigma_C3_eq19_MeV,z_eq19
d,d (H-2),2,1,1,2.1421,0.0088,2.76543920864,0.0113607511489,0.0225761061447,1.1122831,2e-07,4.94144003185,3.82915693185,0.127266653632,0.0777237588767,0.100776080658,30.0876688635
t,t (H-3),3,1,2,1.7591,0.0363,2.27098833477,0.0468630984891,0.0611487994966,2.8272654,3e-07,13.18297554,10.35571014,1.02192045766,0.705492951188,0.739324771395,10.1335774839
h,h (He-3),3,2,1,1.9661,0.003,2.53822418566,0.00387298334621,0.0437968334149,2.57268044,1.5e-07,9.32631620857,6.75363576857,0.382023780754,0.0458134794602,0.379266784943,17.6785742376
alpha,alpha (He-4),4,2,2,1.6755,0.0028,2.16306119886,0.00361478445646,0.094355009151,7.0739156,2e-07,19.2555512042,12.1816356042,1.76088783185,0.0450829427293,1.76031062163,6.91789413493
li6,Li-6,6,3,3,2.589,0.039,3.34238462778,0.0503487835007,0.0383613043365,5.3323312,3e-07,8.96000745857,3.62767625857,0.530677457765,0.443797071301,0.290968595701,6.83593434296
c12,C-12,12,6,6,2.4702,0.0022,3.18901448727,0.00284018778722,0.0883330365724,7.6801446,2e-07,18.1392481664,10.4591035664,1.54301862233,0.0267885170728,1.5427860656,6.77833916911
o16,O-16,16,8,8,2.6991,0.0052,3.48452311658,0.00671317113343,0.0902820315933,7.9762072,2e-07,18.1686586872,10.1924514872,1.61257386743,0.0555229794495,1.61161772039,6.32061060463
ca40,Ca-40,40,20,20,3.4776,0.0019,4.48956229492,0.0024528894526,0.105525975625,8.5513046,6e-07,18.4880659277,9.93676132772,2.20181989222,0.009029084834,2.20180137919,4.51297645317
fe56,Fe-56,56,26,30,3.7377,0.0016,4.82534995104,0.00206559111798,0.118990686911,8.7903563,4.8e-06,18.6098604629,9.81950416287,2.79953140886,0.000704875660902,2.79953132012,3.50755277536
ni62,Ni-62,62,28,34,3.8399,0.0021,4.9572895837,0.00271108834235,0.121498303084,8.7945555,6.9e-06,18.4986859445,9.70413044451,2.91876973608,0.00093888161404,2.91876958507,3.32473313141
pb208,Pb-208,208,82,126,5.5012,0.0013,7.10201866139,0.00167829278336,0.138621086434,7.867453,5.5e-06,15.5132938639,7.64584086391,3.79943273892,0.00718590688359,3.79942594352,2.01236378936
