key,label,A,Z,N,r_charge_fm,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,kf_eq19_fm^-1,T_kin_eq19_MeV_per_A,U_pot_eq19_MeV_per_A,B_over_A_pred_eq19_MeV,residual_eq19_MeV
d,d (H-2),2,1,1,2.1421,2.76543920864,0.0225761061447,1.1122831,0.693979562698,5.99183365922,-8.66699123218,2.67515757296,1.56287447296
t,t (H-3),3,1,2,1.7591,2.27098833477,0.0611487994966,2.8272654,0.967370812833,11.6426635184,-20.0519482325,8.40928471407,5.58201931407
h,h (He-3),3,2,1,1.9661,2.53822418566,0.0437968334149,2.57268044,0.865521589367,9.32013487086,-15.7784742351,6.45833936424,3.88565892424
alpha,alpha (He-4),4,2,2,1.6755,2.16306119886,0.094355009151,7.0739156,1.11785460915,15.546657471,-29.5580354549,14.0113779839,6.93746238386
li6,Li-6,6,3,3,2.589,3.34238462778,0.0383613043365,5.3323312,0.828122891651,8.53210057754,-16.5579737285,8.02587315094,2.69354195094
c12,C-12,12,6,6,2.4702,3.18901448727,0.0883330365724,7.6801446,1.09354851427,14.877929492,-37.1349095172,22.2569800252,14.5768354252
o16,O-16,16,8,8,2.6991,3.48452311658,0.0902820315933,7.9762072,1.10153282298,15.0959786051,-39.8380928803,24.7421142753,16.7659070753
ca40,Ca-40,40,20,20,3.4776,4.48956229492,0.105525975625,8.5513046,1.16033518113,16.7507133522,-52.0591450263,35.3084316741,26.7571270741
fe56,Fe-56,56,26,30,3.7377,4.82534995104,0.118990686911,8.7903563,1.2077248212,18.1468968451,-60.2328701872,42.085973342,33.295617042
ni62,Ni-62,62,28,34,3.8399,4.9572895837,0.121498303084,8.7945555,1.21614979874,18.4009621077,-62.0616484942,43.6606863865,34.8661308865
pb208,Pb-208,208,82,126,5.5012,7.10201866139,0.138621086434,7.867453,1.27078896296,20.0915413235,-77.9638022721,57.8722609486,50.0048079486
