Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
1,1,2,H,light_A_le_40,2.224566,4e-07,5.608795,-1.276963,5.608795,1.276963,1.8695983,0.42565433,0.84043277,0.19134262,1,1,2.139497e-07,9.3972966e-07
1,2,3,H,light_A_le_40,8.481796,9e-07,13.338359,-3.259426,13.338359,3.259426,4.4461197,1.0864753,0.52419553,0.12809496,1,1,2.024237e-07,8.2836671e-07
2,1,3,He,light_A_le_40,7.718041,4.5e-07,11.341499,-2.983301,11.341499,2.983301,3.7804997,0.99443367,0.48982631,0.12884534,1,1,1.1903188e-07,4.5251887e-07
1,3,4,H,light_A_le_40,6.881796,0.1,46.070488,-0.753320,46.070488,0.753320,15.356829,0.25110667,2.2315146,0.036488535,1,1,0.0065117608,0.39823714
2,2,4,He,light_A_le_40,28.295662,8e-07,7.076450,-0.717547,7.076450,0.717547,2.3588167,0.23918233,0.083363189,0.0084529682,1,1,3.3915311e-07,3.3447286e-06
3,1,4,Li,light_A_le_40,4.615041,0.212132,48.757897,-0.753321,48.757897,0.753321,16.252632,0.251107,3.5216657,0.054410565,1,1,0.013052163,0.84478728
1,4,5,H,light_A_le_40,6.681796,0.0894425,59.616631,0.885376,59.616631,0.885376,19.87221,0.29512533,2.9740822,0.044168564,1,1,0.0045008833,0.30306615
2,3,5,He,light_A_le_40,27.560662,0.02,22.528227,0.885382,22.528227,0.885382,7.509409,0.29512733,0.27246838,0.010708282,1,1,0.0026633254,0.067767359
3,2,5,Li,light_A_le_40,26.330662,0.05,24.191396,0.885369,24.191396,0.885369,8.0637987,0.295123,0.30625126,0.011208339,1,1,0.0062005516,0.16942089
4,1,5,Be,light_A_le_40,0.090000,2.005,64.606181,0.885382,64.606181,0.885382,21.535394,0.29512733,239.28215,3.2791926,1,0,0.093102547,6.7936778
1,5,6,H,light_A_le_40,5.769837,0.254127,84.429466,3.670816,84.429466,3.670816,28.143155,1.2236053,4.8776344,0.21206931,1,1,0.0090297977,0.20768706
2,4,6,He,light_A_le_40,29.271119,5.34e-05,16.097768,4.060751,16.097768,4.060751,5.3659227,1.3535837,0.18331799,0.046242976,1,1,9.9516902e-06,3.9450831e-05
3,3,6,Li,light_A_le_40,31.993987,1.8e-06,-2.755410,3.886462,2.755410,3.886462,0.91847,1.2954873,0.028707582,0.040491588,1,1,1.9597809e-06,1.3894385e-06
4,2,6,Be,light_A_le_40,26.923487,0.005448,32.596381,3.670822,32.596381,3.670822,10.86546,1.2236073,0.4035681,0.04544758,1,1,0.00050140536,0.0044524088
1,6,7,H,light_A_le_40,6.580000,1.001,100.651270,7.322774,100.651270,7.322774,33.550423,2.4409247,5.0988485,0.3709612,1,1,0.029835689,0.41009049
2,5,7,He,light_A_le_40,28.861405,0.0075593,47.223201,7.322772,47.223201,7.322772,15.741067,2.440924,0.54540197,0.084573985,1,1,0.00048022793,0.003096901
3,4,7,Li,light_A_le_40,39.245081,4.2e-06,-1.744006,7.381605,1.744006,7.381605,0.58133533,2.460535,0.014812948,0.062696648,1,1,7.2247458e-06,1.7069458e-06
4,3,7,Be,light_A_le_40,37.600841,7.07e-05,-4.948971,7.062569,4.948971,7.062569,1.649657,2.3541897,0.043872875,0.062610027,1,1,4.2857394e-05,3.0031565e-05
5,2,7,B,light_A_le_40,24.910939,0.0251503,53.913462,7.322776,53.913462,7.322776,17.971154,2.4409253,0.72141618,0.097986085,1,1,0.0013994816,0.010303593
2,6,8,He,light_A_le_40,31.396168,8.88e-05,58.026684,11.692967,58.026684,11.692967,19.342228,3.8976557,0.61606971,0.12414431,1,1,4.5909913e-06,2.2782926e-05
