rank,channel,Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
1,P_minus_SEMF,118,177,295,Og,heavy_A_ge_121,2087.420000,0.59,472.662184,2532.918937,472.662184,2532.918937,157.55406,844.30631,0.075477892,0.40447361,1,1,0.0037447464,0.00069879852
2,P_minus_SEMF,118,176,294,Og,heavy_A_ge_121,2081.226000,0.588,470.436254,2524.054520,470.436254,2524.054520,156.81208,841.35151,0.075346015,0.40425764,1,1,0.003749711,0.00069887555
3,P_minus_SEMF,118,175,293,Og,heavy_A_ge_121,2073.854000,0.586,469.621283,2515.186984,469.621283,2515.186984,156.54043,838.39566,0.075482858,0.40426938,1,1,0.0037434419,0.000698954
4,P_minus_SEMF,117,177,294,Ts,heavy_A_ge_121,2085.048000,0.588,465.743979,2524.054598,465.743979,2524.054598,155.24799,841.35153,0.074457755,0.40351663,1,1,0.0037874886,0.00069887553
5,P_minus_SEMF,117,176,293,Ts,heavy_A_ge_121,2078.835000,0.879,463.337625,2515.186793,463.337625,2515.186793,154.44588,838.3956,0.074294437,0.40330069,1,1,0.0056913142,0.0010484311
6,P_minus_SEMF,117,175,292,Ts,heavy_A_ge_121,2071.740000,0.584,462.347065,2506.319257,462.347065,2506.319257,154.11569,835.43975,0.074389493,0.40325512,1,1,0.0037893611,0.00069903305
7,P_minus_SEMF,117,174,291,Ts,heavy_A_ge_121,2065.518000,0.582,460.158106,2497.451489,460.158106,2497.451489,153.38604,832.48383,0.074260324,0.40303877,1,1,0.003794348,0.00069911268
8,P_minus_SEMF,116,177,293,Lv,heavy_A_ge_121,2083.523000,0.586,457.915604,2515.187044,457.915604,2515.187044,152.63853,838.39568,0.073259827,0.40239329,1,1,0.0038391354,0.00069895398
9,P_minus_SEMF,116,176,292,Lv,heavy_A_ge_121,2077.872000,0.876,455.329608,2506.319085,455.329608,2506.319085,151.77654,835.4397,0.073044218,0.40206504,1,1,0.0057716431,0.0010485497
10,P_minus_SEMF,116,175,291,Lv,heavy_A_ge_121,2070.756000,0.582,454.160440,2497.450984,454.160440,2497.450984,151.38681,832.48366,0.073107026,0.4020192,1,1,0.0038444564,0.00069911282
11,P_minus_SEMF,115,177,292,Mc,heavy_A_ge_121,2080.208000,0.584,451.792926,2506.318991,451.792926,2506.318991,150.59764,835.43966,0.072395473,0.40161352,1,1,0.0038778828,0.00069903313
12,P_minus_SEMF,116,174,290,Lv,heavy_A_ge_121,2064.800000,0.58,451.790247,2488.583069,451.790247,2488.583069,150.59675,829.52769,0.072935272,0.40174723,1,1,0.0038513448,0.00069919306
13,P_minus_SEMF,116,173,289,Lv,heavy_A_ge_121,2057.391000,0.578,450.841890,2479.713275,450.841890,2479.713275,150.28063,826.57109,0.073044273,0.40175693,1,1,0.0038461377,0.00069927439
14,P_minus_SEMF,115,176,291,Mc,heavy_A_ge_121,2074.539000,0.873,449.030669,2497.452243,449.030669,2497.452243,149.67689,832.48408,0.07214947,0.4012863,1,1,0.0058325637,0.0010486687
15,P_minus_SEMF,115,175,290,Mc,heavy_A_ge_121,2067.990000,0.58,447.683929,2488.582584,447.683929,2488.582584,149.22798,829.52753,0.072160879,0.40112744,1,1,0.0038866707,0.00069919319
