Z,N,A,symbol,parity,B_obs_MeV,ratio_global_R,ratio_local_d,log10_ratio_global_R,log10_ratio_local_d,ratio_global_R_norm,ratio_local_d_norm,z_norm_global_R,z_norm_local_d,pass_norm_global_R_abs_z_le_3,pass_norm_local_d_abs_z_le_3
1,1,2,H,oo,2.224566,1.000000,0.425972,0.000000,-0.370619,15.605169,0.297658,3.222,-19.037,0,0
2,2,4,He,ee,28.295662,1.082675,1.057316,0.034498,0.024205,16.895324,0.738825,3.315,-4.755,0,0
6,6,12,C,ee,92.161735,0.589913,1.149869,-0.229212,0.060648,9.205686,0.803499,2.603,-3.437,1,0
8,8,16,O,ee,127.619315,0.471353,1.145462,-0.326653,0.058981,7.355547,0.800419,2.340,-3.497,1,0
20,20,40,Ca,ee,342.052184,0.224604,1.203590,-0.648583,0.080479,3.504982,0.841038,1.471,-2.720,1,1
26,30,56,Fe,ee,492.259953,0.173567,1.250780,-0.760534,0.097181,2.708537,0.874013,1.168,-2.115,1,1
28,28,56,Ni,ee,483.995742,0.193749,1.323015,-0.712760,0.121565,3.023490,0.924489,1.297,-1.233,1,1
50,70,120,Sn,ee,1020.538560,0.078610,1.372007,-1.104525,0.137356,1.226715,0.958723,0.240,-0.662,1,1
82,126,208,Pb,ee,1636.430224,0.039267,1.520823,-1.405973,0.182079,0.612767,1.062712,-0.574,0.955,1,1
92,146,238,U,ee,1801.690036,0.029504,1.543221,-1.530116,0.188428,0.460419,1.078363,-0.909,1.185,1,1
