key,label,Z,N,A,method,C,B_obs_MeV,sigma_B_obs_MeV,r_rms_fm,sigma_r_rms_fm,R_model_fm,sigma_R_model_fm,R_model_kind,L_fm,J_E_MeV,sigma_J_E_from_R_model_MeV,B_pred_MeV,sigma_B_pred_from_R_model_MeV,ratio_B_pred_over_obs,Delta_B_pred_minus_obs_MeV
d,d (H-2),1,1,2,collective,1,2.2245662,4e-07,2.1421,0.0088,4.3176743636,0,tail_scale,1.41381693065,1.11228317099,0,2.22456634199,0,1.00000006383,1.41989419777e-07
d,d (H-2),1,1,2,pn_only,1,2.2245662,4e-07,2.1421,0.0088,4.3176743636,0,tail_scale,1.41381693065,1.11228317099,0,2.22456634199,0,1.00000006383,1.41989419777e-07
d,d (H-2),1,1,2,pairwise_all,1,2.2245662,4e-07,2.1421,0.0088,4.3176743636,0,tail_scale,1.41381693065,1.11228317099,0,2.22456634199,0,1.00000006383,1.41989419777e-07
alpha,alpha (He-4),2,2,4,collective,3,28.2956624,8e-07,1.6755,0.0028,2.16306119886,0.00361478445646,uniform_sphere_radius,1.41381693065,5.10583399756,0.013054370033,30.6350039853,0.0783262201978,1.08267491859,2.33934158533
alpha,alpha (He-4),2,2,4,pn_only,4,28.2956624,8e-07,1.6755,0.0028,2.16306119886,0.00361478445646,uniform_sphere_radius,1.41381693065,5.10583399756,0.013054370033,40.8466719804,0.104434960264,1.44356655812,12.5510095804
alpha,alpha (He-4),2,2,4,pairwise_all,6,28.2956624,8e-07,1.6755,0.0028,2.16306119886,0.00361478445646,uniform_sphere_radius,1.41381693065,5.10583399756,0.013054370033,61.2700079707,0.156652440396,2.16534983718,32.9743455707
c12,C-12,6,6,12,collective,11,92.1617352,2.4e-06,2.4702,0.0022,3.18901448727,0.00284018778722,uniform_sphere_radius,1.41381693065,2.47124422775,0.00496443176107,54.3673730104,0.109217498744,0.589912645334,-37.7943621896
c12,C-12,6,6,12,pn_only,36,92.1617352,2.4e-06,2.4702,0.0022,3.18901448727,0.00284018778722,uniform_sphere_radius,1.41381693065,2.47124422775,0.00496443176107,177.929584398,0.357439086797,1.93062320291,85.7678491977
c12,C-12,6,6,12,pairwise_all,66,92.1617352,2.4e-06,2.4702,0.0022,3.18901448727,0.00284018778722,uniform_sphere_radius,1.41381693065,2.47124422775,0.00496443176107,326.204238063,0.655304992461,3.53947587201,234.042502863
o16,O-16,8,8,16,collective,15,127.6193152,3.2e-06,2.6991,0.0052,3.48452311658,0.00671317113343,uniform_sphere_radius,1.41381693065,2.00512616419,0.00952086143011,60.1537849256,0.285625842903,0.471353296571,-67.4655302744
o16,O-16,8,8,16,pn_only,64,127.6193152,3.2e-06,2.6991,0.0052,3.48452311658,0.00671317113343,uniform_sphere_radius,1.41381693065,2.00512616419,0.00952086143011,256.656149016,1.21867026305,2.0111073987,129.036833816
o16,O-16,8,8,16,pairwise_all,120,127.6193152,3.2e-06,2.6991,0.0052,3.48452311658,0.00671317113343,uniform_sphere_radius,1.41381693065,2.00512616419,0.00952086143011,481.230279405,2.28500674323,3.77082637257,353.610964205
