key,label,A,Z,N,binding_energy_MeV,binding_energy_sigma_MeV,binding_energy_per_nucleon_MeV,binding_energy_per_nucleon_sigma_MeV,charge_radius_fm,charge_radius_sigma_fm
d,d (H-2),2,1,1,2.2245662,4e-07,1.1122831,2e-07,2.1421,0.0088
t,t (H-3),3,1,2,8.4817962,9e-07,2.8272654,3e-07,1.7591,0.0363
h,h (He-3),3,2,1,7.71804132,4.5e-07,2.57268044,1.5e-07,1.9661,0.003
alpha,alpha (He-4),4,2,2,28.2956624,8e-07,7.0739156,2e-07,1.6755,0.0028
li6,Li-6,6,3,3,31.9939872,1.8e-06,5.3323312,3e-07,2.589,0.039
c12,C-12,12,6,6,92.1617352,2.4e-06,7.6801446,2e-07,2.4702,0.0022
o16,O-16,16,8,8,127.6193152,3.2e-06,7.9762072,2e-07,2.6991,0.0052
ca40,Ca-40,40,20,20,342.052184,2.4e-05,8.5513046,6e-07,3.4776,0.0019
fe56,Fe-56,56,26,30,492.2599528,0.0002688,8.7903563,4.8e-06,3.7377,0.0016
ni62,Ni-62,62,28,34,545.262441,0.0004278,8.7945555,6.9e-06,3.8399,0.0021
pb208,Pb-208,208,82,126,1636.430224,0.001144,7.867453,5.5e-06,5.5012,0.0013
