Z,N,A,symbol,parity,is_magic_any,A13,I_asym,radius_rms_obs_fm,sigma_radius_rms_obs_fm,weight,radius_source_merge,n_iaea_measurements,J_from_obs_radius_MeV,J_stored_MeV,J_rel_diff,B_obs_MeV,C_required,radius_pred_a13_fm,radius_pred_a13_i_fm,resid_radius_a13_fm,resid_radius_a13_i_fm,A_band,neutron_skin_proxy_fm,B_pred_from_radius_a13_MeV,B_pred_from_radius_a13_i_MeV,resid_B_from_radius_a13_MeV,resid_B_from_radius_a13_i_MeV
1,1,2,H,oo,False,1.2599210498948732,0.0,2.1421,0.0088,12913.223140495867,main,1,3.334486641255033,1.11228317099471,1.9978756563160225,2.2245662000000004,0.9999999361720903,1.2003632388207288,1.2643256556284392,0.9417367611792713,0.8777743443715609,A_2_16,0.0,15.758677111743935,14.864641362890689,13.534110911743936,12.640075162890689
1,2,3,H,oe,True,1.4422495703074083,0.3333333333333333,1.7591,0.0363,758.9038392945231,main,1,4.730573240683093,4.730573240683093,0.0,8.481796200000002,0.8964871452635235,1.3740728957155346,0.8653570383505378,0.3850271042844655,0.8937429616494623,A_2_16,0.5819345468729156,12.055257814817027,19.18297363385893,3.5734616148170257,10.701177433858927
2,1,3,He,eo,True,1.4422495703074083,-0.3333333333333333,1.9661000000000002,0.003,111111.11111111111,main,1,3.915836975266755,3.915836975266757,-4.53634012503608e-16,7.71804132,0.9854906331326814,1.3740728957155346,2.029226132096369,0.5920271042844656,-0.06312613209636875,A_2_16,0.0,13.252107092968405,7.285735821641425,5.534065772968405,-0.43230549835857524
2,2,4,He,ee,True,1.5874010519681994,0.0,1.6755,0.0028,127551.02040816327,main,1,5.1058339975554725,5.1058339975554725,0.0,28.2956624,2.7709148410962006,1.512362912110223,1.592950507448407,0.1631370878897771,0.08254949255159305,A_2_16,0.0,32.84085779445622,30.51098227589475,4.5451953944562185,2.2153198758947497
2,4,6,He,ee,True,1.8171205928321397,0.3333333333333333,2.066,0.0111,8116.224332440548,main,1,3.5744370796665743,3.5744370796665743,0.0,29.271119400000003,4.094507575264191,1.731223365402005,1.2415385866858333,0.3347766345979948,0.8244614133141666,A_2_16,0.5819345468729156,39.73748451378247,62.14307215735902,10.466365113782466,32.87195275735902
3,3,6,Li,oo,False,1.8171205928321397,0.0,2.589,0.039,657.4621959237344,main,1,2.217193637806156,2.217193637806156,0.0,31.9939872,7.214973616751186,1.731223365402005,1.8234731335587488,0.8577766345979949,0.7655268664412511,A_2_16,0.0,70.02182731204257,64.36508037003685,38.027840112042576,32.37109317003685
3,4,7,Li,oe,False,1.912931182772389,0.14285714285714285,2.444,0.042,566.8934240362811,main,1,2.5310789842433166,2.5310789842433166,0.0,39.245080699999995,7.752638488232042,1.8225048866239884,1.670218151282,0.6214951133760116,0.7737818487179999,A_2_16,0.24940052008839236,69.22278616317256,79.55011671156576,29.977705463172562,40.30503601156577
4,3,7,Be,eo,False,1.912931182772389,-0.14285714285714285,2.646,0.016,3906.25,main,1,2.1047443874560905,2.1047443874560905,0.0,37.6008409,8.932400799853525,1.8225048866239884,2.169019191458785,0.8234951133760116,0.47698080854121505,A_2_16,0.0,79.75680427129252,58.1235246671185,42.15596337129252,20.5226837671185
2,6,8,He,ee,True,2.0,0.5,1.9239000000000002,0.030599999999999995,1067.9653124866509,main,1,4.0696746344483685,4.0696746344483685,0.0,31.396168000000003,3.857331460142102,1.90545786804798,1.1340900554655944,0.01844213195202027,0.7898099445344058,A_2_16,0.8729018203093734,31.929356604852906,64.57857198541923,0.5331886048529029,33.18240398541923
3,5,8,Li,oo,False,2.0,0.25,2.339,0.044,516.5289256198348,main,1,2.7857691898739034,2.7857691898739034,0.0,41.2776992,7.408671786241634,1.90545786804798,1.5705409656202811,0.43354213195202007,0.7684590343797189,A_2_16,0.4364509101546867,61.32584816097374,83.26456725552782,20.04814896097374,41.98686805552782
3,6,9,Li,oe,False,2.080083823051904,0.3333333333333333,2.245,0.046,472.5897920604915,main,1,3.0354447857609324,3.0354447857609324,0.0,45.3399165,7.468413972259767,1.9817560434167862,1.5054211200251382,0.26324395658321387,0.7395788799748619,A_2_16,0.5819345468729156,57.65995861904687,89.07843434103947,12.320042119046867,43.73851784103947
4,5,9,Be,eo,False,2.080083823051904,0.1111111111111111,2.519,0.012,6944.444444444444,main,1,2.3635415734636673,2.3635415734636673,0.0,58.1640237,12.304421541179654,1.9817560434167862,1.8933774846070819,0.5372439565832139,0.6256225153929182,A_2_16,0.19397818229097186,94.99639944049031,102.98051965663346,36.832375740490306,44.81649595663346
4,6,10,Be,ee,False,2.154434690031884,0.2,2.355,0.017,3460.207612456747,main,1,2.745364884525502,2.745364884525502,0.0,64.97630600000001,11.833819680262694,2.0525922656583817,1.8128057317671267,0.3024077343416183,0.5421942682328733,A_2_16,0.3491607281237494,85.64059020231733,106.60334815830772,20.66428420231732,41.62704215830772
5,5,10,B,oo,False,2.154434690031884,0.0,2.4277,0.0499,401.60481283207696,main,1,2.569033243590518,2.569033243590518,0.0,64.750835,12.602179275326016,2.0525922656583817,2.161966459890876,0.3751077343416185,0.2657335401091241,A_2_16,0.0,91.20115906230994,82.53274084588796,26.450324062309946,17.781905845887962
