Z,N,A,symbol,I_asym,neutron_skin_proxy_fm,radius_resid_a13_i_fm
2,6,8,He,0.5,0.8729018203093734,0.7898099445344058
3,8,11,Li,0.45454545454545453,0.7935471093721576,1.0437921225432112
1,2,3,H,0.3333333333333333,0.5819345468729156,0.8937429616494623
2,4,6,He,0.3333333333333333,0.5819345468729156,0.8244614133141666
3,6,9,Li,0.3333333333333333,0.5819345468729156,0.7395788799748619
4,8,12,Be,0.3333333333333333,0.5819345468729156,0.7875023619844825
11,20,31,Na,0.2903225806451613,0.5068462182441523,0.5248834942110556
10,18,28,Ne,0.2857142857142857,0.4988010401767847,0.4157963418656272
4,7,11,Be,0.2727272727272727,0.4761282656232945,0.7073732787943481
11,19,30,Na,0.26666666666666666,0.46554763749833245,0.4654524397016879
54,92,146,Xe,0.2602739726027397,0.45438724892816695,0.10184147936983123
19,32,51,K,0.2549019607843137,0.4450087711381119,0.24321456173847222
3,5,8,Li,0.25,0.4364509101546867,0.7684590343797189
12,20,32,Mg,0.25,0.4364509101546867,0.43664989525787234
36,60,96,Kr,0.25,0.4364509101546867,0.16828654037781998
54,90,144,Xe,0.25,0.4364509101546867,0.08484422347026932
55,91,146,Cs,0.2465753424657534,0.43047213056352657,0.07452636100519072
37,61,98,Rb,0.24489795918367346,0.42754374872295836,0.23458965775327467
54,89,143,Xe,0.24475524475524477,0.42729459735423875,0.07389168232955434
31,51,82,Ga,0.24390243902439024,0.4258057660045724,0.13323624280839041
56,92,148,Ba,0.24324324324324326,0.4246549396099654,0.08969045009987386
50,82,132,Sn,0.24242424242424243,0.4232251249984841,0.02308168637344643
36,59,95,Kr,0.24210526315789474,0.42266824983401236,0.150513990247096
11,18,29,Na,0.2413793103448276,0.42140087877004234,0.4305434242909256
55,90,145,Cs,0.2413793103448276,0.42140087877004234,0.06824678938846862
88,144,232,Ra,0.2413793103448276,0.42140087877004234,0.02668596981180915
19,31,50,K,0.24,0.4189928737484992,0.2266822298133313
38,62,100,Sr,0.24,0.4189928737484992,0.22517733387417227
54,88,142,Xe,0.23943661971830985,0.4180093224016717,0.06676720652474444
37,60,97,Rb,0.23711340206185566,0.41395344055908423,0.2262897594213218
87,141,228,Fr,0.23684210526315788,0.41347980962022945,0.022907979637074583
50,81,131,Sn,0.2366412213740458,0.41312910579527595,0.024421022355555877
55,89,144,Cs,0.2361111111111111,0.41220363736831517,0.05789695068389822
39,63,102,Y,0.23529411764705882,0.41077732720441096,0.21321442782491484
52,84,136,Te,0.23529411764705882,0.41077732720441096,0.031736064423596666
88,142,230,Ra,0.23478260869565218,0.4098843330148362,0.016639306184590197
31,50,81,Ga,0.2345679012345679,0.4095094959476072,0.11173474027724772
36,58,94,Kr,0.23404255319148937,0.4085923414214088,0.14606094160104366
54,87,141,Xe,0.23404255319148937,0.4085923414214088,0.054968723101736394
82,132,214,Pb,0.2336448598130841,0.4078980468735389,-0.03673666973395395
87,140,227,Fr,0.23348017621145375,0.40761054164226246,0.0196145251255464
56,90,146,Ba,0.2328767123287671,0.4065570121988862,0.07041124264055032
38,61,99,Sr,0.23232323232323232,0.4055907447902139,0.21285329967190592
88,141,229,Ra,0.2314410480349345,0.4040506242480069,0.010129187646282567
10,16,26,Ne,0.23076923076923078,0.4028777632197108,0.3551249925652731
50,80,130,Sn,0.23076923076923078,0.4028777632197108,0.021271032389447164
55,88,143,Cs,0.23076923076923078,0.4028777632197108,0.0517748481950262
87,139,226,Fr,0.23008849557522124,0.4016893332397116,0.008195529735821161
94,150,244,Pu,0.22950819672131148,0.4006762453879091,0.02483105999607904
84,134,218,Po,0.22935779816513763,0.40041367904099695,0.016711856111138346
