Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
1,2,3,H,1,6,6,1,4,proton_rich_edge,6.257230000000002,16.69772662074295,22.504122214478247,10.44049662074295,16.246892214478244,10.44049662074295,16.246892214478244
1,3,4,H,1,6,6,2,3,proton_rich_edge,-1.5999998000000017,16.758324820775066,11.986511459494274,18.35832462077507,13.586511259494277,18.35832462077507,13.586511259494277
1,4,5,H,1,6,6,3,2,neutron_rich_edge,-0.20000039999999863,7.09312154845977,6.584667911348369,7.293121948459769,6.7846683113483675,7.293121948459769,6.7846683113483675
1,5,6,H,1,6,6,4,1,neutron_rich_edge,-0.9119590000000013,5.946389762992126,6.692888015431258,6.858348762992128,7.604847015431259,6.858348762992128,7.604847015431259
1,6,7,H,1,6,6,5,0,neutron_rich_edge,0.8101630000000002,5.07986850697683,3.8072416591945952,4.2697055069768295,2.997078659194595,4.2697055069768295,2.997078659194595
2,2,4,He,1,8,8,1,6,proton_rich_edge,20.57762108,14.97165608426581,18.894317726555744,-5.60596499573419,-1.6833033534442556,5.60596499573419,1.6833033534442556
2,3,5,He,1,8,8,2,5,proton_rich_edge,-0.7349999000000018,12.13873534663437,3.160574832562183,12.873735246634372,3.895574732562185,12.873735246634372,3.895574732562185
2,4,6,He,1,8,8,3,4,interior,1.710456900000004,-7.029368535301465,-4.0127917600200504,-8.73982543530147,-5.7232486600200545,8.73982543530147,5.7232486600200545
2,5,7,He,1,8,8,4,3,interior,-0.40971480000000327,18.05562680527042,20.40540651126284,18.465341605270424,20.815121311262843,18.465341605270424,20.815121311262843
2,6,8,He,1,8,8,5,2,neutron_rich_edge,2.5347634000000028,3.1754472803409968,3.6230962465890144,0.640683880340994,1.0883328465890116,0.640683880340994,1.0883328465890116
2,7,9,He,1,8,8,6,1,neutron_rich_edge,-1.2548260000000013,5.072503783936547,12.813555550906031,6.327329783936548,14.068381550906032,6.327329783936548,14.068381550906032
2,8,10,He,1,8,8,7,0,neutron_rich_edge,-0.19000199999999978,3.3945534383582654,2.6076616789109863,3.584555438358265,2.797663678910986,3.584555438358265,2.797663678910986
3,1,4,Li,0,10,11,1,9,proton_rich_edge,11.416041199999999,8.700536173843883,15.03595821338634,-2.7155050261561158,3.619917013386342,2.7155050261561158,3.619917013386342
3,2,5,Li,0,10,11,2,8,proton_rich_edge,21.715621299999995,7.09312154845977,10.32529526368073,-14.622499751540225,-11.390326036319266,14.622499751540225,11.390326036319266
3,3,6,Li,0,10,11,3,7,interior,5.663324700000004,-20.601802953905647,-30.048935008999415,-26.26512765390565,-35.71225970899942,26.26512765390565,35.71225970899942
3,4,7,Li,0,10,11,4,6,interior,7.251093499999996,8.201011432858238,5.404999973138494,0.9499179328582414,-1.8460935268615017,0.9499179328582414,1.8460935268615017
3,5,8,Li,0,10,11,5,5,interior,2.032618500000005,8.627820847314851,8.792753498849578,6.595202347314846,6.760134998849573,6.595202347314846,6.760134998849573
3,6,9,Li,0,10,11,6,4,interior,4.0622173,9.56634791394027,9.991026695386182,5.504130613940269,5.928809395386182,5.504130613940269,5.928809395386182
3,7,10,Li,0,10,11,7,3,interior,-0.026404499999998166,16.875385532397054,14.79423902964161,16.901790032397052,14.820643529641607,16.901790032397052,14.820643529641607
3,8,11,Li,0,10,11,8,2,neutron_rich_edge,0.39568669999999173,-16.547306884830164,-18.37589379970929,-16.942993584830155,-18.77158049970928,16.942993584830155,18.77158049970928
3,9,12,Li,0,10,11,9,1,neutron_rich_edge,-0.20999989999999258,22.248426465105496,28.473182521544608,22.45842636510549,28.6831824215446,22.45842636510549,28.6831824215446
