Z,symbol,n_sn_points,N_chain_min,N_chain_max,rms_resid_before_MeV,rms_resid_after_MeV,median_abs_resid_before_MeV,median_abs_resid_after_MeV,rms_resid_neutron_edge_before_MeV,rms_resid_neutron_edge_after_MeV,rms_resid_proton_edge_before_MeV,rms_resid_proton_edge_after_MeV
1,H,5,1,6,10.62533776588538,10.596251200738557,7.293121948459769,7.604847015431259,6.283761098425304,6.133185760340437,14.933721113130193,14.975893877048517
2,He,7,1,8,9.767350186737955,9.935251905720351,6.327329783936548,3.895574732562185,4.214839487646915,8.305234291440058,9.92874369529784,3.0007509624003803
3,Li,10,0,10,14.381195659581568,17.033904853967506,10.608851049427535,9.07523051758442,16.2969781512719,19.827763227585542,10.516450602053743,8.451133841013775
4,Be,11,1,12,15.563937887519563,16.708283906128933,4.78762044604035,8.18153533644383,2.306133679300702,4.747050250627784,28.300600825621043,30.895415158615435
5,B,15,1,16,10.578957755946634,10.172078079021416,2.4704035389574983,2.368975138895081,2.0850102524140284,1.995617625286372,17.07738269081539,13.939312324748384
6,C,15,2,17,11.157094794815809,11.390892805981643,2.736489327968627,4.031882594916553,2.1277098053051513,5.5771012802959,14.623176359605626,14.38276823286846
7,N,15,3,18,11.131979375356613,10.819750232965763,4.014673701629434,4.523594504128226,2.354417854232672,2.220507271186559,16.34002459143968,14.09977563162735
8,O,17,3,20,12.764725467641833,13.106058183765533,5.865572284426108,7.906769335085443,1.4707683670957545,7.63952961966437,18.13282696300136,16.965550612401227
9,F,18,4,22,12.231300560698502,12.480305757644915,5.465228672321722,5.458050320684379,0.8368199910530348,2.9037147565057166,18.946237552178463,16.058612593761584
10,Ne,19,5,24,13.687396160106621,14.258993195677883,4.885746420216449,5.234932030082852,1.507074384658417,4.406409241772516,37.52516102446174,38.651822873841894
11,Na,22,6,28,11.366908922613218,11.317613397751728,4.372732334426317,4.488913228442101,0.6356696281807347,0.2569618513202226,17.63247000586894,16.74530813912987
12,Mg,22,7,29,11.54759625894045,11.5002101314125,3.804538915240883,4.270404851314872,0.8820035360346152,2.6694376583552435,17.818672170484504,17.352791937770522
13,Al,22,8,30,10.26185762299283,9.868705116143577,5.107749487081641,5.3257797916712875,1.674302516678487,1.9660260967327092,17.353023935143703,15.892935266349616
14,Si,23,8,31,11.489681783550573,11.577355030995568,5.521142766670266,6.681567596754789,1.8020150668006742,2.712237418590197,18.755021388276383,18.80576382358415
15,P,23,9,32,11.255376584727157,10.956317951093757,6.101799991809926,6.665655825543752,2.348336356212504,2.27973847968996,19.026650632958237,18.326669158283902
16,S,23,10,33,13.767715633153403,13.563698482589038,7.887143366670216,8.851050787726535,1.9086856857541412,2.0236847020515416,19.37274667736283,19.33899861256839
17,Cl,24,11,35,12.993235015860705,12.736533027630006,7.556114917757945,7.997614341620746,1.1322359573162395,1.2381922674289858,19.54823091724624,18.56591618654767
18,Ar,25,11,36,13.162894426502268,13.088800095933909,6.675512745554485,6.44027798521968,2.2766167582151855,1.945864084359056,21.14034928534894,21.83385731914621
19,K,28,12,40,11.0309756060205,11.005012593987603,5.486805803982101,5.296326618018746,1.4873581791103079,1.73471685037552,21.116402238628353,20.082130532298354
20,Ca,28,13,41,11.405830493875033,11.655559262151865,5.593530863734848,5.5828904418386,1.829607837666509,3.2652732462772267,20.97709378845325,22.11392063919331
21,Sc,28,14,42,11.202578579332915,11.256408271490205,6.278324519066409,5.608497270898958,2.507153679331274,2.39041401641925,19.54431719753328,19.117604837475465
22,Ti,28,15,43,11.708936548117821,11.880451887084273,6.068929076144087,5.619161832648274,2.683462980074469,2.9089337666792874,19.424188707130046,19.809215029885618
23,V,28,16,44,10.647575625536653,10.61569091457942,6.954007152502484,6.940004314090366,3.504537797793847,3.462183926603584,19.149308466055164,18.694255025591037
24,Cr,29,17,46,11.57031077544977,11.675091855212765,6.721339434906227,7.757254116215108,3.9051113296639643,4.654944514739308,19.318402143232365,20.024969194717116
25,Mn,30,18,48,11.01864713853962,11.030368642416319,6.541494370332195,6.836542342464412,3.77993686773395,4.003715317813737,19.266405046478603,18.41090444958725
26,Fe,31,19,50,11.023977017938222,11.04513432761328,7.13269253735541,7.408781245552802,4.021133265054017,4.491470929584463,19.023361431526567,19.544940200368647
27,Co,31,20,51,10.509660386823557,10.405481572978049,7.200808517102246,7.201885414922572,3.459920651344247,3.2672402077829514,18.381277756349466,17.056542101257698
28,Ni,34,20,54,11.081946732685234,11.166825428184474,7.17137504191021,7.359320326710154,2.706061928898636,2.6168646392335426,18.994595671929194,17.62526075887782
29,Cu,32,23,55,10.334630962415908,10.32161941387474,7.148262022436022,7.816999727246817,2.3596564431874834,2.301561330644086,17.95607224452302,17.719305591155575
30,Zn,32,24,56,10.773193588536381,10.84288735395152,7.541351863728913,7.927321983857944,3.0954053090668645,2.7224313954397807,18.118809604364372,18.304092164714703
31,Ga,32,25,57,10.41464617408257,10.4630760736756,8.258527885552063,8.401477017206318,2.628751867091606,2.6347722227378148,18.15136855739878,18.167991052299953
32,Ge,32,26,58,10.809216589332125,10.932668361171158,8.377723456006557,8.204917435344015,3.4369854600034766,3.035813929108443,18.27194718327469,18.26926789134031
